Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
PSC-PPE,3.0,445912,College électoral français,1979,parlement-européen
PS-SP,4.0,575824,College électoral français,1979,parlement-européen
PRL,2.0,372904,College électoral français,1979,parlement-européen
ECOLO,,107833,College électoral français,1979,parlement-européen
FDF-RW,2.0,414603,College électoral français,1979,parlement-européen
P.F.U,,7273,College électoral français,1979,parlement-européen
E-NON,,22187,College électoral français,1979,parlement-européen
T.P.O.,,8821,College électoral français,1979,parlement-européen
L.R.T.,,6209,College électoral français,1979,parlement-européen
PLW-PLE,,17566,College électoral français,1979,parlement-européen
P.P.B.,,9704,College électoral français,1979,parlement-européen
P.O.E.,,4617,College électoral français,1979,parlement-européen
PCB,,106023,College électoral français,1979,parlement-européen
CVP-EVP,7.0,1607941,College électoral néerlandais,1979,parlement-européen
BSP,3.0,698889,College électoral néerlandais,1979,parlement-européen
PVV-ELD,2.0,512363,College électoral néerlandais,1979,parlement-européen
AGALEV,,77986,College électoral néerlandais,1979,parlement-européen
VU,1.0,324540,College électoral néerlandais,1979,parlement-européen
V.V.P.,,34706,College électoral néerlandais,1979,parlement-européen
RAL,,10702,College électoral néerlandais,1979,parlement-européen
AMADA,,36602,College électoral néerlandais,1979,parlement-européen
KPB,,39773,College électoral néerlandais,1979,parlement-européen
