Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
CVP-EVP,,65364,Alost,1979,parlement-européen
BSP,,37057,Alost,1979,parlement-européen
PVV-ELD,,32501,Alost,1979,parlement-européen
AGALEV,,2512,Alost,1979,parlement-européen
VU,,19322,Alost,1979,parlement-européen
V.V.P.,,1327,Alost,1979,parlement-européen
RAL,,403,Alost,1979,parlement-européen
AMADA,,860,Alost,1979,parlement-européen
KPB,,2888,Alost,1979,parlement-européen
CVP-EVP,,251955,Anvers,1979,parlement-européen
BSP,,134816,Anvers,1979,parlement-européen
PVV-ELD,,63128,Anvers,1979,parlement-européen
AGALEV,,20252,Anvers,1979,parlement-européen
VU,,53069,Anvers,1979,parlement-européen
V.V.P.,,8267,Anvers,1979,parlement-européen
RAL,,2707,Anvers,1979,parlement-européen
AMADA,,11133,Anvers,1979,parlement-européen
KPB,,9735,Anvers,1979,parlement-européen
PSC-PPE,,29133,Arlon-Marche-Bastogne,1979,parlement-européen
PS-SP,,9390,Arlon-Marche-Bastogne,1979,parlement-européen
PRL,,14821,Arlon-Marche-Bastogne,1979,parlement-européen
ECOLO,,2541,Arlon-Marche-Bastogne,1979,parlement-européen
FDF-RW,,5390,Arlon-Marche-Bastogne,1979,parlement-européen
P.F.U,,192,Arlon-Marche-Bastogne,1979,parlement-européen
E-NON,,951,Arlon-Marche-Bastogne,1979,parlement-européen
T.P.O.,,317,Arlon-Marche-Bastogne,1979,parlement-européen
L.R.T.,,146,Arlon-Marche-Bastogne,1979,parlement-européen
PLW-PLE,,347,Arlon-Marche-Bastogne,1979,parlement-européen
P.P.B.,,464,Arlon-Marche-Bastogne,1979,parlement-européen
P.O.E.,,135,Arlon-Marche-Bastogne,1979,parlement-européen
PCB,,1978,Arlon-Marche-Bastogne,1979,parlement-européen
CVP-EVP,,30510,Audenarde,1979,parlement-européen
BSP,,12769,Audenarde,1979,parlement-européen
PVV-ELD,,19721,Audenarde,1979,parlement-européen
AGALEV,,934,Audenarde,1979,parlement-européen
VU,,3796,Audenarde,1979,parlement-européen
V.V.P.,,375,Audenarde,1979,parlement-européen
RAL,,160,Audenarde,1979,parlement-européen
AMADA,,280,Audenarde,1979,parlement-européen
KPB,,468,Audenarde,1979,parlement-européen
CVP-EVP,,68249,Bruges,1979,parlement-européen
BSP,,34758,Bruges,1979,parlement-européen
PVV-ELD,,23338,Bruges,1979,parlement-européen
AGALEV,,3598,Bruges,1979,parlement-européen
VU,,13613,Bruges,1979,parlement-européen
V.V.P.,,1223,Bruges,1979,parlement-européen
RAL,,436,Bruges,1979,parlement-européen
AMADA,,1305,Bruges,1979,parlement-européen
KPB,,1601,Bruges,1979,parlement-européen
CVP-EVP,,168885,Bruxelles,1979,parlement-européen
BSP,,49332,Bruxelles,1979,parlement-européen
PVV-ELD,,57293,Bruxelles,1979,parlement-européen
AGALEV,,6702,Bruxelles,1979,parlement-européen
VU,,44907,Bruxelles,1979,parlement-européen
V.V.P.,,4532,Bruxelles,1979,parlement-européen
RAL,,1277,Bruxelles,1979,parlement-européen
AMADA,,2905,Bruxelles,1979,parlement-européen
PSC-PPE,,52590,Bruxelles,1979,parlement-européen
PS-SP,,62077,Bruxelles,1979,parlement-européen
PRL,,90595,Bruxelles,1979,parlement-européen
ECOLO,,25917,Bruxelles,1979,parlement-européen
FDF-RW,,181470,Bruxelles,1979,parlement-européen
P.F.U,,2310,Bruxelles,1979,parlement-européen
E-NON,,5367,Bruxelles,1979,parlement-européen
T.P.O.,,2229,Bruxelles,1979,parlement-européen
L.R.T.,,1509,Bruxelles,1979,parlement-européen
PLW-PLE,,2022,Bruxelles,1979,parlement-européen
P.P.B.,,1646,Bruxelles,1979,parlement-européen
P.O.E.,,709,Bruxelles,1979,parlement-européen
KPB,,3695,Bruxelles,1979,parlement-européen
PCB,,13500,Bruxelles,1979,parlement-européen
PSC-PPE,,41157,Charleroi,1979,parlement-européen
PS-SP,,85396,Charleroi,1979,parlement-européen
PRL,,24221,Charleroi,1979,parlement-européen
ECOLO,,9298,Charleroi,1979,parlement-européen
FDF-RW,,30567,Charleroi,1979,parlement-européen
P.F.U,,755,Charleroi,1979,parlement-européen
E-NON,,1820,Charleroi,1979,parlement-européen
T.P.O.,,1308,Charleroi,1979,parlement-européen
L.R.T.,,797,Charleroi,1979,parlement-européen
PLW-PLE,,5242,Charleroi,1979,parlement-européen
P.P.B.,,786,Charleroi,1979,parlement-européen
P.O.E.,,703,Charleroi,1979,parlement-européen
PCB,,14272,Charleroi,1979,parlement-européen
CVP-EVP,,83730,Courtrai,1979,parlement-européen
BSP,,37301,Courtrai,1979,parlement-européen
PVV-ELD,,21779,Courtrai,1979,parlement-européen
AGALEV,,3115,Courtrai,1979,parlement-européen
VU,,11517,Courtrai,1979,parlement-européen
V.V.P.,,1243,Courtrai,1979,parlement-européen
RAL,,313,Courtrai,1979,parlement-européen
AMADA,,1624,Courtrai,1979,parlement-européen
KPB,,1744,Courtrai,1979,parlement-européen
PSC-PPE,,22339,Dinant-Philippeville,1979,parlement-européen
PS-SP,,18018,Dinant-Philippeville,1979,parlement-européen
PRL,,16380,Dinant-Philippeville,1979,parlement-européen
ECOLO,,3380,Dinant-Philippeville,1979,parlement-européen
FDF-RW,,14203,Dinant-Philippeville,1979,parlement-européen
P.F.U,,199,Dinant-Philippeville,1979,parlement-européen
E-NON,,601,Dinant-Philippeville,1979,parlement-européen
T.P.O.,,202,Dinant-Philippeville,1979,parlement-européen
L.R.T.,,179,Dinant-Philippeville,1979,parlement-européen
PLW-PLE,,703,Dinant-Philippeville,1979,parlement-européen
P.P.B.,,267,Dinant-Philippeville,1979,parlement-européen
P.O.E.,,164,Dinant-Philippeville,1979,parlement-européen
PCB,,1806,Dinant-Philippeville,1979,parlement-européen
CVP-EVP,,52338,Furnes-Dixmude-Ostende,1979,parlement-européen
BSP,,29336,Furnes-Dixmude-Ostende,1979,parlement-européen
PVV-ELD,,29703,Furnes-Dixmude-Ostende,1979,parlement-européen
AGALEV,,2230,Furnes-Dixmude-Ostende,1979,parlement-européen
VU,,13434,Furnes-Dixmude-Ostende,1979,parlement-européen
V.V.P.,,1164,Furnes-Dixmude-Ostende,1979,parlement-européen
RAL,,468,Furnes-Dixmude-Ostende,1979,parlement-européen
AMADA,,877,Furnes-Dixmude-Ostende,1979,parlement-européen
KPB,,1919,Furnes-Dixmude-Ostende,1979,parlement-européen
CVP-EVP,,155398,Gand-Eeklo,1979,parlement-européen
BSP,,64968,Gand-Eeklo,1979,parlement-européen
PVV-ELD,,69593,Gand-Eeklo,1979,parlement-européen
AGALEV,,9094,Gand-Eeklo,1979,parlement-européen
VU,,32251,Gand-Eeklo,1979,parlement-européen
V.V.P.,,3042,Gand-Eeklo,1979,parlement-européen
RAL,,1211,Gand-Eeklo,1979,parlement-européen
AMADA,,3005,Gand-Eeklo,1979,parlement-européen
KPB,,5371,Gand-Eeklo,1979,parlement-européen
CVP-EVP,,92771,Hasselt,1979,parlement-européen
BSP,,42536,Hasselt,1979,parlement-européen
PVV-ELD,,20909,Hasselt,1979,parlement-européen
AGALEV,,4229,Hasselt,1979,parlement-européen
VU,,15569,Hasselt,1979,parlement-européen
V.V.P.,,2252,Hasselt,1979,parlement-européen
RAL,,562,Hasselt,1979,parlement-européen
AMADA,,3188,Hasselt,1979,parlement-européen
KPB,,1114,Hasselt,1979,parlement-européen
PSC-PPE,,21365,Huy-Waremme,1979,parlement-européen
PS-SP,,31655,Huy-Waremme,1979,parlement-européen
PRL,,13102,Huy-Waremme,1979,parlement-européen
ECOLO,,3632,Huy-Waremme,1979,parlement-européen
FDF-RW,,8867,Huy-Waremme,1979,parlement-européen
P.F.U,,173,Huy-Waremme,1979,parlement-européen
E-NON,,984,Huy-Waremme,1979,parlement-européen
T.P.O.,,217,Huy-Waremme,1979,parlement-européen
L.R.T.,,155,Huy-Waremme,1979,parlement-européen
PLW-PLE,,721,Huy-Waremme,1979,parlement-européen
P.P.B.,,414,Huy-Waremme,1979,parlement-européen
P.O.E.,,168,Huy-Waremme,1979,parlement-européen
