Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
ECOLO,,5714,Collège électoral germanophone,1994,parlement-européen
S.P.,,4820,Collège électoral germanophone,1994,parlement-européen
PFF,,7690,Collège électoral germanophone,1994,parlement-européen
CSP-EVP,,11999,Collège électoral germanophone,1994,parlement-européen
PDB,,5945,Collège électoral germanophone,1994,parlement-européen
PAB,,205,Collège électoral germanophone,1994,parlement-européen
JUROPA,,1969,Collège électoral germanophone,1994,parlement-européen
PSC,2.0,420198,College électoral français,1994,parlement-européen
PS,3.0,680142,College électoral français,1994,parlement-européen
ECOLO,1.0,290859,College électoral français,1994,parlement-européen
PRL-FDF,3.0,541724,College électoral français,1994,parlement-européen
FN,1.0,175732,College électoral français,1994,parlement-européen
LETD,,8822,College électoral français,1994,parlement-européen
SUD,,14054,College électoral français,1994,parlement-européen
G.U.,,35977,College électoral français,1994,parlement-européen
AGIR,,42917,College électoral français,1994,parlement-européen
P.H.-H.P.,,6385,College électoral français,1994,parlement-européen
PVDA/PTB,,17454,College électoral français,1994,parlement-européen
CVP,4.0,1013266,College électoral néerlandais,1994,parlement-européen
SP,3.0,651371,College électoral néerlandais,1994,parlement-européen
VLD,3.0,678421,College électoral néerlandais,1994,parlement-européen
AGALEV,1.0,396198,College électoral néerlandais,1994,parlement-européen
VU,1.0,262043,College électoral néerlandais,1994,parlement-européen
VLAAMS BLOK,2.0,463919,College électoral néerlandais,1994,parlement-européen
PVDA,,41816,College électoral néerlandais,1994,parlement-européen
B.E.B,,24132,College électoral néerlandais,1994,parlement-européen
N.W.P.,,19930,College électoral néerlandais,1994,parlement-européen
W.O.W.,,127504,College électoral néerlandais,1994,parlement-européen
R.G.B.,,15549,College électoral néerlandais,1994,parlement-européen
