Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
MR,5.0,795757,College électoral français,2003,sénat
ECOLO,1.0,208868,College électoral français,2003,sénat
CDH,2.0,362705,College électoral français,2003,sénat
PS,6.0,840908,College électoral français,2003,sénat
FN,1.0,147305,College électoral français,2003,sénat
VIVANT,,36421,College électoral français,2003,sénat
RWF RBF,,27424,College électoral français,2003,sénat
CDF,,38339,College électoral français,2003,sénat
PTB,,18699,College électoral français,2003,sénat
N-VA,,200273,College électoral néerlandais,2003,sénat
sp.a-spirit,7.0,1013560,College électoral néerlandais,2003,sénat
VLAAMS BLOK,5.0,741940,College électoral néerlandais,2003,sénat
CD&V,6.0,832849,College électoral néerlandais,2003,sénat
VLD,7.0,1007868,College électoral néerlandais,2003,sénat
AGALEV,,161024,College électoral néerlandais,2003,sénat
LIB. APPEL,,26629,College électoral néerlandais,2003,sénat
LSP,,8337,College électoral néerlandais,2003,sénat
RESIST,,17604,College électoral néerlandais,2003,sénat
VIVANT,,50302,College électoral néerlandais,2003,sénat
veilig blauw,,8048,College électoral néerlandais,2003,sénat
SOLIDE,,6651,College électoral néerlandais,2003,sénat
