Parti,Nombre de sièges,Nombre de voix,district,date,election
CVP,2.0,19668,Alost,1981,conseils-provinciaux
SP,2.0,15541,Alost,1981,conseils-provinciaux
PVV,2.0,18608,Alost,1981,conseils-provinciaux
AGALEV,,2776,Alost,1981,conseils-provinciaux
VU,2.0,17703,Alost,1981,conseils-provinciaux
VLAAMS BLOK,,1565,Alost,1981,conseils-provinciaux
R.A.L.,,399,Alost,1981,conseils-provinciaux
KPB,,2127,Alost,1981,conseils-provinciaux
PSC,1.0,3639,Andenne,1981,conseils-provinciaux
PS,2.0,7052,Andenne,1981,conseils-provinciaux
PRL,1.0,3010,Andenne,1981,conseils-provinciaux
ECOLO,,1460,Andenne,1981,conseils-provinciaux
FDF-RW,,1652,Andenne,1981,conseils-provinciaux
UDRT,,1019,Andenne,1981,conseils-provinciaux
PCB,,473,Andenne,1981,conseils-provinciaux
CVP,1.0,9426,Anderlecht,1981,conseils-provinciaux
SP,,4464,Anderlecht,1981,conseils-provinciaux
PVV,1.0,6950,Anderlecht,1981,conseils-provinciaux
AGALEV,,1188,Anderlecht,1981,conseils-provinciaux
VU,1.0,7524,Anderlecht,1981,conseils-provinciaux
VLAAMS BLOK,,1207,Anderlecht,1981,conseils-provinciaux
PSC,,3795,Anderlecht,1981,conseils-provinciaux
PS,1.0,14904,Anderlecht,1981,conseils-provinciaux
PRL,1.0,10557,Anderlecht,1981,conseils-provinciaux
ECOLO,,4707,Anderlecht,1981,conseils-provinciaux
FDF,1.0,14459,Anderlecht,1981,conseils-provinciaux
KPB/PCB,,2104,Anderlecht,1981,conseils-provinciaux
PVDA/PTB,,273,Anderlecht,1981,conseils-provinciaux
RAD/UDRT,,5906,Anderlecht,1981,conseils-provinciaux
CVP,4.0,31993,Anvers,1981,conseils-provinciaux
SP,4.0,42970,Anvers,1981,conseils-provinciaux
PVV,3.0,26195,Anvers,1981,conseils-provinciaux
AGALEV,1.0,9597,Anvers,1981,conseils-provinciaux
VU,3.0,20883,Anvers,1981,conseils-provinciaux
VLAAMS BLOK,1.0,7009,Anvers,1981,conseils-provinciaux
KP,,4184,Anvers,1981,conseils-provinciaux
RAD,,3777,Anvers,1981,conseils-provinciaux
PVDA,,5065,Anvers,1981,conseils-provinciaux
PVCM,,496,Anvers,1981,conseils-provinciaux
PSC,4.0,8942,Arlon,1981,conseils-provinciaux
PS,3.0,8381,Arlon,1981,conseils-provinciaux
PRL,3.0,6924,Arlon,1981,conseils-provinciaux
ECOLO,1.0,2275,Arlon,1981,conseils-provinciaux
UDRT,,1684,Arlon,1981,conseils-provinciaux
PTB,,88,Arlon,1981,conseils-provinciaux
Lemaire,,187,Arlon,1981,conseils-provinciaux
PSC,1.0,7644,Ath,1981,conseils-provinciaux
PS,3.0,21429,Ath,1981,conseils-provinciaux
PRL,1.0,12931,Ath,1981,conseils-provinciaux
FDF-RW,,1027,Ath,1981,conseils-provinciaux
PCB,,1889,Ath,1981,conseils-provinciaux
AUTRE,,4543,Ath,1981,conseils-provinciaux
PSC,2.0,4656,Bastogne,1981,conseils-provinciaux
PS,,1343,Bastogne,1981,conseils-provinciaux
PRL,3.0,6541,Bastogne,1981,conseils-provinciaux
ECOLO,,490,Bastogne,1981,conseils-provinciaux
UDRT,,296,Bastogne,1981,conseils-provinciaux
CVP,3.0,18770,Beringen,1981,conseils-provinciaux
SP,3.0,14906,Beringen,1981,conseils-provinciaux
PVV,1.0,9890,Beringen,1981,conseils-provinciaux
VU,2.0,9504,Beringen,1981,conseils-provinciaux
VLAAMS BLOK,,751,Beringen,1981,conseils-provinciaux
PVDA,,1287,Beringen,1981,conseils-provinciaux
CVP,1.0,7673,Bilzen,1981,conseils-provinciaux
SP,,3285,Bilzen,1981,conseils-provinciaux
PVV,1.0,3445,Bilzen,1981,conseils-provinciaux
VU,1.0,6552,Bilzen,1981,conseils-provinciaux
VLAAMS BLOK,,293,Bilzen,1981,conseils-provinciaux
PSC,1.0,7109,Binche,1981,conseils-provinciaux
PS,3.0,18796,Binche,1981,conseils-provinciaux
PRL,2.0,7185,Binche,1981,conseils-provinciaux
FDF-RW,,3151,Binche,1981,conseils-provinciaux
PCB,,3117,Binche,1981,conseils-provinciaux
AUTRE,,7259,Binche,1981,conseils-provinciaux
CVP,2.0,29811,Boom,1981,conseils-provinciaux
SP,2.0,19080,Boom,1981,conseils-provinciaux
PVV,1.0,14550,Boom,1981,conseils-provinciaux
AGALEV,1.0,7685,Boom,1981,conseils-provinciaux
VU,1.0,14184,Boom,1981,conseils-provinciaux
VLAAMS BLOK,,2633,Boom,1981,conseils-provinciaux
KP,,1279,Boom,1981,conseils-provinciaux
RAD,,2269,Boom,1981,conseils-provinciaux
PVDA,,1585,Boom,1981,conseils-provinciaux
CVP,5.0,43434,Borgerhout,1981,conseils-provinciaux
SP,4.0,39599,Borgerhout,1981,conseils-provinciaux
PVV,3.0,33603,Borgerhout,1981,conseils-provinciaux
AGALEV,1.0,15233,Borgerhout,1981,conseils-provinciaux
