Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Cath/Kath,1.0,1,Alost-Audenarde,1902,sénat
Liberal/Liberaal,,44335,Anvers,1902,sénat
Cath/Kath,1.0,65801,Anvers,1902,sénat
Liberal/Liberaal,1.0,92647,Bruxelles,1902,sénat
Cath/Kath,1.0,103750,Bruxelles,1902,sénat
Liberal/Liberaal,,35610,Charleroi,1902,sénat
Cath/Kath,1.0,71638,Charleroi,1902,sénat
Cath/Kath,1.0,1,Courtrai-Ypres,1902,sénat
Liberal/Liberaal,1.0,48923,Liège,1902,sénat
Cath/Kath,,25765,Liège,1902,sénat
Socialist,,43233,Liège,1902,sénat
