Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
VU,,12286,Alost,1994,conseils-provinciaux
VLAAMS BLOK,1.0,16069,Alost,1994,conseils-provinciaux
VLD,5.0,48004,Alost,1994,conseils-provinciaux
CVP,5.0,45452,Alost,1994,conseils-provinciaux
SP,5.0,42768,Alost,1994,conseils-provinciaux
AGALEV,,11598,Alost,1994,conseils-provinciaux
PVDA,,841,Alost,1994,conseils-provinciaux
WOW,,2601,Alost,1994,conseils-provinciaux
AOV,,669,Alost,1994,conseils-provinciaux
SD,,302,Alost,1994,conseils-provinciaux
VVP,,333,Alost,1994,conseils-provinciaux
VU,2.0,30517,Anvers,1994,conseils-provinciaux
VLAAMS BLOK,11.0,122296,Anvers,1994,conseils-provinciaux
VLD,8.0,87495,Anvers,1994,conseils-provinciaux
CVP,11.0,117402,Anvers,1994,conseils-provinciaux
SP,8.0,90377,Anvers,1994,conseils-provinciaux
AGALEV,6.0,73042,Anvers,1994,conseils-provinciaux
PVDA,,9844,Anvers,1994,conseils-provinciaux
WOW,1.0,19284,Anvers,1994,conseils-provinciaux
PAKLEM,,1296,Anvers,1994,conseils-provinciaux
PATSY,1.0,11255,Anvers,1994,conseils-provinciaux
AOV,,1773,Anvers,1994,conseils-provinciaux
ROSSEM,,2393,Anvers,1994,conseils-provinciaux
NWP,,1896,Anvers,1994,conseils-provinciaux
PROVO,,1902,Anvers,1994,conseils-provinciaux
UNIE,,1013,Anvers,1994,conseils-provinciaux
VVP,,1901,Anvers,1994,conseils-provinciaux
GELD,,431,Anvers,1994,conseils-provinciaux
BA,,1044,Anvers,1994,conseils-provinciaux
ECOLO,1.0,2895,Arlon,1994,conseils-provinciaux
PRL,2.0,7084,Arlon,1994,conseils-provinciaux
PSC,4.0,10403,Arlon,1994,conseils-provinciaux
PS,3.0,8847,Arlon,1994,conseils-provinciaux
ECOLO,,3587,Ath,1994,conseils-provinciaux
PRL,2.0,14758,Ath,1994,conseils-provinciaux
PSC,,7043,Ath,1994,conseils-provinciaux
PS,3.0,21760,Ath,1994,conseils-provinciaux
PTB,,825,Ath,1994,conseils-provinciaux
AGIR,,1474,Ath,1994,conseils-provinciaux
VU,,2631,Audenarde,1994,conseils-provinciaux
VLAAMS BLOK,,4204,Audenarde,1994,conseils-provinciaux
VLD,3.0,22747,Audenarde,1994,conseils-provinciaux
CVP,3.0,25332,Audenarde,1994,conseils-provinciaux
SP,1.0,12814,Audenarde,1994,conseils-provinciaux
AGALEV,,4543,Audenarde,1994,conseils-provinciaux
PVDA,,590,Audenarde,1994,conseils-provinciaux
WOW,,519,Audenarde,1994,conseils-provinciaux
AOV,,219,Audenarde,1994,conseils-provinciaux
VVP,,103,Audenarde,1994,conseils-provinciaux
BEB,,1753,Audenarde,1994,conseils-provinciaux
ECOLO,,1215,Bastogne,1994,conseils-provinciaux
PRL,2.0,7678,Bastogne,1994,conseils-provinciaux
PSC,4.0,12096,Bastogne,1994,conseils-provinciaux
PS,1.0,3537,Bastogne,1994,conseils-provinciaux
FN,,486,Bastogne,1994,conseils-provinciaux
ECOLO,2.0,20215,Charleroi,1994,conseils-provinciaux
PRL,4.0,34551,Charleroi,1994,conseils-provinciaux
PSC,5.0,36981,Charleroi,1994,conseils-provinciaux
PS,14.0,96924,Charleroi,1994,conseils-provinciaux
FN,3.0,24378,Charleroi,1994,conseils-provinciaux
PTB,,2896,Charleroi,1994,conseils-provinciaux
AGIR,,1024,Charleroi,1994,conseils-provinciaux
GU,,2597,Charleroi,1994,conseils-provinciaux
VIE,,1853,Charleroi,1994,conseils-provinciaux
JMPECG,,158,Charleroi,1994,conseils-provinciaux
PCN,,822,Charleroi,1994,conseils-provinciaux
LCBCV,,302,Charleroi,1994,conseils-provinciaux
RW,,1847,Charleroi,1994,conseils-provinciaux
ECOLO,,4478,Dinant,1994,conseils-provinciaux
PRL,4.0,19140,Dinant,1994,conseils-provinciaux
PSC,4.0,18294,Dinant,1994,conseils-provinciaux
PS,4.0,18724,Dinant,1994,conseils-provinciaux
FN,,714,Dinant,1994,conseils-provinciaux
VU,,3044,Eeklo,1994,conseils-provinciaux
VLAAMS BLOK,,2956,Eeklo,1994,conseils-provinciaux
VLD,1.0,12448,Eeklo,1994,conseils-provinciaux
CVP,3.0,19758,Eeklo,1994,conseils-provinciaux
SP,1.0,7493,Eeklo,1994,conseils-provinciaux
AGALEV,,5211,Eeklo,1994,conseils-provinciaux
PVDA,,1223,Eeklo,1994,conseils-provinciaux
WOW,,813,Eeklo,1994,conseils-provinciaux
VVP,,490,Eeklo,1994,conseils-provinciaux
VU,1.0,21241,Gand,1994,conseils-provinciaux
VLAAMS BLOK,3.0,32455,Gand,1994,conseils-provinciaux
VLD,8.0,75363,Gand,1994,conseils-provinciaux
CVP,10.0,94242,Gand,1994,conseils-provinciaux
SP,5.0,47683,Gand,1994,conseils-provinciaux
AGALEV,3.0,36056,Gand,1994,conseils-provinciaux
PVDA,,3178,Gand,1994,conseils-provinciaux
WOW,,6545,Gand,1994,conseils-provinciaux
AOV,,662,Gand,1994,conseils-provinciaux
VVP,,1737,Gand,1994,conseils-provinciaux
NF,,219,Gand,1994,conseils-provinciaux
ROSSEM,,1510,Gand,1994,conseils-provinciaux
BEB,,886,Gand,1994,conseils-provinciaux
NWP,,425,Gand,1994,conseils-provinciaux
GRAS,,914,Gand,1994,conseils-provinciaux
VU,2.0,14223,Hasselt,1994,conseils-provinciaux
VLAAMS BLOK,3.0,21616,Hasselt,1994,conseils-provinciaux
VLD,6.0,35735,Hasselt,1994,conseils-provinciaux
CVP,13.0,77934,Hasselt,1994,conseils-provinciaux
SP,10.0,60936,Hasselt,1994,conseils-provinciaux
AGALEV,2.0,17077,Hasselt,1994,conseils-provinciaux
PVDA,,2359,Hasselt,1994,conseils-provinciaux
NWP,,532,Hasselt,1994,conseils-provinciaux
WOW,,2762,Hasselt,1994,conseils-provinciaux
