Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
ECOLO,,14385,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PRL-FDF,2.0,25029,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PS,,16492,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PSC,1.0,23769,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
VIVANT,,1394,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
FN,,2197,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PNPB,,256,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PC,,364,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
PTB-UA,,151,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
UDDU,,246,Aarlen-Marche-en-Famenne-Bastogne,1999,parlement-wallon
ECOLO,2.0,38125,Charleroi,1999,parlement-wallon
PRL-FDF,2.0,37729,Charleroi,1999,parlement-wallon
PS,3.0,78967,Charleroi,1999,parlement-wallon
PSC,2.0,28939,Charleroi,1999,parlement-wallon
VIVANT,,6338,Charleroi,1999,parlement-wallon
FN,1.0,15893,Charleroi,1999,parlement-wallon
PNPB,,1004,Charleroi,1999,parlement-wallon
PC,,2786,Charleroi,1999,parlement-wallon
FNB,,3984,Charleroi,1999,parlement-wallon
PTB-UA,,1688,Charleroi,1999,parlement-wallon
PCN,,403,Charleroi,1999,parlement-wallon
WALLON,,5044,Charleroi,1999,parlement-wallon
FNBP,,532,Charleroi,1999,parlement-wallon
FRANCE,,759,Charleroi,1999,parlement-wallon
ECOLO,,15954,Dinant-Philippeville,1999,parlement-wallon
PRL-FDF,1.0,26998,Dinant-Philippeville,1999,parlement-wallon
PS,1.0,22999,Dinant-Philippeville,1999,parlement-wallon
PSC,1.0,25084,Dinant-Philippeville,1999,parlement-wallon
VIVANT,,1931,Dinant-Philippeville,1999,parlement-wallon
FN,,3490,Dinant-Philippeville,1999,parlement-wallon
PNPB,,257,Dinant-Philippeville,1999,parlement-wallon
PC,,474,Dinant-Philippeville,1999,parlement-wallon
PTB-UA,,359,Dinant-Philippeville,1999,parlement-wallon
FRANCE,,592,Dinant-Philippeville,1999,parlement-wallon
ECOLO,1.0,18593,Huy-Waremme,1999,parlement-wallon
PRL-FDF,1.0,25002,Huy-Waremme,1999,parlement-wallon
PS,2.0,40405,Huy-Waremme,1999,parlement-wallon
PSC,,14097,Huy-Waremme,1999,parlement-wallon
VIVANT,,2597,Huy-Waremme,1999,parlement-wallon
FN,,2723,Huy-Waremme,1999,parlement-wallon
