Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Cath/Kath,,50250,Alost-Audenarde,1900,sénat
Liberal/Liberaal,1.0,25896,Alost-Audenarde,1900,sénat
Cath/Kath,,61177,Anvers,1900,sénat
Liberal/Liberaal,2.0,45715,Anvers,1900,sénat
Cath/Kath,,23569,Bruges,1900,sénat
Liberal/Liberaal,1.0,12816,Bruges,1900,sénat
Cath/Kath,,86359,Bruxelles,1900,sénat
Liberal/Liberaal,2.0,44377,Bruxelles,1900,sénat
ONAFH,,15760,Bruxelles,1900,sénat
RADICAUX,2.0,42935,Bruxelles,1900,sénat
Cath/Kath,,48457,Charleroi-Thuin,1900,sénat
Socialist,3.0,77682,Charleroi-Thuin,1900,sénat
Liberal/Liberaal,1.0,31375,Charleroi-Thuin,1900,sénat
Cath/Kath,,55813,Courtrai-Ypres,1900,sénat
Liberal/Liberaal,1.0,22752,Courtrai-Ypres,1900,sénat
Cath/Kath,,28843,Furnes-Dixmude-Ostende,1900,sénat
Liberal/Liberaal,,12424,Furnes-Dixmude-Ostende,1900,sénat
Cath/Kath,,65883,Gand-Eeklo,1900,sénat
Liberal/Liberaal,1.0,30865,Gand-Eeklo,1900,sénat
soc rad,1.0,17838,Gand-Eeklo,1900,sénat
Cath/Kath,,19303,Huy-Waremme,1900,sénat
Liberal/Liberaal,1.0,29153,Huy-Waremme,1900,sénat
Cath/Kath,,33125,Liège,1900,sénat
Liberal/Liberaal,2.0,43641,Liège,1900,sénat
ONAFH,,2360,Liège,1900,sénat
RADICAUX,2.0,35260,Liège,1900,sénat
Cath/Kath,,40838,Louvain,1900,sénat
Liberal/Liberaal,1.0,22611,Louvain,1900,sénat
Cath/Kath,,61020,Malines-Turnhout,1900,sénat
Liberal/Liberaal,1.0,20217,Malines-Turnhout,1900,sénat
Cath/Kath,,40267,Mons-Soignies,1900,sénat
Socialist,1.0,41318,Mons-Soignies,1900,sénat
Liberal/Liberaal,2.0,38913,Mons-Soignies,1900,sénat
Liberal diss,,4633,Mons-Soignies,1900,sénat
Cath/Kath,,26021,Nivelles,1900,sénat
Liberal/Liberaal,1.0,27177,Nivelles,1900,sénat
Cath/Kath,,2,Roulers-Tielt,1900,sénat
Cath/Kath,,55791,Termonde-Saint-Nicolas,1900,sénat
Liberal/Liberaal,1.0,15654,Termonde-Saint-Nicolas,1900,sénat
Cath/Kath,,41993,Tournai-Ath,1900,sénat
Liberal/Liberaal,1.0,39116,Tournai-Ath,1900,sénat
Cath/Kath,,24633,Verviers,1900,sénat
Liberal/Liberaal,1.0,22288,Verviers,1900,sénat
