Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
BSP/PSB,1.0,35691,Alost,1954,chambre-des-représentants
PSC/CVP,3.0,60163,Alost,1954,chambre-des-représentants
Parti Liberale/Liberale,2.0,37150,Alost,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,9420,Alost,1954,chambre-des-représentants
KPB/PCB,,7441,Alost,1954,chambre-des-représentants
BSP/PSB,8.0,194591,Anvers,1954,chambre-des-représentants
PSC/CVP,9.0,207746,Anvers,1954,chambre-des-représentants
Parti Liberale/Liberale,2.0,43369,Anvers,1954,chambre-des-représentants
Christelijke Vlaamse Vol,1.0,21083,Anvers,1954,chambre-des-représentants
KPB/PCB,,12001,Anvers,1954,chambre-des-représentants
Radio AnTWERP,,10177,Anvers,1954,chambre-des-représentants
Middenstand/Classes Moye,,3434,Anvers,1954,chambre-des-représentants
PSC/CVP,2.0,37669,Arlon-Marche-Bastogne,1954,chambre-des-représentants
Kartel Lib Soc,1.0,28804,Arlon-Marche-Bastogne,1954,chambre-des-représentants
BSP/PSB,1.0,19176,Audenarde,1954,chambre-des-représentants
PSC/CVP,2.0,35687,Audenarde,1954,chambre-des-représentants
Parti Liberale/Liberale,,15317,Audenarde,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,1011,Audenarde,1954,chambre-des-représentants
KPB/PCB,,1587,Audenarde,1954,chambre-des-représentants
BSP/PSB,2.0,40184,Bruges,1954,chambre-des-représentants
PSC/CVP,3.0,61338,Bruges,1954,chambre-des-représentants
Parti Liberale/Liberale,,13865,Bruges,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,3462,Bruges,1954,chambre-des-représentants
KPB/PCB,,643,Bruges,1954,chambre-des-représentants
BSP/PSB,14.0,344135,Bruxelles,1954,chambre-des-représentants
PSC/CVP,10.0,240732,Bruxelles,1954,chambre-des-représentants
Parti Liberale/Liberale,6.0,146594,Bruxelles,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,10891,Bruxelles,1954,chambre-des-représentants
KPB/PCB,1.0,27082,Bruxelles,1954,chambre-des-représentants
Rassemblement Social Chr,1.0,40622,Bruxelles,1954,chambre-des-représentants
Parti Social Indépendant,,1075,Bruxelles,1954,chambre-des-représentants
Mouvement Européen,,581,Bruxelles,1954,chambre-des-représentants
union indépendant,,884,Bruxelles,1954,chambre-des-représentants
ancien combattants,,1839,Bruxelles,1954,chambre-des-représentants
BSP/PSB,6.0,156883,Charleroi,1954,chambre-des-représentants
PSC/CVP,2.0,55437,Charleroi,1954,chambre-des-représentants
Parti Liberale/Liberale,2.0,26422,Charleroi,1954,chambre-des-représentants
KPB/PCB,1.0,21804,Charleroi,1954,chambre-des-représentants
BSP/PSB,2.0,55056,Courtrai,1954,chambre-des-représentants
PSC/CVP,3.0,93282,Courtrai,1954,chambre-des-représentants
Parti Liberale/Liberale,1.0,13373,Courtrai,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,1687,Courtrai,1954,chambre-des-représentants
KPB/PCB,,3480,Courtrai,1954,chambre-des-représentants
Van Wonterghem,,1817,Courtrai,1954,chambre-des-représentants
BSP/PSB,2.0,28649,Dinant-Philippeville,1954,chambre-des-représentants
PSC/CVP,2.0,39965,Dinant-Philippeville,1954,chambre-des-représentants
Parti Liberale/Liberale,,11204,Dinant-Philippeville,1954,chambre-des-représentants
KPB/PCB,,3413,Dinant-Philippeville,1954,chambre-des-représentants
BSP/PSB,,35034,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
PSC/CVP,,54252,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
Parti Liberale/Liberale,,21636,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,3089,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
KPB/PCB,,1013,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
Dissidence lib,,1807,Furnes-Dixmude-Ostende,1954,chambre-des-représentants
BSP/PSB,4.0,95953,Gand-Eeklo,1954,chambre-des-représentants
PSC/CVP,7.0,172467,Gand-Eeklo,1954,chambre-des-représentants
Parti Liberale/Liberale,2.0,39632,Gand-Eeklo,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,8803,Gand-Eeklo,1954,chambre-des-représentants
KPB/PCB,,4662,Gand-Eeklo,1954,chambre-des-représentants
Universeel volk,,2377,Gand-Eeklo,1954,chambre-des-représentants
PSC/CVP,3.0,73878,Hasselt,1954,chambre-des-représentants
Christelijke Vlaamse Vol,,7492,Hasselt,1954,chambre-des-représentants
Universeel volk,,325,Hasselt,1954,chambre-des-représentants
Kartel Lib Soc,2.0,29781,Hasselt,1954,chambre-des-représentants
BSP/PSB,2.0,56411,Huy-Waremme,1954,chambre-des-représentants
PSC/CVP,2.0,31452,Huy-Waremme,1954,chambre-des-représentants
Parti Liberale/Liberale,,12300,Huy-Waremme,1954,chambre-des-représentants
KPB/PCB,,6050,Huy-Waremme,1954,chambre-des-représentants
