Parti,Nombre de sièges,Nombre de voix,commune,date,election
PFF,,320,Amblève,2014,parlement-de-la-communauté-germanophone
ProDG,,850,Amblève,2014,parlement-de-la-communauté-germanophone
VIVANT,,533,Amblève,2014,parlement-de-la-communauté-germanophone
ECOLO,,244,Amblève,2014,parlement-de-la-communauté-germanophone
SP,,560,Amblève,2014,parlement-de-la-communauté-germanophone
CSP,,701,Amblève,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,24,Amblève,2014,parlement-de-la-communauté-germanophone
PFF,,671,Bullange,2014,parlement-de-la-communauté-germanophone
ProDG,,844,Bullange,2014,parlement-de-la-communauté-germanophone
VIVANT,,494,Bullange,2014,parlement-de-la-communauté-germanophone
ECOLO,,153,Bullange,2014,parlement-de-la-communauté-germanophone
SP,,356,Bullange,2014,parlement-de-la-communauté-germanophone
CSP,,777,Bullange,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,24,Bullange,2014,parlement-de-la-communauté-germanophone
PFF,,233,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
ProDG,,594,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
VIVANT,,184,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
ECOLO,,91,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
SP,,233,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
CSP,,670,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,18,Burg-Reuland,2014,parlement-de-la-communauté-germanophone
PFF,,455,Butgenbach,2014,parlement-de-la-communauté-germanophone
ProDG,,554,Butgenbach,2014,parlement-de-la-communauté-germanophone
VIVANT,,686,Butgenbach,2014,parlement-de-la-communauté-germanophone
ECOLO,,257,Butgenbach,2014,parlement-de-la-communauté-germanophone
SP,,465,Butgenbach,2014,parlement-de-la-communauté-germanophone
CSP,,701,Butgenbach,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,22,Butgenbach,2014,parlement-de-la-communauté-germanophone
PFF,,1402,Eupen,2014,parlement-de-la-communauté-germanophone
ProDG,,2398,Eupen,2014,parlement-de-la-communauté-germanophone
VIVANT,,794,Eupen,2014,parlement-de-la-communauté-germanophone
ECOLO,,1405,Eupen,2014,parlement-de-la-communauté-germanophone
SP,,2020,Eupen,2014,parlement-de-la-communauté-germanophone
CSP,,2269,Eupen,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,126,Eupen,2014,parlement-de-la-communauté-germanophone
PFF,,766,La Calamine,2014,parlement-de-la-communauté-germanophone
ProDG,,549,La Calamine,2014,parlement-de-la-communauté-germanophone
VIVANT,,227,La Calamine,2014,parlement-de-la-communauté-germanophone
ECOLO,,364,La Calamine,2014,parlement-de-la-communauté-germanophone
SP,,868,La Calamine,2014,parlement-de-la-communauté-germanophone
CSP,,1185,La Calamine,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,57,La Calamine,2014,parlement-de-la-communauté-germanophone
PFF,,608,Lontzen,2014,parlement-de-la-communauté-germanophone
ProDG,,468,Lontzen,2014,parlement-de-la-communauté-germanophone
VIVANT,,185,Lontzen,2014,parlement-de-la-communauté-germanophone
ECOLO,,296,Lontzen,2014,parlement-de-la-communauté-germanophone
SP,,437,Lontzen,2014,parlement-de-la-communauté-germanophone
CSP,,574,Lontzen,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,37,Lontzen,2014,parlement-de-la-communauté-germanophone
PFF,,598,Raeren,2014,parlement-de-la-communauté-germanophone
ProDG,,703,Raeren,2014,parlement-de-la-communauté-germanophone
VIVANT,,195,Raeren,2014,parlement-de-la-communauté-germanophone
ECOLO,,362,Raeren,2014,parlement-de-la-communauté-germanophone
SP,,513,Raeren,2014,parlement-de-la-communauté-germanophone
CSP,,897,Raeren,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,38,Raeren,2014,parlement-de-la-communauté-germanophone
PFF,,794,Saint-Vith,2014,parlement-de-la-communauté-germanophone
ProDG,,1395,Saint-Vith,2014,parlement-de-la-communauté-germanophone
VIVANT,,699,Saint-Vith,2014,parlement-de-la-communauté-germanophone
ECOLO,,419,Saint-Vith,2014,parlement-de-la-communauté-germanophone
SP,,598,Saint-Vith,2014,parlement-de-la-communauté-germanophone
CSP,,1584,Saint-Vith,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,89,Saint-Vith,2014,parlement-de-la-communauté-germanophone
