Parti,Nombre de sièges,Nombre de voix,province,date,election
Social,8.0,76624,Anvers,1921,chambre-des-représentants
Liberal/Liberaal,4.0,39789,Anvers,1921,chambre-des-représentants
Cath. Diss,2.0,20949,Anvers,1921,chambre-des-représentants
onafh/indép,,4090,Anvers,1921,chambre-des-représentants
Cath/Kath,9.0,88495,Anvers,1921,chambre-des-représentants
Frontpartij,1.0,15238,Anvers,1921,chambre-des-représentants
Social,12.0,111619,Brabant,1921,chambre-des-représentants
Liberal/Liberaal,9.0,84605,Brabant,1921,chambre-des-représentants
Cath/Kath,8.0,79108,Brabant,1921,chambre-des-représentants
Frontpartij,1.0,12712,Brabant,1921,chambre-des-représentants
Combattants,1.0,19401,Brabant,1921,chambre-des-représentants
Christene Volkspartij,6.0,57183,Brabant,1921,chambre-des-représentants
Union Nationale,,5369,Brabant,1921,chambre-des-représentants
soc rad,,1418,Brabant,1921,chambre-des-représentants
Lib Volksbond,,3497,Brabant,1921,chambre-des-représentants
Middenstand,,4703,Brabant,1921,chambre-des-représentants
Kath pop,,1006,Brabant,1921,chambre-des-représentants
Commercants,,2226,Brabant,1921,chambre-des-représentants
Reformist,,343,Brabant,1921,chambre-des-représentants
Dém indep,,128,Brabant,1921,chambre-des-représentants
Agriculteur,,241,Brabant,1921,chambre-des-représentants
Agriculteurs (2),,353,Brabant,1921,chambre-des-représentants
Social,5.0,42261,Flandre occidentale,1921,chambre-des-représentants
Liberal/Liberaal,3.0,27182,Flandre occidentale,1921,chambre-des-représentants
Cath/Kath,11.0,93275,Flandre occidentale,1921,chambre-des-représentants
Frontpartij,2.0,17848,Flandre occidentale,1921,chambre-des-représentants
Middenstand,,544,Flandre occidentale,1921,chambre-des-représentants
Parti Pop Chrét Libre,,698,Flandre occidentale,1921,chambre-des-représentants
Sinistrés,,542,Flandre occidentale,1921,chambre-des-représentants
Dem Chrét,,583,Flandre occidentale,1921,chambre-des-représentants
Ouvr Chrét,1.0,18434,Flandre occidentale,1921,chambre-des-représentants
Social,9.0,74706,Flandre orientale,1921,chambre-des-représentants
Liberal/Liberaal,4.0,36522,Flandre orientale,1921,chambre-des-représentants
Cath/Kath,14.0,122868,Flandre orientale,1921,chambre-des-représentants
Frontpartij,,10953,Flandre orientale,1921,chambre-des-représentants
Ouvr Chrét,,7958,Flandre orientale,1921,chambre-des-représentants
Diss Cath Natio,,7904,Flandre orientale,1921,chambre-des-représentants
Comm de Justice,,2162,Flandre orientale,1921,chambre-des-représentants
Dissid Cath,1.0,13764,Flandre orientale,1921,chambre-des-représentants
Help U Zelf,,2291,Flandre orientale,1921,chambre-des-représentants
Int comm (1),,520,Flandre orientale,1921,chambre-des-représentants
Int comm (2),,313,Flandre orientale,1921,chambre-des-représentants
Social,18.0,194748,Hainaut,1921,chambre-des-représentants
Liberal/Liberaal,6.0,65772,Hainaut,1921,chambre-des-représentants
Cath/Kath,7.0,86299,Hainaut,1921,chambre-des-représentants
Middenstand,,961,Hainaut,1921,chambre-des-représentants
Soc diss,,1318,Hainaut,1921,chambre-des-représentants
Parti Natio Pop,,1551,Hainaut,1921,chambre-des-représentants
Social,12.0,124105,Liège,1921,chambre-des-représentants
Liberal/Liberaal,4.0,47342,Liège,1921,chambre-des-représentants
Cath/Kath,6.0,67577,Liège,1921,chambre-des-représentants
Parti National,,3521,Liège,1921,chambre-des-représentants
Communist,,939,Liège,1921,chambre-des-représentants
Social,,4851,Limbourg,1921,chambre-des-représentants
Liberal/Liberaal,1.0,10816,Limbourg,1921,chambre-des-représentants
Cath/Kath,6.0,42371,Limbourg,1921,chambre-des-représentants
Frontpartij,,2039,Limbourg,1921,chambre-des-représentants
Dissid Cath,,239,Limbourg,1921,chambre-des-représentants
Cath National,,6558,Limbourg,1921,chambre-des-représentants
Dissid libérales,,2460,Limbourg,1921,chambre-des-représentants
Sans Couleur,,131,Limbourg,1921,chambre-des-représentants
Isolé (2),,349,Limbourg,1921,chambre-des-représentants
Social,1.0,12493,Luxembourg,1921,chambre-des-représentants
Liberal/Liberaal,1.0,14532,Luxembourg,1921,chambre-des-représentants
Cath/Kath,4.0,31936,Luxembourg,1921,chambre-des-représentants
Social,3.0,31071,Namur,1921,chambre-des-représentants
Liberal/Liberaal,1.0,17399,Namur,1921,chambre-des-représentants
Cath/Kath,5.0,45316,Namur,1921,chambre-des-représentants
Union Nationale,,930,Namur,1921,chambre-des-représentants
Soc diss,,3917,Namur,1921,chambre-des-représentants
