Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
PSC,2.0,436108,College électoral français,1984,parlement-européen
PS,5.0,762293,College électoral français,1984,parlement-européen
PRL,3.0,540610,College électoral français,1984,parlement-européen
ECOLO,1.0,220663,College électoral français,1984,parlement-européen
FDF-CFE,,142879,College électoral français,1984,parlement-européen
PWE,,51903,College électoral français,1984,parlement-européen
PCB,,61605,College électoral français,1984,parlement-européen
POS-LRT,,10471,College électoral français,1984,parlement-européen
PTB,,13082,College électoral français,1984,parlement-européen
CVP-EVP,4.0,1132682,College électoral néerlandais,1984,parlement-européen
SP,4.0,979702,College électoral néerlandais,1984,parlement-européen
PVV-ELD,2.0,494277,College électoral néerlandais,1984,parlement-européen
AGALEV,1.0,246712,College électoral néerlandais,1984,parlement-européen
VU-EVA,2.0,484494,College électoral néerlandais,1984,parlement-européen
VLAAMS BLOK,,73174,College électoral néerlandais,1984,parlement-européen
KPB,,25774,College électoral néerlandais,1984,parlement-européen
PVDA,,30555,College électoral néerlandais,1984,parlement-européen
SAP-RAL,,14910,College électoral néerlandais,1984,parlement-européen
