Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
VIVANT,,1198,Collège électoral germanophone,1999,parlement-européen
ECOLO,,6276,Collège électoral germanophone,1999,parlement-européen
PFF,,7234,Collège électoral germanophone,1999,parlement-européen
SP.,,4215,Collège électoral germanophone,1999,parlement-européen
CSP-EVP,1.0,13456,Collège électoral germanophone,1999,parlement-européen
P.D.B.,,3661,Collège électoral germanophone,1999,parlement-européen
JUROPA,,788,Collège électoral germanophone,1999,parlement-européen
PAB-AE,,72,Collège électoral germanophone,1999,parlement-européen
ECOLO,3.0,525316,College électoral français,1999,parlement-européen
PRL-FDF,3.0,624445,College électoral français,1999,parlement-européen
PS,3.0,596567,College électoral français,1999,parlement-européen
PSC,1.0,307912,College électoral français,1999,parlement-européen
VIVANT.,,55133,College électoral français,1999,parlement-européen
FN,,94848,College électoral français,1999,parlement-européen
FNB,,24792,College électoral français,1999,parlement-européen
PNPb.,,10458,College électoral français,1999,parlement-européen
PC,,25539,College électoral français,1999,parlement-européen
PCN,,2720,College électoral français,1999,parlement-européen
DEBOUT,,46088,College électoral français,1999,parlement-européen
AGA-GRO,2.0,464042,College électoral néerlandais,1999,parlement-européen
SP,2.0,550237,College électoral néerlandais,1999,parlement-européen
VLD,3.0,847099,College électoral néerlandais,1999,parlement-européen
VLAAMS BLOK,2.0,584392,College électoral néerlandais,1999,parlement-européen
VU-ID,2.0,471238,College électoral néerlandais,1999,parlement-européen
CVP,3.0,839720,College électoral néerlandais,1999,parlement-européen
PVDA-AE,,21966,College électoral néerlandais,1999,parlement-européen
PNPB,,17095,College électoral néerlandais,1999,parlement-européen
VIVANT,,67107,College électoral néerlandais,1999,parlement-européen
SOLIDE,,9528,College électoral néerlandais,1999,parlement-européen
