Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
CD&V NVA,8,327558,Circonscription d'Anvers,2007,chambre-des-représentants
VLAAMS BELANG,6,269236,Circonscription d'Anvers,2007,chambre-des-représentants
open vld,4,179089,Circonscription d'Anvers,2007,chambre-des-représentants
GROEN!,1,76790,Circonscription d'Anvers,2007,chambre-des-représentants
sp.a-spirit,4,184686,Circonscription d'Anvers,2007,chambre-des-représentants
Lijst Dedecker,1,60570,Circonscription d'Anvers,2007,chambre-des-représentants
CAP,0,4059,Circonscription d'Anvers,2007,chambre-des-représentants
PVDA+,0,14955,Circonscription d'Anvers,2007,chambre-des-représentants
NP-FN,0,1605,Circonscription d'Anvers,2007,chambre-des-représentants
FN,0,16449,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
CDH,2,79521,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
CD&V NVA,3,103202,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
VLAAMS BELANG,2,81046,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
MR,6,193249,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
open vld,2,77129,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
PS,3,116826,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
GROEN!,1,23202,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
sp.a-spirit,1,40598,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
ECOLO,2,77444,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
Lijst Dedecker,0,16035,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
PC,0,2245,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
R.W.F.,0,2398,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
PTB+PVDA+,0,3478,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
CDF,0,3980,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
FDB,0,901,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
CAP,0,1827,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
VÉLORUTION,0,1453,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
PJM,0,4373,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
TREFLE,0,920,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
FN B,0,1328,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
BELG.UNIE-BUB,0,2644,Circonscription de Bruxelles-Hal-Vilvorde,2007,chambre-des-représentants
CD&V NVA,6,274888,Circonscription de Flandre occidentale,2007,chambre-des-représentants
VLAAMS BELANG,2,115982,Circonscription de Flandre occidentale,2007,chambre-des-représentants
open vld,3,133238,Circonscription de Flandre occidentale,2007,chambre-des-représentants
GROEN!,1,46763,Circonscription de Flandre occidentale,2007,chambre-des-représentants
sp.a-spirit,2,131764,Circonscription de Flandre occidentale,2007,chambre-des-représentants
Lijst Dedecker,2,90403,Circonscription de Flandre occidentale,2007,chambre-des-représentants
CAP,0,2394,Circonscription de Flandre occidentale,2007,chambre-des-représentants
PVDA+,0,4621,Circonscription de Flandre occidentale,2007,chambre-des-représentants
BELG.UNIE-BUB,0,1935,Circonscription de Flandre occidentale,2007,chambre-des-représentants
vital,0,1780,Circonscription de Flandre occidentale,2007,chambre-des-représentants
CD&V NVA,6,260584,Circonscription de Flandre orientale,2007,chambre-des-représentants
VLAAMS BELANG,4,181331,Circonscription de Flandre orientale,2007,chambre-des-représentants
open vld,5,234906,Circonscription de Flandre orientale,2007,chambre-des-représentants
GROEN!,1,70438,Circonscription de Flandre orientale,2007,chambre-des-représentants
sp.a-spirit,3,154536,Circonscription de Flandre orientale,2007,chambre-des-représentants
Lijst Dedecker,1,60909,Circonscription de Flandre orientale,2007,chambre-des-représentants
CAP,0,3749,Circonscription de Flandre orientale,2007,chambre-des-représentants
PVDA+,0,9644,Circonscription de Flandre orientale,2007,chambre-des-représentants
FN,1,58408,Circonscription de Hainaut,2007,chambre-des-représentants
CDH,3,104565,Circonscription de Hainaut,2007,chambre-des-représentants
MR,6,199859,Circonscription de Hainaut,2007,chambre-des-représentants
PS,7,254070,Circonscription de Hainaut,2007,chambre-des-représentants
ECOLO,2,78777,Circonscription de Hainaut,2007,chambre-des-représentants
PC,0,10654,Circonscription de Hainaut,2007,chambre-des-représentants
R.W.F.,0,9805,Circonscription de Hainaut,2007,chambre-des-représentants
PTB+,0,6376,Circonscription de Hainaut,2007,chambre-des-représentants
FORCE NATIONALE,0,2928,Circonscription de Hainaut,2007,chambre-des-représentants
