Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
SP,3,714947,Collège électoral français,2009,parlement-européen
CSP,1,327824,Collège électoral français,2009,parlement-européen
PFF,2,640092,Collège électoral français,2009,parlement-européen
ECOLO,2,562081,Collège électoral français,2009,parlement-européen
R.W.F.,0,30488,Collège électoral français,2009,parlement-européen
FN,0,87706,Collège électoral français,2009,parlement-européen
PTB+,0,28483,Collège électoral français,2009,parlement-européen
PC-GE,0,7533,Collège électoral français,2009,parlement-européen
MS,0,4939,Collège électoral français,2009,parlement-européen
LCR-PSL,0,7954,Collège électoral français,2009,parlement-européen
CAP D'ORAZIO,0,7626,Collège électoral français,2009,parlement-européen
WALLONIE D'ABORD,0,37505,Collège électoral français,2009,parlement-européen
SP,0,5658,Collège électoral germanophone,2009,parlement-européen
CSP,1,12475,Collège électoral germanophone,2009,parlement-européen
PFF,0,7878,Collège électoral germanophone,2009,parlement-européen
ECOLO,0,6025,Collège électoral germanophone,2009,parlement-européen
EUROPA der WERTE,0,330,Collège électoral germanophone,2009,parlement-européen
ProDG,0,3897,Collège électoral germanophone,2009,parlement-européen
VIVANT,0,2417,Collège électoral germanophone,2009,parlement-européen
SP.A,2,539393,Collège électoral néerlandais,2009,parlement-européen
SLP,0,26541,Collège électoral néerlandais,2009,parlement-européen
N-VA,1,402545,Collège électoral néerlandais,2009,parlement-européen
GROEN!,1,322149,Collège électoral néerlandais,2009,parlement-européen
VLAAMS BELANG,2,647170,Collège électoral néerlandais,2009,parlement-européen
CD&V,3,948123,Collège électoral néerlandais,2009,parlement-européen
open vld,3,837884,Collège électoral néerlandais,2009,parlement-européen
Lijst Dedecker,1,296699,Collège électoral néerlandais,2009,parlement-européen
CAP,0,6398,Collège électoral néerlandais,2009,parlement-européen
LSP,0,8985,Collège électoral néerlandais,2009,parlement-européen
PVDA+,0,40057,Collège électoral néerlandais,2009,parlement-européen
