Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
AGALEV,,22840,Alost-Audenarde,1999,parlement-flamand
SP,2.0,43307,Alost-Audenarde,1999,parlement-flamand
VLD,2.0,73381,Alost-Audenarde,1999,parlement-flamand
VLAAMS BLOK,2.0,37662,Alost-Audenarde,1999,parlement-flamand
VU-ID,1.0,20670,Alost-Audenarde,1999,parlement-flamand
CVP,1.0,53616,Alost-Audenarde,1999,parlement-flamand
VIVANT,,4478,Alost-Audenarde,1999,parlement-flamand
PNPB,,430,Alost-Audenarde,1999,parlement-flamand
UDDU,,319,Alost-Audenarde,1999,parlement-flamand
LEEF,,1621,Alost-Audenarde,1999,parlement-flamand
PVDA-AE,,798,Alost-Audenarde,1999,parlement-flamand
AGALEV,3.0,81273,Anvers,1999,parlement-flamand
SP,2.0,71181,Anvers,1999,parlement-flamand
VLD,4.0,112784,Anvers,1999,parlement-flamand
VLAAMS BLOK,6.0,147088,Anvers,1999,parlement-flamand
VU-ID,1.0,47666,Anvers,1999,parlement-flamand
CVP,3.0,91889,Anvers,1999,parlement-flamand
VIVANT,,13555,Anvers,1999,parlement-flamand
PNPB,,1475,Anvers,1999,parlement-flamand
UDDU,,1225,Anvers,1999,parlement-flamand
SOLIDE,,1396,Anvers,1999,parlement-flamand
PVDA-AE,,7248,Anvers,1999,parlement-flamand
W.O.W.,,3677,Anvers,1999,parlement-flamand
AGALEV,1.0,23326,Bruges,1999,parlement-flamand
SP,1.0,27850,Bruges,1999,parlement-flamand
VLD,1.0,40558,Bruges,1999,parlement-flamand
VLAAMS BLOK,,21960,Bruges,1999,parlement-flamand
VU-ID,,15065,Bruges,1999,parlement-flamand
CVP,2.0,49308,Bruges,1999,parlement-flamand
VIVANT,,3917,Bruges,1999,parlement-flamand
PNPB,,634,Bruges,1999,parlement-flamand
PVDA-AE,,778,Bruges,1999,parlement-flamand
AGALEV,1.0,33875,Courtrai-Roulers-Tielt,1999,parlement-flamand
SP,2.0,50645,Courtrai-Roulers-Tielt,1999,parlement-flamand
VLD,2.0,72024,Courtrai-Roulers-Tielt,1999,parlement-flamand
VLAAMS BLOK,1.0,38238,Courtrai-Roulers-Tielt,1999,parlement-flamand
VU-ID,1.0,31265,Courtrai-Roulers-Tielt,1999,parlement-flamand
CVP,3.0,105727,Courtrai-Roulers-Tielt,1999,parlement-flamand
VIVANT,,6242,Courtrai-Roulers-Tielt,1999,parlement-flamand
PNPB,,1102,Courtrai-Roulers-Tielt,1999,parlement-flamand
PVDA-AE,,1463,Courtrai-Roulers-Tielt,1999,parlement-flamand
AGALEV,,20862,Furnes-Dixmude-Ypres,1999,parlement-flamand
SP,1.0,49511,Furnes-Dixmude-Ypres,1999,parlement-flamand
VLD,2.0,53765,Furnes-Dixmude-Ypres,1999,parlement-flamand
VLAAMS BLOK,1.0,25214,Furnes-Dixmude-Ypres,1999,parlement-flamand
VU-ID,1.0,20085,Furnes-Dixmude-Ypres,1999,parlement-flamand
CVP,2.0,54192,Furnes-Dixmude-Ypres,1999,parlement-flamand
VIVANT,,3961,Furnes-Dixmude-Ypres,1999,parlement-flamand
vital,,563,Furnes-Dixmude-Ypres,1999,parlement-flamand
PNPB,,865,Furnes-Dixmude-Ypres,1999,parlement-flamand
PVDA-AE,,752,Furnes-Dixmude-Ypres,1999,parlement-flamand
V.N.P.,,727,Furnes-Dixmude-Ypres,1999,parlement-flamand
AGALEV,2.0,53919,Gand-Eeklo,1999,parlement-flamand
SP,1.0,45023,Gand-Eeklo,1999,parlement-flamand
VLD,3.0,92865,Gand-Eeklo,1999,parlement-flamand
