Parti,Nombre de sièges,Nombre de voix,province,date,election
AGALEV,4.0,138617,Anvers,1999,parlement-flamand
SP,4.0,130390,Anvers,1999,parlement-flamand
VLD,7.0,201643,Anvers,1999,parlement-flamand
VLAAMS BLOK,8.0,224289,Anvers,1999,parlement-flamand
VU-ID,3.0,102203,Anvers,1999,parlement-flamand
CVP,7.0,214248,Anvers,1999,parlement-flamand
VIVANT,,21641,Anvers,1999,parlement-flamand
PNPB,,2731,Anvers,1999,parlement-flamand
UDDU,,2450,Anvers,1999,parlement-flamand
SOLIDE,,1396,Anvers,1999,parlement-flamand
PVDA-AE,,9885,Anvers,1999,parlement-flamand
W.O.W.,,6339,Anvers,1999,parlement-flamand
AGALEV,2.0,81185,Brabant flamand,1999,parlement-flamand
SP,3.0,88991,Brabant flamand,1999,parlement-flamand
VLD,5.0,151844,Brabant flamand,1999,parlement-flamand
VLAAMS BLOK,3.0,87638,Brabant flamand,1999,parlement-flamand
VU-ID,2.0,57040,Brabant flamand,1999,parlement-flamand
CVP,4.0,123096,Brabant flamand,1999,parlement-flamand
VIVANT,,16954,Brabant flamand,1999,parlement-flamand
A,,1037,Brabant flamand,1999,parlement-flamand
PNPB,,2249,Brabant flamand,1999,parlement-flamand
UDDU,,509,Brabant flamand,1999,parlement-flamand
PVDA-AE,,2581,Brabant flamand,1999,parlement-flamand
UF,1.0,36683,Brabant flamand,1999,parlement-flamand
W.O.W.,,662,Brabant flamand,1999,parlement-flamand
AGALEV,2.0,78063,Flandre occidentale,1999,parlement-flamand
SP,4.0,128006,Flandre occidentale,1999,parlement-flamand
VLD,5.0,166347,Flandre occidentale,1999,parlement-flamand
VLAAMS BLOK,2.0,85412,Flandre occidentale,1999,parlement-flamand
VU-ID,2.0,66415,Flandre occidentale,1999,parlement-flamand
CVP,7.0,209227,Flandre occidentale,1999,parlement-flamand
VIVANT,,14120,Flandre occidentale,1999,parlement-flamand
vital,,563,Flandre occidentale,1999,parlement-flamand
PNPB,,2601,Flandre occidentale,1999,parlement-flamand
PVDA-AE,,2993,Flandre occidentale,1999,parlement-flamand
V.N.P.,,727,Flandre occidentale,1999,parlement-flamand
AGALEV,3.0,106637,Flandre orientale,1999,parlement-flamand
SP,4.0,126375,Flandre orientale,1999,parlement-flamand
VLD,7.0,228631,Flandre orientale,1999,parlement-flamand
VLAAMS BLOK,5.0,143815,Flandre orientale,1999,parlement-flamand
VU-ID,3.0,87483,Flandre orientale,1999,parlement-flamand
CVP,6.0,198194,Flandre orientale,1999,parlement-flamand
VIVANT,,18449,Flandre orientale,1999,parlement-flamand
A,,1294,Flandre orientale,1999,parlement-flamand
MLINKS,,478,Flandre orientale,1999,parlement-flamand
PNPB,,1834,Flandre orientale,1999,parlement-flamand
UDDU,,319,Flandre orientale,1999,parlement-flamand
LEEF,,1621,Flandre orientale,1999,parlement-flamand
PVDA-AE,,5217,Flandre orientale,1999,parlement-flamand
W.O.W.,,1042,Flandre orientale,1999,parlement-flamand
W.I.T.,,1659,Flandre orientale,1999,parlement-flamand
AGALEV,1.0,46859,Limbourg,1999,parlement-flamand
SP,4.0,108657,Limbourg,1999,parlement-flamand
VLD,3.0,107402,Limbourg,1999,parlement-flamand
VLAAMS BLOK,2.0,62191,Limbourg,1999,parlement-flamand
VU-ID,1.0,46085,Limbourg,1999,parlement-flamand
CVP,4.0,112967,Limbourg,1999,parlement-flamand
VIVANT,,6700,Limbourg,1999,parlement-flamand
PNPB,,3074,Limbourg,1999,parlement-flamand
UDDU,,872,Limbourg,1999,parlement-flamand
SOLIDE,,1068,Limbourg,1999,parlement-flamand
PVDA-AE,,3486,Limbourg,1999,parlement-flamand
