Parti,Nombre de sièges,Nombre de voix,province,date,election
BSP,4.0,225775,Anvers,1977,sénat
VU,3.0,161257,Anvers,1977,sénat
KPB-PCB,,15750,Anvers,1977,sénat
CVP,8.0,410032,Anvers,1977,sénat
PVV,2.0,100051,Anvers,1977,sénat
AMADA/tpo,,10530,Anvers,1977,sénat
VFP-PFU,,1363,Anvers,1977,sénat
AGALEV,,3270,Anvers,1977,sénat
VOP,,896,Anvers,1977,sénat
RW,,719,Anvers,1977,sénat
BSP,1.0,92193,Brabant,1977,sénat
VU,2.0,110340,Brabant,1977,sénat
KPB-PCB,,31787,Brabant,1977,sénat
CVP,5.0,252118,Brabant,1977,sénat
PVV,2.0,100273,Brabant,1977,sénat
AMADA/tpo,,5965,Brabant,1977,sénat
VFP-PFU,,2050,Brabant,1977,sénat
RW,,26171,Brabant,1977,sénat
PL,2.0,70458,Brabant,1977,sénat
FDF,6.0,246367,Brabant,1977,sénat
UB,,1182,Brabant,1977,sénat
PSB,3.0,146791,Brabant,1977,sénat
PSC,3.0,118767,Brabant,1977,sénat
PRLW,,30442,Brabant,1977,sénat
URB,,207,Brabant,1977,sénat
BSP,3.0,155954,Flandre occidentale,1977,sénat
VU,2.0,101234,Flandre occidentale,1977,sénat
KPB-PCB,,6886,Flandre occidentale,1977,sénat
CVP,5.0,284527,Flandre occidentale,1977,sénat
PVV,1.0,79012,Flandre occidentale,1977,sénat
AMADA/tpo,,1706,Flandre occidentale,1977,sénat
BSP,3.0,172778,Flandre orientale,1977,sénat
VU,2.0,139263,Flandre orientale,1977,sénat
KPB-PCB,,13367,Flandre orientale,1977,sénat
CVP,6.0,323628,Flandre orientale,1977,sénat
PVV,3.0,148735,Flandre orientale,1977,sénat
AMADA/tpo,,4024,Flandre orientale,1977,sénat
AMADA/tpo,,1413,Hainaut,1977,sénat
RW,1.0,67389,Hainaut,1977,sénat
PSB,8.0,308760,Hainaut,1977,sénat
PSC,3.0,147232,Hainaut,1977,sénat
PRLW,2.0,103346,Hainaut,1977,sénat
PLPW,,5305,Hainaut,1977,sénat
PCB-UDP,,50749,Hainaut,1977,sénat
LRT-RAL,,387,Hainaut,1977,sénat
ECOLO,,3364,Hainaut,1977,sénat
KPB-PCB,,32460,Liège,1977,sénat
AMADA/tpo,,1374,Liège,1977,sénat
RW,1.0,39705,Liège,1977,sénat
PSB,6.0,221664,Liège,1977,sénat
PSC,3.0,139578,Liège,1977,sénat
PRLW,2.0,102933,Liège,1977,sénat
PDB,,10213,Liège,1977,sénat
BSP,1.0,72833,Limbourg,1977,sénat
VU,1.0,50800,Limbourg,1977,sénat
KPB-PCB,,2260,Limbourg,1977,sénat
CVP,4.0,176501,Limbourg,1977,sénat
PVV,1.0,44574,Limbourg,1977,sénat
AMADA/tpo,,2681,Limbourg,1977,sénat
PSC,1.0,53823,Luxembourg,1977,sénat
PRLW,,33691,Luxembourg,1977,sénat
PSB-RW,1.0,33945,Luxembourg,1977,sénat
KPB-PCB,,5490,Namur,1977,sénat
RW,,24658,Namur,1977,sénat
PSB,2.0,79186,Namur,1977,sénat
PSC,1.0,63213,Namur,1977,sénat
PRLW,1.0,45880,Namur,1977,sénat
ECOLO,,4194,Namur,1977,sénat
