Parti,Nombre de sièges,Nombre de voix,commune,date,election
act-SALEM,,49,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,172,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,28,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,19,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,99,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,35,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,36,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,13,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,8374,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,1797,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,4233,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,6274,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,836,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,2145,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,946,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,1001,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,4880,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,8830,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,1001,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,2755,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,14754,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,603,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,366,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,2217,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,379,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,597,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,242,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,101,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,656,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,278,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,91,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,91,Bruxelles,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3308,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,423,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,1047,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,3755,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,188,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,344,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,114,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,210,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,1602,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,1295,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,342,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,630,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,2019,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,89,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,235,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,288,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,30,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,183,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,45,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,15,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,55,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,84,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,21,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,17,Etterbeek,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,2281,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,471,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,916,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,2192,Evere,2019,parlement-de-la-région-de-bruxelles-capitale
