Parti,Nombre de sièges,Nombre de voix,province,date,election
Cath/Kath,15.0,178395,Anvers,1912,chambre-des-représentants
CARTEL,9.0,116100,Anvers,1912,chambre-des-représentants
onafh/indép,,4390,Anvers,1912,chambre-des-représentants
Cath/Kath,18.0,239905,Brabant,1912,chambre-des-représentants
Liberal/Liberaal,8.0,104176,Brabant,1912,chambre-des-représentants
Social,6.0,72865,Brabant,1912,chambre-des-représentants
CARTEL,5.0,80762,Brabant,1912,chambre-des-représentants
christ democr,,2787,Brabant,1912,chambre-des-représentants
Cath/Kath,17.0,195636,Flandre occidentale,1912,chambre-des-représentants
Liberal/Liberaal,3.0,31058,Flandre occidentale,1912,chambre-des-représentants
Social,,1443,Flandre occidentale,1912,chambre-des-représentants
CARTEL,2.0,47183,Flandre occidentale,1912,chambre-des-représentants
christ democr,,1570,Flandre occidentale,1912,chambre-des-représentants
Cath/Kath,18.0,228136,Flandre orientale,1912,chambre-des-représentants
Liberal/Liberaal,6.0,74296,Flandre orientale,1912,chambre-des-représentants
Social,2.0,22899,Flandre orientale,1912,chambre-des-représentants
CARTEL,1.0,12811,Flandre orientale,1912,chambre-des-représentants
christ democr,1.0,14960,Flandre orientale,1912,chambre-des-représentants
onafh/indép,,2948,Flandre orientale,1912,chambre-des-représentants
Cath/Kath,10.0,179855,Hainaut,1912,chambre-des-représentants
Liberal/Liberaal,1.0,23324,Hainaut,1912,chambre-des-représentants
Social,4.0,54335,Hainaut,1912,chambre-des-représentants
CARTEL,16.0,264925,Hainaut,1912,chambre-des-représentants
onafh/indép,,1435,Hainaut,1912,chambre-des-représentants
Cath/Kath,8.0,116978,Liège,1912,chambre-des-représentants
Liberal/Liberaal,3.0,39986,Liège,1912,chambre-des-représentants
Social,6.0,91796,Liège,1912,chambre-des-représentants
CARTEL,5.0,74346,Liège,1912,chambre-des-représentants
Cath/Kath,7.0,73552,Limbourg,1912,chambre-des-représentants
Liberal/Liberaal,,18244,Limbourg,1912,chambre-des-représentants
Cath/Kath,4.0,51314,Luxembourg,1912,chambre-des-représentants
CARTEL,2.0,38929,Luxembourg,1912,chambre-des-représentants
Cath/Kath,4.0,73544,Namur,1912,chambre-des-représentants
CARTEL,5.0,75403,Namur,1912,chambre-des-représentants
onafh/indép,,11485,Namur,1912,chambre-des-représentants
