Parti,Nombre de sièges,Nombre de voix,province,date,election
PVV/PLP,4.0,113015,Anvers,1974,chambre-des-représentants
BSP/PSB,8.0,201269,Anvers,1974,chambre-des-représentants
VU,7.0,161092,Anvers,1974,chambre-des-représentants
KPB/PCB,,18824,Anvers,1974,chambre-des-représentants
CVP,14.0,345139,Anvers,1974,chambre-des-représentants
PMO,,5608,Anvers,1974,chambre-des-représentants
AMADA/tpo,,14925,Anvers,1974,chambre-des-représentants
Kaganov,,1678,Anvers,1974,chambre-des-représentants
VFP-PFU,,4891,Anvers,1974,chambre-des-représentants
PVV/PLP,5.0,122384,Brabant,1974,chambre-des-représentants
VU,4.0,104041,Brabant,1974,chambre-des-représentants
KPB/PCB,1.0,38359,Brabant,1974,chambre-des-représentants
CVP,8.0,197072,Brabant,1974,chambre-des-représentants
PMO,,581,Brabant,1974,chambre-des-représentants
VFP-PFU,,5438,Brabant,1974,chambre-des-représentants
PSC,6.0,128119,Brabant,1974,chambre-des-représentants
FDF-PLDP,14.0,301303,Brabant,1974,chambre-des-représentants
PSB,7.0,164592,Brabant,1974,chambre-des-représentants
BSP RODE LEEUWEN,3.0,86929,Brabant,1974,chambre-des-représentants
PRS,,905,Brabant,1974,chambre-des-représentants
Rex Fr.,,2764,Brabant,1974,chambre-des-représentants
PUR,,184,Brabant,1974,chambre-des-représentants
PLP,,20886,Brabant,1974,chambre-des-représentants
URB,,389,Brabant,1974,chambre-des-représentants
FDP,,4729,Brabant,1974,chambre-des-représentants
PVV/PLP,3.0,84516,Flandre occidentale,1974,chambre-des-représentants
BSP/PSB,6.0,139843,Flandre occidentale,1974,chambre-des-représentants
VU,4.0,108905,Flandre occidentale,1974,chambre-des-représentants
KPB/PCB,,6862,Flandre occidentale,1974,chambre-des-représentants
CVP,10.0,248676,Flandre occidentale,1974,chambre-des-représentants
VFP-PFU,,2269,Flandre occidentale,1974,chambre-des-représentants
A74,,979,Flandre occidentale,1974,chambre-des-représentants
PVV/PLP,7.0,184630,Flandre orientale,1974,chambre-des-représentants
BSP/PSB,6.0,156398,Flandre orientale,1974,chambre-des-représentants
VU,5.0,119458,Flandre orientale,1974,chambre-des-représentants
KPB/PCB,,13112,Flandre orientale,1974,chambre-des-représentants
CVP,11.0,284062,Flandre orientale,1974,chambre-des-représentants
PMO,,2995,Flandre orientale,1974,chambre-des-représentants
AMADA/tpo,,3493,Flandre orientale,1974,chambre-des-représentants
VFP-PFU,,2161,Flandre orientale,1974,chambre-des-représentants
DIEPENDALE,,1229,Flandre orientale,1974,chambre-des-représentants
SAP,,1445,Flandre orientale,1974,chambre-des-représentants
PVV/PLP,4.0,91472,Hainaut,1974,chambre-des-représentants
BSP/PSB,13.0,272336,Hainaut,1974,chambre-des-représentants
UDP,,58527,Hainaut,1974,chambre-des-représentants
VFP-PFU,,1841,Hainaut,1974,chambre-des-représentants
PSC,6.0,128096,Hainaut,1974,chambre-des-représentants
RW,2.0,112932,Hainaut,1974,chambre-des-représentants
PLW,,6220,Hainaut,1974,chambre-des-représentants
Trotskyst,,645,Hainaut,1974,chambre-des-représentants
PVV/PLP,3.0,74072,Liège,1974,chambre-des-représentants
BSP/PSB,9.0,204125,Liège,1974,chambre-des-représentants
KPB/PCB,1.0,28432,Liège,1974,chambre-des-représentants
VFP-PFU,,1686,Liège,1974,chambre-des-représentants
PSC,5.0,122116,Liège,1974,chambre-des-représentants
RW,4.0,94295,Liège,1974,chambre-des-représentants
PLW,,626,Liège,1974,chambre-des-représentants
PDB,,8700,Liège,1974,chambre-des-représentants
PVV/PLP,2.0,42261,Limbourg,1974,chambre-des-représentants
BSP/PSB,3.0,79311,Limbourg,1974,chambre-des-représentants
VU,2.0,42791,Limbourg,1974,chambre-des-représentants
KPB/PCB,,1892,Limbourg,1974,chambre-des-représentants
CVP,7.0,147697,Limbourg,1974,chambre-des-représentants
AMADA/tpo,,1376,Limbourg,1974,chambre-des-représentants
ZWARTBERG,,665,Limbourg,1974,chambre-des-représentants
RLiège,,1810,Limbourg,1974,chambre-des-représentants
PVV/PLP,1.0,27594,Luxembourg,1974,chambre-des-représentants
BSP/PSB,1.0,27314,Luxembourg,1974,chambre-des-représentants
VFP-PFU,,225,Luxembourg,1974,chambre-des-représentants
PSC,3.0,47751,Luxembourg,1974,chambre-des-représentants
RW,,15968,Luxembourg,1974,chambre-des-représentants
PVV/PLP,1.0,37988,Namur,1974,chambre-des-représentants
BSP/PSB,3.0,69608,Namur,1974,chambre-des-représentants
PSC,2.0,52127,Namur,1974,chambre-des-représentants
RW,2.0,46260,Namur,1974,chambre-des-représentants
UDP-DN,,3623,Namur,1974,chambre-des-représentants
