Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
CSP,1,368753,Collège électoral français,2004,parlement-européen
FN,0,181351,Collège électoral français,2004,parlement-européen
PFF MR,3,671422,Collège électoral français,2004,parlement-européen
ECOLO,1,239687,Collège électoral français,2004,parlement-européen
SP,4,878577,Collège électoral français,2004,parlement-européen
CDF,0,19718,Collège électoral français,2004,parlement-européen
R.W.F.,0,23090,Collège électoral français,2004,parlement-européen
MAS,0,5675,Collège électoral français,2004,parlement-européen
FNB,0,26775,Collège électoral français,2004,parlement-européen
PTB+,0,19645,Collège électoral français,2004,parlement-européen
CSP,1,15722,Collège électoral germanophone,2004,parlement-européen
PFF MR,0,8434,Collège électoral germanophone,2004,parlement-européen
ECOLO,0,3880,Collège électoral germanophone,2004,parlement-européen
SP,0,5527,Collège électoral germanophone,2004,parlement-européen
PJU-PDB,0,3442,Collège électoral germanophone,2004,parlement-européen
VLD  Vivant,3,880279,Collège électoral néerlandais,2004,parlement-européen
sp.a-spirit,3,716317,Collège électoral néerlandais,2004,parlement-européen
CD&V/N-VA,4,1131119,Collège électoral néerlandais,2004,parlement-européen
GROEN!,1,320874,Collège électoral néerlandais,2004,parlement-européen
VLAAMS BLOK,3,930731,Collège électoral néerlandais,2004,parlement-européen
PVDA+,0,24807,Collège électoral néerlandais,2004,parlement-européen
LSP,0,14166,Collège électoral néerlandais,2004,parlement-européen
