Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
VLD  Vivant,,87932,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
sp.a-spirit,,47254,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
CD&V/N-VA,,91356,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
GROEN!,,29395,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
VLAAMS BLOK,,91520,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
PVDA+,,1286,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
LSP,,730,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
CDH,,63040,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
FN,,22681,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
MR,,163747,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
ECOLO,,59968,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
PS,,146147,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
CDF,,6204,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
R.W.F.,,2405,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
MAS,,1494,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
FNB,,5678,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
PTB+,,3150,Circonscription électorale de Bruxelles-Hal-Vilvorde ,2004,parlement-européen
VLD  Vivant,,792347,Circonscription Electorale flamande,2004,parlement-européen
sp.a-spirit,,669063,Circonscription Electorale flamande,2004,parlement-européen
CD&V/N-VA,,1039763,Circonscription Electorale flamande,2004,parlement-européen
GROEN!,,291479,Circonscription Electorale flamande,2004,parlement-européen
VLAAMS BLOK,,839211,Circonscription Electorale flamande,2004,parlement-européen
PVDA+,,23521,Circonscription Electorale flamande,2004,parlement-européen
LSP,,13436,Circonscription Electorale flamande,2004,parlement-européen
CSP,,15722,Circonscription Electorale germanophone,2004,parlement-européen
PFF MR,,8434,Circonscription Electorale germanophone,2004,parlement-européen
ECOLO,,3880,Circonscription Electorale germanophone,2004,parlement-européen
SP,,5527,Circonscription Electorale germanophone,2004,parlement-européen
PJU-PDB,,3442,Circonscription Electorale germanophone,2004,parlement-européen
CSP,,305713,Circonscription Electorale wallonne,2004,parlement-européen
FN,,158670,Circonscription Electorale wallonne,2004,parlement-européen
PFF MR,,507675,Circonscription Electorale wallonne,2004,parlement-européen
ECOLO,,179719,Circonscription Electorale wallonne,2004,parlement-européen
SP,,732430,Circonscription Electorale wallonne,2004,parlement-européen
CDF,,13514,Circonscription Electorale wallonne,2004,parlement-européen
R.W.F.,,20685,Circonscription Electorale wallonne,2004,parlement-européen
MAS,,4181,Circonscription Electorale wallonne,2004,parlement-européen
FNB,,21097,Circonscription Electorale wallonne,2004,parlement-européen
PTB+,,16495,Circonscription Electorale wallonne,2004,parlement-européen
