Parti,Nombre de sièges,Nombre de voix,province,date,election
Cath/Kath,5.0,111120,Anvers,1925,sénat
Socialist,5.0,94385,Anvers,1925,sénat
Liberal/Liberaal,2.0,37871,Anvers,1925,sénat
onafh/indép,,6776,Anvers,1925,sénat
Vl. National.Fl,,11856,Anvers,1925,sénat
Cath/Kath,7.0,149431,Brabant,1925,sénat
Socialist,7.0,154947,Brabant,1925,sénat
Liberal/Liberaal,4.0,83968,Brabant,1925,sénat
Vl. National.Fl,,13747,Brabant,1925,sénat
Rad. Social.,,1486,Brabant,1925,sénat
Classe moy/Middenklasse,,1965,Brabant,1925,sénat
Parti National Wallon,,654,Brabant,1925,sénat
Cath/Kath,4.0,72464,Flandre occidentale,1925,sénat
Socialist,4.0,58791,Flandre occidentale,1925,sénat
Liberal/Liberaal,,27112,Flandre occidentale,1925,sénat
Vl. National.Fl,,5125,Flandre occidentale,1925,sénat
Diss. Kath.,3.0,48289,Flandre occidentale,1925,sénat
Cath/Kath,7.0,136621,Flandre orientale,1925,sénat
Socialist,5.0,94499,Flandre orientale,1925,sénat
Liberal/Liberaal,2.0,39687,Flandre orientale,1925,sénat
Vl. National.Fl,,15689,Flandre orientale,1925,sénat
Diss. Kath.,,3997,Flandre orientale,1925,sénat
Cath National,,1332,Flandre orientale,1925,sénat
Cath/Kath,4.0,91263,Hainaut,1925,sénat
Socialist,9.0,217372,Hainaut,1925,sénat
Liberal/Liberaal,2.0,55598,Hainaut,1925,sénat
Cath/Kath,3.0,75588,Liège,1925,sénat
Socialist,6.0,144105,Liège,1925,sénat
Liberal/Liberaal,2.0,42056,Liège,1925,sénat
Cath/Kath,4.0,52589,Limbourg,1925,sénat
Socialist,,8959,Limbourg,1925,sénat
Liberal/Liberaal,,10902,Limbourg,1925,sénat
Cath/Kath,2.0,28008,Luxembourg,1925,sénat
Socialist,1.0,13958,Luxembourg,1925,sénat
Liberal/Liberaal,,11338,Luxembourg,1925,sénat
Agriculteurs/boeren,,5800,Luxembourg,1925,sénat
Cath/Kath,2.0,40720,Namur,1925,sénat
Socialist,2.0,41838,Namur,1925,sénat
Liberal/Liberaal,1.0,16291,Namur,1925,sénat
