Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
PVV/PLP,1.0,65414,Anvers,1971,sénat
KPB/PCB,,17230,Anvers,1971,sénat
Volksunie,2.0,116501,Anvers,1971,sénat
PSC/CVP,3.0,152423,Anvers,1971,sénat
BSP,4.0,161678,Anvers,1971,sénat
KAGANOVEMUS,,3800,Anvers,1971,sénat
PVV/PLP,1.0,29844,Arlon,1971,sénat
PSC/CVP,1.0,46774,Arlon,1971,sénat
FDF-RW,,12882,Arlon,1971,sénat
PSB,1.0,28331,Arlon,1971,sénat
PVV/PLP,1.0,51761,Audenarde - Alost,1971,sénat
KPB/PCB,,4842,Audenarde - Alost,1971,sénat
Volksunie,1.0,36421,Audenarde - Alost,1971,sénat
PSC/CVP,1.0,71729,Audenarde - Alost,1971,sénat
BSP,1.0,58194,Audenarde - Alost,1971,sénat
PVV/PLP,,16836,Bruges,1971,sénat
Volksunie,1.0,22422,Bruges,1971,sénat
PSC/CVP,1.0,54641,Bruges,1971,sénat
BSP,1.0,39893,Bruges,1971,sénat
PVV/PLP,1.0,57859,Bruxelles-Hal-Vilvorde,1971,sénat
KPB/PCB,,22698,Bruxelles-Hal-Vilvorde,1971,sénat
Volksunie,2.0,73444,Bruxelles-Hal-Vilvorde,1971,sénat
PSC/CVP,4.0,167658,Bruxelles-Hal-Vilvorde,1971,sénat
PLDP,2.0,81133,Bruxelles-Hal-Vilvorde,1971,sénat
FDF-RW,5.0,242976,Bruxelles-Hal-Vilvorde,1971,sénat
PSB,3.0,125720,Bruxelles-Hal-Vilvorde,1971,sénat
BSP RODE LEEUWEN,,41585,Bruxelles-Hal-Vilvorde,1971,sénat
LIB/LOB,,12758,Bruxelles-Hal-Vilvorde,1971,sénat
PVV/PLP,1.0,37910,Charleroi-Thuin,1971,sénat
PSC/CVP,3.0,42502,Charleroi-Thuin,1971,sénat
FDF-RW,,90452,Charleroi-Thuin,1971,sénat
PSB,2.0,111231,Charleroi-Thuin,1971,sénat
UDP,,18523,Charleroi-Thuin,1971,sénat
PVV/PLP,1.0,28720,Courtrai-Ypres,1971,sénat
KPB/PCB,,2326,Courtrai-Ypres,1971,sénat
Volksunie,1.0,31552,Courtrai-Ypres,1971,sénat
PSC/CVP,1.0,87948,Courtrai-Ypres,1971,sénat
BSP,1.0,56451,Courtrai-Ypres,1971,sénat
PVV/PLP,,19231,Furnes-Dixmude-Ostende,1971,sénat
KPB/PCB,,1992,Furnes-Dixmude-Ostende,1971,sénat
Volksunie,,25365,Furnes-Dixmude-Ostende,1971,sénat
PSC/CVP,1.0,45185,Furnes-Dixmude-Ostende,1971,sénat
BSP,1.0,30149,Furnes-Dixmude-Ostende,1971,sénat
PVV/PLP,2.0,62442,Gand-Eeklo,1971,sénat
KPB/PCB,,6578,Gand-Eeklo,1971,sénat
Volksunie,1.0,61525,Gand-Eeklo,1971,sénat
PSC/CVP,2.0,117830,Gand-Eeklo,1971,sénat
BSP,1.0,70503,Gand-Eeklo,1971,sénat
PVV/PLP,1.0,40291,Hasselt,1971,sénat
KPB/PCB,,1507,Hasselt,1971,sénat
Volksunie,1.0,58608,Hasselt,1971,sénat
PSC/CVP,4.0,140581,Hasselt,1971,sénat
BSP,1.0,55640,Hasselt,1971,sénat
PVV/PLP,,15081,Huy-Waremme,1971,sénat
KPB/PCB,,4391,Huy-Waremme,1971,sénat
PSC/CVP,1.0,16962,Huy-Waremme,1971,sénat
FDF-RW,,12894,Huy-Waremme,1971,sénat
PSB,1.0,40744,Huy-Waremme,1971,sénat
PVV/PLP,1.0,54544,Liège,1971,sénat
KPB/PCB,,23126,Liège,1971,sénat
PSC/CVP,2.0,54348,Liège,1971,sénat
FDF-RW,,66069,Liège,1971,sénat
PSB,3.0,123860,Liège,1971,sénat
PVV/PLP,1.0,59489,Louvain,1971,sénat
KPB/PCB,,2478,Louvain,1971,sénat
Volksunie,,27149,Louvain,1971,sénat
PSC/CVP,2.0,73159,Louvain,1971,sénat
FDF-RW,,3612,Louvain,1971,sénat
BSP RODE LEEUWEN,,55786,Louvain,1971,sénat
LIB/LOB,,706,Louvain,1971,sénat
PVV/PLP,1.0,41606,Malines-Turnhout,1971,sénat
KPB/PCB,,4390,Malines-Turnhout,1971,sénat
Volksunie,2.0,61738,Malines-Turnhout,1971,sénat
PSC/CVP,3.0,148809,Malines-Turnhout,1971,sénat
BSP,1.0,70826,Malines-Turnhout,1971,sénat
LVV,,3159,Malines-Turnhout,1971,sénat
PVV/PLP,,30044,Mons-Soignies,1971,sénat
PSC/CVP,1.0,35268,Mons-Soignies,1971,sénat
FDF-RW,,28580,Mons-Soignies,1971,sénat
PSB,1.0,99388,Mons-Soignies,1971,sénat
UDP,,28096,Mons-Soignies,1971,sénat
PVV/PLP,1.0,38228,Namur,1971,sénat
PSC/CVP,1.0,49169,Namur,1971,sénat
FDF-RW,,59202,Namur,1971,sénat
PSB,1.0,61788,Namur,1971,sénat
PVV/PLP,,21785,Nivelles,1971,sénat
KPB/PCB,,4542,Nivelles,1971,sénat
PSC/CVP,1.0,21950,Nivelles,1971,sénat
FDF-RW,1.0,45428,Nivelles,1971,sénat
PSB,,33830,Nivelles,1971,sénat
LIB/LOB,,1674,Nivelles,1971,sénat
VALENTYN,,513,Nivelles,1971,sénat
PVV/PLP,,10261,Roulers-Tielt,1971,sénat
KPB/PCB,,1635,Roulers-Tielt,1971,sénat
Volksunie,,29738,Roulers-Tielt,1971,sénat
PSC/CVP,2.0,56855,Roulers-Tielt,1971,sénat
BSP,,23416,Roulers-Tielt,1971,sénat
PVV/PLP,,29493,Termonde-Saint-Nicolas,1971,sénat
KPB/PCB,,4854,Termonde-Saint-Nicolas,1971,sénat
Volksunie,1.0,48046,Termonde-Saint-Nicolas,1971,sénat
PSC/CVP,2.0,82921,Termonde-Saint-Nicolas,1971,sénat
BSP,1.0,49055,Termonde-Saint-Nicolas,1971,sénat
PVV/PLP,1.0,39199,Tournai-Ath-Mouscron,1971,sénat
PSC/CVP,1.0,36881,Tournai-Ath-Mouscron,1971,sénat
FDF-RW,,17843,Tournai-Ath-Mouscron,1971,sénat
PSB,1.0,54708,Tournai-Ath-Mouscron,1971,sénat
UDP,,14997,Tournai-Ath-Mouscron,1971,sénat
PVV/PLP,1.0,26476,Verviers,1971,sénat
KPB/PCB,,4210,Verviers,1971,sénat
PSC/CVP,1.0,44260,Verviers,1971,sénat
FDF-RW,,18830,Verviers,1971,sénat
PSB,1.0,30837,Verviers,1971,sénat
