Parti,Nombre de sièges,Nombre de voix,district,date,election
CVP,3.0,24621,Alost,1977,conseils-provinciaux
BSP,2.0,15251,Alost,1977,conseils-provinciaux
PVV,2.0,15378,Alost,1977,conseils-provinciaux
VU,1.0,15372,Alost,1977,conseils-provinciaux
KPB,,1844,Alost,1977,conseils-provinciaux
PSB,2.0,8268,Andenne,1977,conseils-provinciaux
PSC,1.0,3834,Andenne,1977,conseils-provinciaux
PRLW,,2710,Andenne,1977,conseils-provinciaux
PCB,,357,Andenne,1977,conseils-provinciaux
RW,1.0,1237,Andenne,1977,conseils-provinciaux
CVP,1.0,13167,Anderlecht,1977,conseils-provinciaux
BSP,,2781,Anderlecht,1977,conseils-provinciaux
PVV,,2535,Anderlecht,1977,conseils-provinciaux
VU,1.0,9102,Anderlecht,1977,conseils-provinciaux
PSC,1.0,6075,Anderlecht,1977,conseils-provinciaux
PSB,1.0,21044,Anderlecht,1977,conseils-provinciaux
PL,1.0,8407,Anderlecht,1977,conseils-provinciaux
FDF,1.0,20862,Anderlecht,1977,conseils-provinciaux
KPB/PCB,,3041,Anderlecht,1977,conseils-provinciaux
CVP,5.0,47913,Anvers,1977,conseils-provinciaux
BSP,5.0,52694,Anvers,1977,conseils-provinciaux
PVV,2.0,17695,Anvers,1977,conseils-provinciaux
AGALEV,,982,Anvers,1977,conseils-provinciaux
VU,4.0,26492,Anvers,1977,conseils-provinciaux
KPB,,5066,Anvers,1977,conseils-provinciaux
AMADA,,3783,Anvers,1977,conseils-provinciaux
KAGANO,,506,Anvers,1977,conseils-provinciaux
PSC,5.0,11594,Arlon,1977,conseils-provinciaux
PRLW,2.0,4839,Arlon,1977,conseils-provinciaux
PSB-RW,4.0,9379,Arlon,1977,conseils-provinciaux
PSB,3.0,20250,Ath,1977,conseils-provinciaux
PSC,1.0,9013,Ath,1977,conseils-provinciaux
PRLW,1.0,12372,Ath,1977,conseils-provinciaux
RW,,2580,Ath,1977,conseils-provinciaux
PCB/UDP,,2190,Ath,1977,conseils-provinciaux
PSC,3.0,6183,Bastogne,1977,conseils-provinciaux
PRLW,2.0,4299,Bastogne,1977,conseils-provinciaux
PSB-RW,,1090,Bastogne,1977,conseils-provinciaux
CVP,4.0,20337,Beringen,1977,conseils-provinciaux
BSP,2.0,10043,Beringen,1977,conseils-provinciaux
PVV,1.0,5986,Beringen,1977,conseils-provinciaux
VU,2.0,6286,Beringen,1977,conseils-provinciaux
AMADA,,351,Beringen,1977,conseils-provinciaux
CD,,3086,Beringen,1977,conseils-provinciaux
CVP,2.0,8742,Bilzen,1977,conseils-provinciaux
BSP,,2820,Bilzen,1977,conseils-provinciaux
PVV,,2160,Bilzen,1977,conseils-provinciaux
VU,1.0,4840,Bilzen,1977,conseils-provinciaux
PSB,3.0,20575,Binche,1977,conseils-provinciaux
PSC,2.0,8761,Binche,1977,conseils-provinciaux
PRLW,,4874,Binche,1977,conseils-provinciaux
PCB,,2873,Binche,1977,conseils-provinciaux
RW,1.0,6707,Binche,1977,conseils-provinciaux
CVP,4.0,37225,Boom,1977,conseils-provinciaux
BSP,2.0,20545,Boom,1977,conseils-provinciaux
PVV,,7953,Boom,1977,conseils-provinciaux
VU,1.0,14420,Boom,1977,conseils-provinciaux
KPB,,1182,Boom,1977,conseils-provinciaux
AMADA,,976,Boom,1977,conseils-provinciaux
CVP,6.0,64403,Borgerhout,1977,conseils-provinciaux
BSP,5.0,48163,Borgerhout,1977,conseils-provinciaux
PVV,2.0,18898,Borgerhout,1977,conseils-provinciaux
AGALEV,,1536,Borgerhout,1977,conseils-provinciaux
VU,4.0,40112,Borgerhout,1977,conseils-provinciaux
KPB,,4099,Borgerhout,1977,conseils-provinciaux
AMADA,,2581,Borgerhout,1977,conseils-provinciaux
KAGANO,,588,Borgerhout,1977,conseils-provinciaux
PSC,3.0,7601,Bouillon,1977,conseils-provinciaux
PRLW,1.0,3388,Bouillon,1977,conseils-provinciaux
PSB-RW,2.0,3834,Bouillon,1977,conseils-provinciaux
PSB,4.0,22618,Boussu,1977,conseils-provinciaux
PSC,1.0,7131,Boussu,1977,conseils-provinciaux
PRLW,1.0,5922,Boussu,1977,conseils-provinciaux
RW,,2103,Boussu,1977,conseils-provinciaux
ECOLO,,658,Boussu,1977,conseils-provinciaux
PCB/UDP,,3839,Boussu,1977,conseils-provinciaux
CVP,2.0,6811,Bree,1977,conseils-provinciaux
BSP,,1443,Bree,1977,conseils-provinciaux
PVV,,998,Bree,1977,conseils-provinciaux
VU,2.0,8373,Bree,1977,conseils-provinciaux
CVP,10.0,69896,Bruges,1977,conseils-provinciaux
BSP,6.0,38402,Bruges,1977,conseils-provinciaux
PVV,2.0,16256,Bruges,1977,conseils-provinciaux
VU,3.0,21659,Bruges,1977,conseils-provinciaux
KPB,,1562,Bruges,1977,conseils-provinciaux
AMADA,,787,Bruges,1977,conseils-provinciaux
CVP,1.0,6335,Bruxelles,1977,conseils-provinciaux
BSP,,1378,Bruxelles,1977,conseils-provinciaux
PVV,,1693,Bruxelles,1977,conseils-provinciaux
VU,1.0,4141,Bruxelles,1977,conseils-provinciaux
PSC,1.0,11330,Bruxelles,1977,conseils-provinciaux
PSB,1.0,10899,Bruxelles,1977,conseils-provinciaux
PL,1.0,8632,Bruxelles,1977,conseils-provinciaux
FDF,2.0,23988,Bruxelles,1977,conseils-provinciaux
KPB/PCB,,3106,Bruxelles,1977,conseils-provinciaux
PSB,3.0,23025,Châtelet,1977,conseils-provinciaux
PSC,1.0,9780,Châtelet,1977,conseils-provinciaux
PRLW,1.0,4562,Châtelet,1977,conseils-provinciaux
PCB,,2531,Châtelet,1977,conseils-provinciaux
RW,1.0,4724,Châtelet,1977,conseils-provinciaux
TPO,,151,Châtelet,1977,conseils-provinciaux
PLPW,,868,Châtelet,1977,conseils-provinciaux
PSB,8.0,53541,Charleroi,1977,conseils-provinciaux
PSC,3.0,20983,Charleroi,1977,conseils-provinciaux
PRLW,2.0,15205,Charleroi,1977,conseils-provinciaux
PCB,1.0,7953,Charleroi,1977,conseils-provinciaux
RW,2.0,15265,Charleroi,1977,conseils-provinciaux
TPO,,643,Charleroi,1977,conseils-provinciaux
PLPW,,2302,Charleroi,1977,conseils-provinciaux
PBNZ,,559,Charleroi,1977,conseils-provinciaux
PSB,1.0,4797,Ciney,1977,conseils-provinciaux
PSC,2.0,8683,Ciney,1977,conseils-provinciaux
PRLW,2.0,5235,Ciney,1977,conseils-provinciaux
RW,,1466,Ciney,1977,conseils-provinciaux
CVP,6.0,41190,Courtrai,1977,conseils-provinciaux
BSP,3.0,19226,Courtrai,1977,conseils-provinciaux
PVV,1.0,10773,Courtrai,1977,conseils-provinciaux
VU,2.0,11524,Courtrai,1977,conseils-provinciaux
KPB,,1039,Courtrai,1977,conseils-provinciaux
AMADA,,444,Courtrai,1977,conseils-provinciaux
PSB,2.0,11331,de Dalhem,1977,conseils-provinciaux
PSC,2.0,9405,de Dalhem,1977,conseils-provinciaux
PRLW,1.0,6328,de Dalhem,1977,conseils-provinciaux
PCB,,1654,de Dalhem,1977,conseils-provinciaux
RW,,2720,de Dalhem,1977,conseils-provinciaux
CVP,2.0,24497,Deinze,1977,conseils-provinciaux
BSP,1.0,6356,Deinze,1977,conseils-provinciaux
PVV,1.0,9233,Deinze,1977,conseils-provinciaux
VU,1.0,10269,Deinze,1977,conseils-provinciaux
KPB,,430,Deinze,1977,conseils-provinciaux
AMADA,,192,Deinze,1977,conseils-provinciaux
CVP,3.0,35604,Diest,1977,conseils-provinciaux
BSP,1.0,19824,Diest,1977,conseils-provinciaux
PVV,1.0,18907,Diest,1977,conseils-provinciaux
VU,1.0,11695,Diest,1977,conseils-provinciaux
FDF,,275,Diest,1977,conseils-provinciaux
KPB,,1044,Diest,1977,conseils-provinciaux
AMADA,,536,Diest,1977,conseils-provinciaux
PSB,2.0,8049,Dinant,1977,conseils-provinciaux
PSC,3.0,10543,Dinant,1977,conseils-provinciaux
PRLW,2.0,9166,Dinant,1977,conseils-provinciaux
RW,1.0,2746,Dinant,1977,conseils-provinciaux
PSB,2.0,10985,Dison,1977,conseils-provinciaux
PSC,2.0,13945,Dison,1977,conseils-provinciaux
PRLW,1.0,6191,Dison,1977,conseils-provinciaux
PCB,,877,Dison,1977,conseils-provinciaux
RW,,2027,Dison,1977,conseils-provinciaux
CVP,2.0,12812,Dixsmude,1977,conseils-provinciaux
BSP,1.0,4795,Dixsmude,1977,conseils-provinciaux
PVV,1.0,5633,Dixsmude,1977,conseils-provinciaux
VU,,4281,Dixsmude,1977,conseils-provinciaux
PSB,4.0,22582,Dour,1977,conseils-provinciaux
PSC,1.0,8242,Dour,1977,conseils-provinciaux
PRLW,1.0,7518,Dour,1977,conseils-provinciaux
RW,,2338,Dour,1977,conseils-provinciaux
PCB/UDP,,3988,Dour,1977,conseils-provinciaux
CVP,3.0,24998,Eeklo,1977,conseils-provinciaux
BSP,1.0,8877,Eeklo,1977,conseils-provinciaux
PVV,,6331,Eeklo,1977,conseils-provinciaux
VU,1.0,6541,Eeklo,1977,conseils-provinciaux
KPB,,543,Eeklo,1977,conseils-provinciaux
AMADA,,384,Eeklo,1977,conseils-provinciaux
PSB,1.0,4924,Eghezée,1977,conseils-provinciaux
PSC,1.0,3770,Eghezée,1977,conseils-provinciaux
PRLW,1.0,3135,Eghezée,1977,conseils-provinciaux
RW,,1083,Eghezée,1977,conseils-provinciaux
CVP,6.0,64930,Ekeren,1977,conseils-provinciaux
BSP,3.0,27797,Ekeren,1977,conseils-provinciaux
PVV,2.0,15129,Ekeren,1977,conseils-provinciaux
AGALEV,,1289,Ekeren,1977,conseils-provinciaux
VU,2.0,26961,Ekeren,1977,conseils-provinciaux
KPB,,2262,Ekeren,1977,conseils-provinciaux
AMADA,,1478,Ekeren,1977,conseils-provinciaux
PSB,1.0,3909,Eupen,1977,conseils-provinciaux
PSC,3.0,11036,Eupen,1977,conseils-provinciaux
PRLW,1.0,6821,Eupen,1977,conseils-provinciaux
RW,,374,Eupen,1977,conseils-provinciaux
PDB,1.0,8873,Eupen,1977,conseils-provinciaux
CVP,2.0,17492,Evergem,1977,conseils-provinciaux
BSP,,4808,Evergem,1977,conseils-provinciaux
PVV,1.0,3240,Evergem,1977,conseils-provinciaux
VU,1.0,8216,Evergem,1977,conseils-provinciaux
KPB,,288,Evergem,1977,conseils-provinciaux
AMADA,,243,Evergem,1977,conseils-provinciaux
PSB,4.0,23409,Fléron,1977,conseils-provinciaux
PSC,2.0,14741,Fléron,1977,conseils-provinciaux
PRLW,2.0,13056,Fléron,1977,conseils-provinciaux
PCB,,3945,Fléron,1977,conseils-provinciaux
RW,1.0,4727,Fléron,1977,conseils-provinciaux
PSB,1.0,4629,Florennes,1977,conseils-provinciaux
PSC,2.0,4855,Florennes,1977,conseils-provinciaux
PRLW,1.0,3008,Florennes,1977,conseils-provinciaux
RW,,1243,Florennes,1977,conseils-provinciaux
PSC,2.0,6407,Florenville,1977,conseils-provinciaux
PRLW,1.0,2595,Florenville,1977,conseils-provinciaux
PSB-RW,2.0,4479,Florenville,1977,conseils-provinciaux
PSB,4.0,30077,Fontaine-l'Evêque,1977,conseils-provinciaux
PSC,2.0,13067,Fontaine-l'Evêque,1977,conseils-provinciaux
PRLW,1.0,8420,Fontaine-l'Evêque,1977,conseils-provinciaux
PCB,1.0,5188,Fontaine-l'Evêque,1977,conseils-provinciaux
RW,1.0,7859,Fontaine-l'Evêque,1977,conseils-provinciaux
TPO,,242,Fontaine-l'Evêque,1977,conseils-provinciaux
PLPW,,1337,Fontaine-l'Evêque,1977,conseils-provinciaux
PSB,2.0,5644,Fosses-la-Ville,1977,conseils-provinciaux
PSC,2.0,7066,Fosses-la-Ville,1977,conseils-provinciaux
PRLW,1.0,2847,Fosses-la-Ville,1977,conseils-provinciaux
PCB,,490,Fosses-la-Ville,1977,conseils-provinciaux
RW,,1705,Fosses-la-Ville,1977,conseils-provinciaux
CVP,1.0,9165,Furnes,1977,conseils-provinciaux
BSP,1.0,8040,Furnes,1977,conseils-provinciaux
PVV,1.0,5840,Furnes,1977,conseils-provinciaux
VU,1.0,4624,Furnes,1977,conseils-provinciaux
CVP,7.0,52507,Gand,1977,conseils-provinciaux
BSP,5.0,39830,Gand,1977,conseils-provinciaux
PVV,3.0,27951,Gand,1977,conseils-provinciaux
VU,3.0,26087,Gand,1977,conseils-provinciaux
KPB,,4534,Gand,1977,conseils-provinciaux
AMADA,,1926,Gand,1977,conseils-provinciaux
PSB,5.0,17176,Gembloux,1977,conseils-provinciaux
PSC,2.0,9433,Gembloux,1977,conseils-provinciaux
PRLW,2.0,7246,Gembloux,1977,conseils-provinciaux
PCB,,929,Gembloux,1977,conseils-provinciaux
RW,1.0,3167,Gembloux,1977,conseils-provinciaux
CVP,4.0,15514,Genk,1977,conseils-provinciaux
BSP,2.0,6413,Genk,1977,conseils-provinciaux
PVV,1.0,2510,Genk,1977,conseils-provinciaux
VU,1.0,6217,Genk,1977,conseils-provinciaux
KPB,,222,Genk,1977,conseils-provinciaux
AMADA,,520,Genk,1977,conseils-provinciaux
CVP,2.0,19088,Grammont,1977,conseils-provinciaux
BSP,1.0,13606,Grammont,1977,conseils-provinciaux
PVV,1.0,9323,Grammont,1977,conseils-provinciaux
VU,1.0,7744,Grammont,1977,conseils-provinciaux
KPB,,932,Grammont,1977,conseils-provinciaux
CVP,2.0,24986,Hal,1977,conseils-provinciaux
BSP,1.0,7752,Hal,1977,conseils-provinciaux
PVV,1.0,13214,Hal,1977,conseils-provinciaux
VU,1.0,14497,Hal,1977,conseils-provinciaux
PSC,,1727,Hal,1977,conseils-provinciaux
PL,,454,Hal,1977,conseils-provinciaux
FDF,,3428,Hal,1977,conseils-provinciaux
KPB,,1021,Hal,1977,conseils-provinciaux
AMADA,,435,Hal,1977,conseils-provinciaux
CVP,4.0,21558,Harelbeke,1977,conseils-provinciaux
BSP,1.0,10289,Harelbeke,1977,conseils-provinciaux
