Parti,Nombre de sièges,Nombre de voix,province,date,election
BSP/PSB,10.0,246541,Anvers,1968,chambre-des-représentants
PSC/CVP,13.0,294306,Anvers,1968,chambre-des-représentants
Volksunie,6.0,155619,Anvers,1968,chambre-des-représentants
Communist,,19452,Anvers,1968,chambre-des-représentants
PVV/PLP,4.0,111149,Anvers,1968,chambre-des-représentants
SOC.BEW.VL,,895,Anvers,1968,chambre-des-représentants
KAGANO,,1634,Anvers,1968,chambre-des-représentants
Z.KLEUR,,723,Anvers,1968,chambre-des-représentants
BSP/PSB,8.0,162343,Brabant,1968,chambre-des-représentants
PSC/CVP,4.0,108338,Brabant,1968,chambre-des-représentants
TRAV.WAL,,229,Brabant,1968,chambre-des-représentants
Volksunie,3.0,79095,Brabant,1968,chambre-des-représentants
FDF,6.0,154023,Brabant,1968,chambre-des-représentants
Communist,1.0,26377,Brabant,1968,chambre-des-représentants
VDB/CVP,9.0,236283,Brabant,1968,chambre-des-représentants
PVV/PLP,13.0,302833,Brabant,1968,chambre-des-représentants
RODE LEEUW,2.0,46065,Brabant,1968,chambre-des-représentants
BSP,2.0,58700,Brabant,1968,chambre-des-représentants
KOM(PEK),,3119,Brabant,1968,chambre-des-représentants
ONAF.SOC,,1264,Brabant,1968,chambre-des-représentants
ULS,,2694,Brabant,1968,chambre-des-représentants
VL.KOM,,702,Brabant,1968,chambre-des-représentants
SH,,198,Brabant,1968,chambre-des-représentants
BSP/PSB,6.0,157240,Flandre occidentale,1968,chambre-des-représentants
PSC/CVP,10.0,242266,Flandre occidentale,1968,chambre-des-représentants
Volksunie,4.0,100344,Flandre occidentale,1968,chambre-des-représentants
Communist,,2990,Flandre occidentale,1968,chambre-des-représentants
PVV/PLP,3.0,73296,Flandre occidentale,1968,chambre-des-représentants
BSP/PSB,7.0,186364,Flandre orientale,1968,chambre-des-représentants
PSC/CVP,12.0,282842,Flandre orientale,1968,chambre-des-représentants
Volksunie,5.0,126875,Flandre orientale,1968,chambre-des-représentants
Communist,,11676,Flandre orientale,1968,chambre-des-représentants
PVV/PLP,6.0,145429,Flandre orientale,1968,chambre-des-représentants
SOC.BEW.VL,,1027,Flandre orientale,1968,chambre-des-représentants
RW,3.0,65641,Hainaut,1968,chambre-des-représentants
BSP/PSB,12.0,267637,Hainaut,1968,chambre-des-représentants
PSC/CVP,5.0,119596,Hainaut,1968,chambre-des-représentants
KOM(WAL),,964,Hainaut,1968,chambre-des-représentants
TRAV.WAL,,2060,Hainaut,1968,chambre-des-représentants
TROTSKYST.,,289,Hainaut,1968,chambre-des-représentants
TRAV.IND.,,78,Hainaut,1968,chambre-des-représentants
Communist,3.0,64375,Hainaut,1968,chambre-des-représentants
PVV/PLP,8.0,166297,Hainaut,1968,chambre-des-représentants
RW,2.0,50161,Liège,1968,chambre-des-représentants
BSP/PSB,9.0,190760,Liège,1968,chambre-des-représentants
PSC/CVP,5.0,111124,Liège,1968,chambre-des-représentants
TRAV.WAL,,1185,Liège,1968,chambre-des-représentants
Communist,1.0,40808,Liège,1968,chambre-des-représentants
PVV/PLP,6.0,146265,Liège,1968,chambre-des-représentants
F.U.POP,,572,Liège,1968,chambre-des-représentants
DIERENBES.,,1608,Liège,1968,chambre-des-représentants
BSP/PSB,2.0,49568,Limbourg,1968,chambre-des-représentants
PSC/CVP,7.0,147220,Limbourg,1968,chambre-des-représentants
Volksunie,2.0,44764,Limbourg,1968,chambre-des-représentants
PVV/PLP,2.0,41971,Limbourg,1968,chambre-des-représentants
RLiège,,1933,Limbourg,1968,chambre-des-représentants
RW,,5952,Luxembourg,1968,chambre-des-représentants
BSP/PSB,1.0,25882,Luxembourg,1968,chambre-des-représentants
PSC/CVP,2.0,50840,Luxembourg,1968,chambre-des-représentants
PVV/PLP,2.0,34363,Luxembourg,1968,chambre-des-représentants
RW,1.0,29667,Namur,1968,chambre-des-représentants
BSP/PSB,2.0,58072,Namur,1968,chambre-des-représentants
PSC/CVP,2.0,50970,Namur,1968,chambre-des-représentants
PVV/PLP,3.0,59291,Namur,1968,chambre-des-représentants
PCB,,4947,Namur,1968,chambre-des-représentants
RJB,,161,Namur,1968,chambre-des-représentants
