Parti,Nombre de sièges,Nombre de voix,canton,date,election
PSC/CVP,,9409,Aarschot,1968,chambre-des-représentants
Volksunie,,2195,Aarschot,1968,chambre-des-représentants
FDF,,22323,Aarschot,1968,chambre-des-représentants
Communist,,529,Aarschot,1968,chambre-des-représentants
PVV/PLP,,4912,Aarschot,1968,chambre-des-représentants
BSP,,5208,Aarschot,1968,chambre-des-représentants
VL.KOM,,70,Aarschot,1968,chambre-des-représentants
BSP/PSB,,14979,Alost,1968,chambre-des-représentants
PSC/CVP,,17661,Alost,1968,chambre-des-représentants
Volksunie,,11576,Alost,1968,chambre-des-représentants
Communist,,1354,Alost,1968,chambre-des-représentants
PVV/PLP,,14059,Alost,1968,chambre-des-représentants
RW,,1488,Andenne,1968,chambre-des-représentants
BSP/PSB,,4044,Andenne,1968,chambre-des-représentants
PSC/CVP,,2214,Andenne,1968,chambre-des-représentants
PVV/PLP,,2745,Andenne,1968,chambre-des-représentants
PCB,,455,Andenne,1968,chambre-des-représentants
RJB,,12,Andenne,1968,chambre-des-représentants
BSP/PSB,,24687,Anderlecht,1968,chambre-des-représentants
PSC/CVP,,1205,Anderlecht,1968,chambre-des-représentants
Volksunie,,5103,Anderlecht,1968,chambre-des-représentants
FDF,,9422,Anderlecht,1968,chambre-des-représentants
Communist,,2066,Anderlecht,1968,chambre-des-représentants
VDB/CVP,,23370,Anderlecht,1968,chambre-des-représentants
PVV/PLP,,14413,Anderlecht,1968,chambre-des-représentants
RODE LEEUW,,2302,Anderlecht,1968,chambre-des-représentants
KOM(PEK),,318,Anderlecht,1968,chambre-des-représentants
ONAF.SOC,,95,Anderlecht,1968,chambre-des-représentants
ULS,,218,Anderlecht,1968,chambre-des-représentants
RW,,689,Antoing,1968,chambre-des-représentants
BSP/PSB,,5384,Antoing,1968,chambre-des-représentants
PSC/CVP,,2503,Antoing,1968,chambre-des-représentants
TRAV.WAL,,35,Antoing,1968,chambre-des-représentants
PVV/PLP,,2639,Antoing,1968,chambre-des-représentants
BSP/PSB,,64374,Anvers,1968,chambre-des-représentants
PSC/CVP,,37111,Anvers,1968,chambre-des-représentants
Volksunie,,31490,Anvers,1968,chambre-des-représentants
Communist,,7474,Anvers,1968,chambre-des-représentants
PVV/PLP,,28756,Anvers,1968,chambre-des-représentants
SOC.BEW.VL,,405,Anvers,1968,chambre-des-représentants
KAGANO,,635,Anvers,1968,chambre-des-représentants
Z.KLEUR,,312,Anvers,1968,chambre-des-représentants
BSP/PSB,,1853,Ardooie,1968,chambre-des-représentants
PSC/CVP,,4436,Ardooie,1968,chambre-des-représentants
Volksunie,,1426,Ardooie,1968,chambre-des-représentants
PVV/PLP,,401,Ardooie,1968,chambre-des-représentants
BSP/PSB,,3007,Arendonk,1968,chambre-des-représentants
PSC/CVP,,9682,Arendonk,1968,chambre-des-représentants
Volksunie,,2334,Arendonk,1968,chambre-des-représentants
Communist,,75,Arendonk,1968,chambre-des-représentants
PVV/PLP,,629,Arendonk,1968,chambre-des-représentants
RW,,671,Arlon,1968,chambre-des-représentants
BSP/PSB,,3817,Arlon,1968,chambre-des-représentants
PSC/CVP,,4884,Arlon,1968,chambre-des-représentants
PVV/PLP,,4474,Arlon,1968,chambre-des-représentants
BSP/PSB,,501,Asse,1968,chambre-des-représentants
PSC/CVP,,144,Asse,1968,chambre-des-représentants
Volksunie,,6831,Asse,1968,chambre-des-représentants
FDF,,311,Asse,1968,chambre-des-représentants
Communist,,248,Asse,1968,chambre-des-représentants
VDB/CVP,,16155,Asse,1968,chambre-des-représentants
PVV/PLP,,5757,Asse,1968,chambre-des-représentants
RODE LEEUW,,5862,Asse,1968,chambre-des-représentants
KOM(PEK),,56,Asse,1968,chambre-des-représentants
ONAF.SOC,,119,Asse,1968,chambre-des-représentants
ULS,,64,Asse,1968,chambre-des-représentants
BSP/PSB,,5169,Assenede,1968,chambre-des-représentants
PSC/CVP,,5888,Assenede,1968,chambre-des-représentants
Volksunie,,1649,Assenede,1968,chambre-des-représentants
Communist,,96,Assenede,1968,chambre-des-représentants
PVV/PLP,,1749,Assenede,1968,chambre-des-représentants
SOC.BEW.VL,,36,Assenede,1968,chambre-des-représentants
RW,,1048,Ath,1968,chambre-des-représentants
BSP/PSB,,4458,Ath,1968,chambre-des-représentants
PSC/CVP,,1920,Ath,1968,chambre-des-représentants
TRAV.WAL,,26,Ath,1968,chambre-des-représentants
PVV/PLP,,3346,Ath,1968,chambre-des-représentants
RW,,372,Aubel,1968,chambre-des-représentants
BSP/PSB,,1715,Aubel,1968,chambre-des-représentants
PSC/CVP,,5229,Aubel,1968,chambre-des-représentants
Communist,,174,Aubel,1968,chambre-des-représentants
PVV/PLP,,1726,Aubel,1968,chambre-des-représentants
DIERENBES.,,185,Aubel,1968,chambre-des-représentants
BSP/PSB,,5251,Audenarde,1968,chambre-des-représentants
PSC/CVP,,9452,Audenarde,1968,chambre-des-représentants
Volksunie,,2010,Audenarde,1968,chambre-des-représentants
Communist,,124,Audenarde,1968,chambre-des-représentants
PVV/PLP,,5764,Audenarde,1968,chambre-des-représentants
BSP/PSB,,3357,Avelgem,1968,chambre-des-représentants
PSC/CVP,,4638,Avelgem,1968,chambre-des-représentants
Volksunie,,851,Avelgem,1968,chambre-des-représentants
Communist,,64,Avelgem,1968,chambre-des-représentants
PVV/PLP,,1635,Avelgem,1968,chambre-des-représentants
RW,,192,Bastogne,1968,chambre-des-représentants
BSP/PSB,,789,Bastogne,1968,chambre-des-représentants
PSC/CVP,,2926,Bastogne,1968,chambre-des-représentants
PVV/PLP,,2466,Bastogne,1968,chambre-des-représentants
RW,,419,Beaumont,1968,chambre-des-représentants
BSP/PSB,,1518,Beaumont,1968,chambre-des-représentants
PSC/CVP,,1646,Beaumont,1968,chambre-des-représentants
KOM(WAL),,4,Beaumont,1968,chambre-des-représentants
TRAV.WAL,,15,Beaumont,1968,chambre-des-représentants
TRAV.IND.,,3,Beaumont,1968,chambre-des-représentants
PVV/PLP,,2446,Beaumont,1968,chambre-des-représentants
RW,,990,Beauraing,1968,chambre-des-représentants
BSP/PSB,,1615,Beauraing,1968,chambre-des-représentants
PSC/CVP,,2133,Beauraing,1968,chambre-des-représentants
PVV/PLP,,1828,Beauraing,1968,chambre-des-représentants
PCB,,76,Beauraing,1968,chambre-des-représentants
BSP/PSB,,17229,Berchem,1968,chambre-des-représentants
PSC/CVP,,18804,Berchem,1968,chambre-des-représentants
Volksunie,,17561,Berchem,1968,chambre-des-représentants
Communist,,1771,Berchem,1968,chambre-des-représentants
PVV/PLP,,12316,Berchem,1968,chambre-des-représentants
SOC.BEW.VL,,122,Berchem,1968,chambre-des-représentants
KAGANO,,211,Berchem,1968,chambre-des-représentants
Z.KLEUR,,74,Berchem,1968,chambre-des-représentants
BSP/PSB,,6406,Beringen,1968,chambre-des-représentants
PSC/CVP,,17383,Beringen,1968,chambre-des-représentants
Volksunie,,5037,Beringen,1968,chambre-des-représentants
PVV/PLP,,7566,Beringen,1968,chambre-des-représentants
BSP/PSB,,2581,Beveren,1968,chambre-des-représentants
PSC/CVP,,7454,Beveren,1968,chambre-des-représentants
Volksunie,,5984,Beveren,1968,chambre-des-représentants
Communist,,142,Beveren,1968,chambre-des-représentants
PVV/PLP,,780,Beveren,1968,chambre-des-représentants
BSP/PSB,,1380,Bilzen,1968,chambre-des-représentants
PSC/CVP,,9596,Bilzen,1968,chambre-des-représentants
Volksunie,,3608,Bilzen,1968,chambre-des-représentants
PVV/PLP,,1971,Bilzen,1968,chambre-des-représentants
RLiège,,33,Bilzen,1968,chambre-des-représentants
RW,,3437,Binche,1968,chambre-des-représentants
BSP/PSB,,14364,Binche,1968,chambre-des-représentants
PSC/CVP,,5059,Binche,1968,chambre-des-représentants
KOM(WAL),,108,Binche,1968,chambre-des-représentants
TRAV.WAL,,210,Binche,1968,chambre-des-représentants
TRAV.IND.,,37,Binche,1968,chambre-des-représentants
PVV/PLP,,7872,Binche,1968,chambre-des-représentants
BSP/PSB,,15339,Boom,1968,chambre-des-représentants
PSC/CVP,,10247,Boom,1968,chambre-des-représentants
Volksunie,,2907,Boom,1968,chambre-des-représentants
Communist,,677,Boom,1968,chambre-des-représentants
PVV/PLP,,3657,Boom,1968,chambre-des-représentants
SOC.BEW.VL,,46,Boom,1968,chambre-des-représentants
KAGANO,,37,Boom,1968,chambre-des-représentants
Z.KLEUR,,23,Boom,1968,chambre-des-représentants
BSP/PSB,,36023,Borgerhout,1968,chambre-des-représentants
PSC/CVP,,23352,Borgerhout,1968,chambre-des-représentants
Volksunie,,23490,Borgerhout,1968,chambre-des-représentants
Communist,,3324,Borgerhout,1968,chambre-des-représentants
PVV/PLP,,10877,Borgerhout,1968,chambre-des-représentants
SOC.BEW.VL,,151,Borgerhout,1968,chambre-des-représentants
KAGANO,,445,Borgerhout,1968,chambre-des-représentants
Z.KLEUR,,121,Borgerhout,1968,chambre-des-représentants
RW,,237,Bouillon,1968,chambre-des-représentants
BSP/PSB,,748,Bouillon,1968,chambre-des-représentants
PSC/CVP,,1526,Bouillon,1968,chambre-des-représentants
PVV/PLP,,1313,Bouillon,1968,chambre-des-représentants
RW,,1890,Boussu,1968,chambre-des-représentants
BSP/PSB,,16740,Boussu,1968,chambre-des-représentants
PSC/CVP,,5223,Boussu,1968,chambre-des-représentants
KOM(WAL),,99,Boussu,1968,chambre-des-représentants
PVV/PLP,,6012,Boussu,1968,chambre-des-représentants
BSP/PSB,,2455,Brakel,1968,chambre-des-représentants
PSC/CVP,,3598,Brakel,1968,chambre-des-représentants
Volksunie,,708,Brakel,1968,chambre-des-représentants
Communist,,128,Brakel,1968,chambre-des-représentants
PVV/PLP,,3256,Brakel,1968,chambre-des-représentants
BSP/PSB,,4395,Brecht,1968,chambre-des-représentants
PSC/CVP,,15194,Brecht,1968,chambre-des-représentants
Volksunie,,4265,Brecht,1968,chambre-des-représentants
Communist,,448,Brecht,1968,chambre-des-représentants
PVV/PLP,,1883,Brecht,1968,chambre-des-représentants
SOC.BEW.VL,,22,Brecht,1968,chambre-des-représentants
KAGANO,,43,Brecht,1968,chambre-des-représentants
Z.KLEUR,,27,Brecht,1968,chambre-des-représentants
BSP/PSB,,866,Bree,1968,chambre-des-représentants
PSC/CVP,,8743,Bree,1968,chambre-des-représentants
Volksunie,,1773,Bree,1968,chambre-des-représentants
PVV/PLP,,987,Bree,1968,chambre-des-représentants
RLiège,,31,Bree,1968,chambre-des-représentants
BSP/PSB,,37667,Bruges,1968,chambre-des-représentants
PSC/CVP,,41032,Bruges,1968,chambre-des-représentants
Volksunie,,19396,Bruges,1968,chambre-des-représentants
PVV/PLP,,16112,Bruges,1968,chambre-des-représentants
BSP/PSB,,15322,Bruxelles,1968,chambre-des-représentants
PSC/CVP,,2308,Bruxelles,1968,chambre-des-représentants
Volksunie,,3627,Bruxelles,1968,chambre-des-représentants
FDF,,15902,Bruxelles,1968,chambre-des-représentants
Communist,,2847,Bruxelles,1968,chambre-des-représentants
VDB/CVP,,23280,Bruxelles,1968,chambre-des-représentants
PVV/PLP,,24521,Bruxelles,1968,chambre-des-représentants
RODE LEEUW,,1891,Bruxelles,1968,chambre-des-représentants
KOM(PEK),,503,Bruxelles,1968,chambre-des-représentants
ONAF.SOC,,109,Bruxelles,1968,chambre-des-représentants
ULS,,285,Bruxelles,1968,chambre-des-représentants
RW,,248,Celles,1968,chambre-des-représentants
BSP/PSB,,2304,Celles,1968,chambre-des-représentants
PSC/CVP,,1773,Celles,1968,chambre-des-représentants
TRAV.WAL,,27,Celles,1968,chambre-des-représentants
PVV/PLP,,2701,Celles,1968,chambre-des-représentants
RW,,4227,Châtelet,1968,chambre-des-représentants
BSP/PSB,,15514,Châtelet,1968,chambre-des-représentants
PSC/CVP,,5486,Châtelet,1968,chambre-des-représentants
KOM(WAL),,50,Châtelet,1968,chambre-des-représentants
TRAV.WAL,,71,Châtelet,1968,chambre-des-représentants
TROTSKYST.,,46,Châtelet,1968,chambre-des-représentants
PVV/PLP,,6296,Châtelet,1968,chambre-des-représentants
RW,,11696,Charleroi,1968,chambre-des-représentants
BSP/PSB,,30913,Charleroi,1968,chambre-des-représentants
