Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
BSP/PSB,2.0,40095,Alost,1968,chambre-des-représentants
PSC/CVP,2.0,47429,Alost,1968,chambre-des-représentants
Volksunie,1.0,26698,Alost,1968,chambre-des-représentants
Communist,,3064,Alost,1968,chambre-des-représentants
PVV/PLP,1.0,36074,Alost,1968,chambre-des-représentants
BSP/PSB,7.0,165750,Anvers,1968,chambre-des-représentants
PSC/CVP,6.0,146077,Anvers,1968,chambre-des-représentants
Volksunie,4.0,106380,Anvers,1968,chambre-des-représentants
Communist,,16458,Anvers,1968,chambre-des-représentants
PVV/PLP,3.0,72671,Anvers,1968,chambre-des-représentants
SOC.BEW.VL,,895,Anvers,1968,chambre-des-représentants
KAGANO,,1634,Anvers,1968,chambre-des-représentants
Z.KLEUR,,723,Anvers,1968,chambre-des-représentants
RW,,2961,Arlon-Marche-Bastogne,1968,chambre-des-représentants
BSP/PSB,1.0,14314,Arlon-Marche-Bastogne,1968,chambre-des-représentants
PSC/CVP,1.0,27009,Arlon-Marche-Bastogne,1968,chambre-des-représentants
PVV/PLP,1.0,20725,Arlon-Marche-Bastogne,1968,chambre-des-représentants
BSP/PSB,,17253,Audenarde,1968,chambre-des-représentants
PSC/CVP,2.0,26112,Audenarde,1968,chambre-des-représentants
Volksunie,,5069,Audenarde,1968,chambre-des-représentants
Communist,,642,Audenarde,1968,chambre-des-représentants
PVV/PLP,1.0,19452,Audenarde,1968,chambre-des-représentants
BSP/PSB,1.0,43127,Bruges,1968,chambre-des-représentants
PSC/CVP,2.0,47764,Bruges,1968,chambre-des-représentants
Volksunie,1.0,21471,Bruges,1968,chambre-des-représentants
PVV/PLP,1.0,17071,Bruges,1968,chambre-des-représentants
BSP/PSB,5.0,127172,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
PSC/CVP,1.0,19303,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
Volksunie,2.0,55376,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
FDF,5.0,130258,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
Communist,1.0,18446,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
VDB/CVP,9.0,236283,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
PVV/PLP,8.0,206249,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
RODE LEEUW,2.0,46065,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
KOM(PEK),,2785,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
ONAF.SOC,,1264,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
ULS,,2694,Bruxelles-Hal-Vilvorde,1968,chambre-des-représentants
RW,2.0,33577,Charleroi,1968,chambre-des-représentants
BSP/PSB,5.0,96105,Charleroi,1968,chambre-des-représentants
PSC/CVP,1.0,30230,Charleroi,1968,chambre-des-représentants
KOM(WAL),,395,Charleroi,1968,chambre-des-représentants
TRAV.WAL,,696,Charleroi,1968,chambre-des-représentants
TROTSKYST.,,289,Charleroi,1968,chambre-des-représentants
Communist,1.0,18098,Charleroi,1968,chambre-des-représentants
PVV/PLP,2.0,51442,Charleroi,1968,chambre-des-représentants
BSP/PSB,2.0,41169,Courtrai,1968,chambre-des-représentants
PSC/CVP,3.0,68600,Courtrai,1968,chambre-des-représentants
Volksunie,1.0,19677,Courtrai,1968,chambre-des-représentants
Communist,,1459,Courtrai,1968,chambre-des-représentants
PVV/PLP,,15055,Courtrai,1968,chambre-des-représentants
RW,,9024,Dinant-Philippeville,1968,chambre-des-représentants
BSP/PSB,,18596,Dinant-Philippeville,1968,chambre-des-représentants
PSC/CVP,1.0,24050,Dinant-Philippeville,1968,chambre-des-représentants
PVV/PLP,2.0,23653,Dinant-Philippeville,1968,chambre-des-représentants
PCB,,1315,Dinant-Philippeville,1968,chambre-des-représentants
BSP/PSB,,30972,Furnes-Dixmude-Ostende,1968,chambre-des-représentants
PSC/CVP,,40752,Furnes-Dixmude-Ostende,1968,chambre-des-représentants
