Parti,Nombre de sièges,Nombre de voix,district,date,election
CVP,2.0,20227,Alost,1965,conseils-provinciaux
BSP,2.0,13869,Alost,1965,conseils-provinciaux
PVV,2.0,14353,Alost,1965,conseils-provinciaux
Communist,,1629,Alost,1965,conseils-provinciaux
VU,1.0,9584,Alost,1965,conseils-provinciaux
PSC,1.0,3092,Andenne,1965,conseils-provinciaux
PSB,1.0,4659,Andenne,1965,conseils-provinciaux
PLP,1.0,2457,Andenne,1965,conseils-provinciaux
RDW,,919,Andenne,1965,conseils-provinciaux
CVP-PSC,2.0,18023,Anderlecht,1965,conseils-provinciaux
PSB/BSP,2.0,26599,Anderlecht,1965,conseils-provinciaux
PLP/PVV,2.0,19725,Anderlecht,1965,conseils-provinciaux
Communist,,3593,Anderlecht,1965,conseils-provinciaux
PTB/BTP,,381,Anderlecht,1965,conseils-provinciaux
VFD,,669,Anderlecht,1965,conseils-provinciaux
FDF,,5033,Anderlecht,1965,conseils-provinciaux
UF,,317,Anderlecht,1965,conseils-provinciaux
PN/NP,,177,Anderlecht,1965,conseils-provinciaux
BC/CB,,1132,Anderlecht,1965,conseils-provinciaux
PSI SOP,,203,Anderlecht,1965,conseils-provinciaux
VU,,2998,Anderlecht,1965,conseils-provinciaux
CVP,5.0,46833,Anvers,1965,conseils-provinciaux
BSP,8.0,64013,Anvers,1965,conseils-provinciaux
PVV,3.0,29728,Anvers,1965,conseils-provinciaux
Communist,,9518,Anvers,1965,conseils-provinciaux
VU,2.0,24051,Anvers,1965,conseils-provinciaux
KAGANOVEMUS,,471,Anvers,1965,conseils-provinciaux
PROGR FRONT,,410,Anvers,1965,conseils-provinciaux
PSC,5.0,9984,Arlon,1965,conseils-provinciaux
PSB,3.0,5950,Arlon,1965,conseils-provinciaux
PLP,3.0,7857,Arlon,1965,conseils-provinciaux
PSC,1.0,2195,Ath,1965,conseils-provinciaux
PSB,2.0,5065,Ath,1965,conseils-provinciaux
PLP,2.0,3329,Ath,1965,conseils-provinciaux
Communist,,907,Ath,1965,conseils-provinciaux
PSC,4.0,6007,Bastogne,1965,conseils-provinciaux
PSB,,1069,Bastogne,1965,conseils-provinciaux
PLP,1.0,3691,Bastogne,1965,conseils-provinciaux
CVP,5.0,19833,Beringen,1965,conseils-provinciaux
BSP,1.0,4670,Beringen,1965,conseils-provinciaux
PVV,2.0,9242,Beringen,1965,conseils-provinciaux
VU,1.0,1985,Beringen,1965,conseils-provinciaux
ANDERE,,99,Beringen,1965,conseils-provinciaux
CVP,3.0,10430,Bilzen,1965,conseils-provinciaux
BSP,1.0,1771,Bilzen,1965,conseils-provinciaux
PVV,,1322,Bilzen,1965,conseils-provinciaux
VU,,2600,Bilzen,1965,conseils-provinciaux
PSC,1.0,8326,Binche,1965,conseils-provinciaux
PSB,3.0,18617,Binche,1965,conseils-provinciaux
PLP,1.0,9918,Binche,1965,conseils-provinciaux
Communist,1.0,5955,Binche,1965,conseils-provinciaux
FW,,1209,Binche,1965,conseils-provinciaux
AUTRE,,436,Binche,1965,conseils-provinciaux
CVP,3.0,27318,Boom,1965,conseils-provinciaux
BSP,2.0,21586,Boom,1965,conseils-provinciaux
PVV,1.0,8462,Boom,1965,conseils-provinciaux
Communist,,1393,Boom,1965,conseils-provinciaux
VU,1.0,7479,Boom,1965,conseils-provinciaux
CVP,5.0,50781,Borgerhout,1965,conseils-provinciaux
BSP,5.0,51937,Borgerhout,1965,conseils-provinciaux
PVV,3.0,23419,Borgerhout,1965,conseils-provinciaux
Communist,,5761,Borgerhout,1965,conseils-provinciaux
VU,3.0,30402,Borgerhout,1965,conseils-provinciaux
KAGANOVEMUS,,760,Borgerhout,1965,conseils-provinciaux
PSC,3.0,6309,Bouillon,1965,conseils-provinciaux
PSB,1.0,2433,Bouillon,1965,conseils-provinciaux
PLP,1.0,3517,Bouillon,1965,conseils-provinciaux
AUTRE,,1066,Bouillon,1965,conseils-provinciaux
PSC,1.0,8258,Boussu,1965,conseils-provinciaux
PSB,3.0,23229,Boussu,1965,conseils-provinciaux
PLP,2.0,8946,Boussu,1965,conseils-provinciaux
Communist,1.0,9216,Boussu,1965,conseils-provinciaux
FW,,561,Boussu,1965,conseils-provinciaux
AUTRE,,1590,Boussu,1965,conseils-provinciaux
CVP,3.0,8986,Bree,1965,conseils-provinciaux
BSP,,777,Bree,1965,conseils-provinciaux
PVV,,1500,Bree,1965,conseils-provinciaux
VU,,758,Bree,1965,conseils-provinciaux
CVP,9.0,60356,Bruges,1965,conseils-provinciaux
BSP,5.0,33501,Bruges,1965,conseils-provinciaux
PVV,2.0,16894,Bruges,1965,conseils-provinciaux
Communist,,1245,Bruges,1965,conseils-provinciaux
VU,2.0,14104,Bruges,1965,conseils-provinciaux
CVP-PSC,1.0,15660,Bruxelles,1965,conseils-provinciaux
PSB/BSP,2.0,21114,Bruxelles,1965,conseils-provinciaux
PLP/PVV,4.0,32552,Bruxelles,1965,conseils-provinciaux
Communist,,4849,Bruxelles,1965,conseils-provinciaux
PTB/BTP,,451,Bruxelles,1965,conseils-provinciaux
VFD,,835,Bruxelles,1965,conseils-provinciaux
FDF,1.0,8053,Bruxelles,1965,conseils-provinciaux
UF,,1031,Bruxelles,1965,conseils-provinciaux
PN/NP,,243,Bruxelles,1965,conseils-provinciaux
BC/CB,,1870,Bruxelles,1965,conseils-provinciaux
PSI SOP,,358,Bruxelles,1965,conseils-provinciaux
VU,,2208,Bruxelles,1965,conseils-provinciaux
Pcath/CathP,,394,Bruxelles,1965,conseils-provinciaux
PSC,2.0,11677,Châtelet,1965,conseils-provinciaux
PSB,5.0,27401,Châtelet,1965,conseils-provinciaux
PLP,2.0,12436,Châtelet,1965,conseils-provinciaux
Communist,,3830,Châtelet,1965,conseils-provinciaux
FW,,3316,Châtelet,1965,conseils-provinciaux
CW,,1290,Châtelet,1965,conseils-provinciaux
AUTRE,,1073,Châtelet,1965,conseils-provinciaux
PSC,1.0,12098,Charleroi,1965,conseils-provinciaux
PSB,4.0,31468,Charleroi,1965,conseils-provinciaux
PLP,3.0,20478,Charleroi,1965,conseils-provinciaux
Communist,1.0,6792,Charleroi,1965,conseils-provinciaux
FW,1.0,5265,Charleroi,1965,conseils-provinciaux
CW,,1223,Charleroi,1965,conseils-provinciaux
AUTRE,,737,Charleroi,1965,conseils-provinciaux
PSC,3.0,8655,Ciney,1965,conseils-provinciaux
PSB,1.0,4927,Ciney,1965,conseils-provinciaux
PLP,2.0,5949,Ciney,1965,conseils-provinciaux
RDW,,669,Ciney,1965,conseils-provinciaux
CVP,6.0,40312,Courtrai,1965,conseils-provinciaux
BSP,2.0,15773,Courtrai,1965,conseils-provinciaux
PVV,1.0,7461,Courtrai,1965,conseils-provinciaux
Communist,,649,Courtrai,1965,conseils-provinciaux
VU,1.0,6373,Courtrai,1965,conseils-provinciaux
ANDERE,,955,Courtrai,1965,conseils-provinciaux
CVP,3.0,24275,Deinze,1965,conseils-provinciaux
BSP,,6231,Deinze,1965,conseils-provinciaux
PVV,1.0,5679,Deinze,1965,conseils-provinciaux
Communist,,411,Deinze,1965,conseils-provinciaux
VU,1.0,8755,Deinze,1965,conseils-provinciaux
CVP-PSC,3.0,28663,Diest,1965,conseils-provinciaux
PSB/BSP,1.0,16471,Diest,1965,conseils-provinciaux
PLP/PVV,2.0,18692,Diest,1965,conseils-provinciaux
Communist,,1034,Diest,1965,conseils-provinciaux
VFD,,537,Diest,1965,conseils-provinciaux
VU,,3794,Diest,1965,conseils-provinciaux
PSC,3.0,10969,Dinant,1965,conseils-provinciaux
PSB,3.0,6370,Dinant,1965,conseils-provinciaux
PLP,2.0,7598,Dinant,1965,conseils-provinciaux
RDW,,874,Dinant,1965,conseils-provinciaux
AUTRE,,307,Dinant,1965,conseils-provinciaux
PSC,4.0,22980,Dison,1965,conseils-provinciaux
PSB,2.0,14202,Dison,1965,conseils-provinciaux
PLP,2.0,10536,Dison,1965,conseils-provinciaux
Communist,,1962,Dison,1965,conseils-provinciaux
PWT,,1652,Dison,1965,conseils-provinciaux
AUTRE,,248,Dison,1965,conseils-provinciaux
CVP,2.0,11927,Dixsmude,1965,conseils-provinciaux
BSP,1.0,4136,Dixsmude,1965,conseils-provinciaux
PVV,,3974,Dixsmude,1965,conseils-provinciaux
VU,1.0,5572,Dixsmude,1965,conseils-provinciaux
PSC,1.0,6888,Dour,1965,conseils-provinciaux
PSB,2.0,17383,Dour,1965,conseils-provinciaux
PLP,1.0,7365,Dour,1965,conseils-provinciaux
Communist,1.0,7743,Dour,1965,conseils-provinciaux
FW,,702,Dour,1965,conseils-provinciaux
AUTRE,,1064,Dour,1965,conseils-provinciaux
CVP,4.0,24960,Eeklo,1965,conseils-provinciaux
BSP,1.0,9160,Eeklo,1965,conseils-provinciaux
PVV,1.0,7016,Eeklo,1965,conseils-provinciaux
Communist,,385,Eeklo,1965,conseils-provinciaux
VU,,3095,Eeklo,1965,conseils-provinciaux
ANDERE,,3285,Eeklo,1965,conseils-provinciaux
PSC,1.0,4092,Eghezée,1965,conseils-provinciaux
PSB,1.0,3380,Eghezée,1965,conseils-provinciaux
PLP,1.0,3055,Eghezée,1965,conseils-provinciaux
RDW,,871,Eghezée,1965,conseils-provinciaux
CVP,6.0,51319,Ekeren,1965,conseils-provinciaux
BSP,3.0,23064,Ekeren,1965,conseils-provinciaux
PVV,1.0,12307,Ekeren,1965,conseils-provinciaux
Communist,,2614,Ekeren,1965,conseils-provinciaux
VU,2.0,15055,Ekeren,1965,conseils-provinciaux
CVP,4.0,28025,Evergem,1965,conseils-provinciaux
BSP,1.0,9470,Evergem,1965,conseils-provinciaux
PVV,,5647,Evergem,1965,conseils-provinciaux
Communist,,784,Evergem,1965,conseils-provinciaux
VU,1.0,7315,Evergem,1965,conseils-provinciaux
PSC,2.0,10417,Fexhe-Slens,1965,conseils-provinciaux
PSB,2.0,11938,Fexhe-Slens,1965,conseils-provinciaux
PLP,2.0,8866,Fexhe-Slens,1965,conseils-provinciaux
Communist,,2926,Fexhe-Slens,1965,conseils-provinciaux
PWT,,2433,Fexhe-Slens,1965,conseils-provinciaux
PCW,,280,Fexhe-Slens,1965,conseils-provinciaux
AUTRE,,220,Fexhe-Slens,1965,conseils-provinciaux
PSC,2.0,10900,Fléron,1965,conseils-provinciaux
PSB,3.0,18045,Fléron,1965,conseils-provinciaux
PLP,2.0,12912,Fléron,1965,conseils-provinciaux
Communist,1.0,5187,Fléron,1965,conseils-provinciaux
PWT,,2287,Fléron,1965,conseils-provinciaux
PCW,,598,Fléron,1965,conseils-provinciaux
PSC,2.0,5797,Florennes,1965,conseils-provinciaux
PSB,2.0,4986,Florennes,1965,conseils-provinciaux
PLP,1.0,4486,Florennes,1965,conseils-provinciaux
RDW,,1050,Florennes,1965,conseils-provinciaux
PSC,3.0,6019,Florenville,1965,conseils-provinciaux
PSB,1.0,2560,Florenville,1965,conseils-provinciaux
PLP,1.0,3541,Florenville,1965,conseils-provinciaux
AUTRE,,160,Florenville,1965,conseils-provinciaux
PSC,1.0,8534,Fontaine-l'Evêque,1965,conseils-provinciaux
PSB,3.0,23217,Fontaine-l'Evêque,1965,conseils-provinciaux
PLP,2.0,11630,Fontaine-l'Evêque,1965,conseils-provinciaux
Communist,1.0,7089,Fontaine-l'Evêque,1965,conseils-provinciaux
FW,,2241,Fontaine-l'Evêque,1965,conseils-provinciaux
CW,,1091,Fontaine-l'Evêque,1965,conseils-provinciaux
AUTRE,,951,Fontaine-l'Evêque,1965,conseils-provinciaux
PSC,2.0,7721,Fosses-la-Ville,1965,conseils-provinciaux
PSB,3.0,10694,Fosses-la-Ville,1965,conseils-provinciaux
PLP,3.0,7594,Fosses-la-Ville,1965,conseils-provinciaux
RDW,1.0,2033,Fosses-la-Ville,1965,conseils-provinciaux
AUTRE,,443,Fosses-la-Ville,1965,conseils-provinciaux
CVP,2.0,9813,Furnes,1965,conseils-provinciaux
BSP,1.0,4669,Furnes,1965,conseils-provinciaux
PVV,1.0,6921,Furnes,1965,conseils-provinciaux
VU,,3738,Furnes,1965,conseils-provinciaux
CVP,5.0,37556,Gand,1965,conseils-provinciaux
BSP,5.0,35345,Gand,1965,conseils-provinciaux
PVV,2.0,21433,Gand,1965,conseils-provinciaux
Communist,,2933,Gand,1965,conseils-provinciaux
VU,1.0,12839,Gand,1965,conseils-provinciaux
ANDERE,,355,Gand,1965,conseils-provinciaux
PSC,2.0,5066,Gembloux,1965,conseils-provinciaux
PSB,2.0,6312,Gembloux,1965,conseils-provinciaux
PLP,1.0,4411,Gembloux,1965,conseils-provinciaux
RDW,,1558,Gembloux,1965,conseils-provinciaux
AUTRE,,139,Gembloux,1965,conseils-provinciaux
CVP,4.0,11338,Genk,1965,conseils-provinciaux
BSP,1.0,4417,Genk,1965,conseils-provinciaux
PVV,1.0,1747,Genk,1965,conseils-provinciaux
VU,1.0,2757,Genk,1965,conseils-provinciaux
ANDERE,,1135,Genk,1965,conseils-provinciaux
CVP,2.0,17358,Grammont,1965,conseils-provinciaux
BSP,2.0,13861,Grammont,1965,conseils-provinciaux
PVV,1.0,9346,Grammont,1965,conseils-provinciaux
Communist,,1971,Grammont,1965,conseils-provinciaux
VU,1.0,4861,Grammont,1965,conseils-provinciaux
CVP-PSC,2.0,24629,Hal,1965,conseils-provinciaux
PSB/BSP,1.0,17703,Hal,1965,conseils-provinciaux
PLP/PVV,1.0,11798,Hal,1965,conseils-provinciaux
Communist,,919,Hal,1965,conseils-provinciaux
VFD,,606,Hal,1965,conseils-provinciaux
FDF,,921,Hal,1965,conseils-provinciaux
VU,1.0,4149,Hal,1965,conseils-provinciaux
CVP,3.0,18371,Harelbeke,1965,conseils-provinciaux
BSP,1.0,8084,Harelbeke,1965,conseils-provinciaux
PVV,,1917,Harelbeke,1965,conseils-provinciaux
Communist,,276,Harelbeke,1965,conseils-provinciaux
VU,,2085,Harelbeke,1965,conseils-provinciaux
CVP,5.0,20202,Hasselt,1965,conseils-provinciaux
BSP,1.0,6009,Hasselt,1965,conseils-provinciaux
PVV,1.0,5091,Hasselt,1965,conseils-provinciaux
VU,1.0,3953,Hasselt,1965,conseils-provinciaux
ANDERE,,224,Hasselt,1965,conseils-provinciaux
CVP,4.0,34636,Herentals,1965,conseils-provinciaux
BSP,1.0,8337,Herentals,1965,conseils-provinciaux
PVV,1.0,7625,Herentals,1965,conseils-provinciaux
VU,,4453,Herentals,1965,conseils-provinciaux
CVP,2.0,10159,Herk-la-Ville,1965,conseils-provinciaux
BSP,1.0,2098,Herk-la-Ville,1965,conseils-provinciaux
PVV,1.0,1742,Herk-la-Ville,1965,conseils-provinciaux
VU,,1545,Herk-la-Ville,1965,conseils-provinciaux
ANDERE,,1281,Herk-la-Ville,1965,conseils-provinciaux
PSC,2.0,9722,Herstal,1965,conseils-provinciaux
PSB,3.0,21330,Herstal,1965,conseils-provinciaux
PLP,3.0,15778,Herstal,1965,conseils-provinciaux
Communist,1.0,8209,Herstal,1965,conseils-provinciaux
PWT,,4062,Herstal,1965,conseils-provinciaux
PCW,,718,Herstal,1965,conseils-provinciaux
PSC,2.0,11921,Huy,1965,conseils-provinciaux
PSB,3.0,23258,Huy,1965,conseils-provinciaux
PLP,2.0,12169,Huy,1965,conseils-provinciaux
Communist,1.0,6748,Huy,1965,conseils-provinciaux
CVP,3.0,19230,Ieper,1965,conseils-provinciaux
BSP,2.0,8507,Ieper,1965,conseils-provinciaux
PVV,1.0,8601,Ieper,1965,conseils-provinciaux
Communist,,562,Ieper,1965,conseils-provinciaux
VU,,3925,Ieper,1965,conseils-provinciaux
CVP-PSC,2.0,18848,Ixelles,1965,conseils-provinciaux
PSB/BSP,1.0,15244,Ixelles,1965,conseils-provinciaux
PLP/PVV,3.0,39114,Ixelles,1965,conseils-provinciaux
Communist,,3714,Ixelles,1965,conseils-provinciaux
VFD,,461,Ixelles,1965,conseils-provinciaux
FDF,1.0,12533,Ixelles,1965,conseils-provinciaux
UF,,406,Ixelles,1965,conseils-provinciaux
PN/NP,,161,Ixelles,1965,conseils-provinciaux
BC/CB,,1038,Ixelles,1965,conseils-provinciaux
VU,,1546,Ixelles,1965,conseils-provinciaux
CVP,3.0,22214,Izegem,1965,conseils-provinciaux
BSP,1.0,8348,Izegem,1965,conseils-provinciaux
PVV,,2217,Izegem,1965,conseils-provinciaux
Communist,,866,Izegem,1965,conseils-provinciaux
