Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
GROEN,2,112477,Circonscription d'Anvers,2014,chambre-des-représentants
VLAAMS BELANG,2,79852,Circonscription d'Anvers,2014,chambre-des-représentants
OpenVld,2,116892,Circonscription d'Anvers,2014,chambre-des-représentants
SP.A,3,132096,Circonscription d'Anvers,2014,chambre-des-représentants
N-VA,11,449531,Circonscription d'Anvers,2014,chambre-des-représentants
CD&V,4,183636,Circonscription d'Anvers,2014,chambre-des-représentants
PVDA+,0,51638,Circonscription d'Anvers,2014,chambre-des-représentants
R.O.S.S.E.M.,0,2984,Circonscription d'Anvers,2014,chambre-des-représentants
B.U.B.-Belg.Unie,0,1299,Circonscription d'Anvers,2014,chambre-des-représentants
Piratenpartij,0,11136,Circonscription d'Anvers,2014,chambre-des-représentants
MR,4,115038,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
VLAAMS BELANG,0,5157,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
FDF,2,55306,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
open vld,0,13283,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
ECOLO,2,52133,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
PS,5,123985,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
SP.A,0,9613,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
NVA,0,13223,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
CDH,2,46441,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
CD&V,0,8173,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
Parti Populaire,0,8641,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
PTB*PVDA-GO !,0,19135,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
MG,0,567,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
LA DROITE,0,2165,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
DEBOUT LES BELGES!,0,11112,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
GAUCHES COMMUNES,0,1445,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
NATION,0,1623,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
Agora Erasmus,0,382,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
Parti Libertarien,0,750,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
Égalitaires ! ,0,953,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
LaLutte-DeStrijd,0,213,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
ISLAM,0,9387,Circonscription de Bruxelles-Capitale,2014,chambre-des-représentants
GROEN,1,63657,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
VLAAMS BELANG,0,38232,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
OpenVld,2,111388,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
Lijst Dedecker,0,28414,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
SP.A,3,142406,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
N-VA,6,230265,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
CD&V,4,175669,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
PVDA+,0,13397,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
R.O.S.S.E.M.,0,2810,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
B.U.B.-Belg.Unie,0,1691,Circonscription de Flandre Occidentale,2014,chambre-des-représentants
GROEN,2,90473,Circonscription de Flandre Orientale,2014,chambre-des-représentants
VLAAMS BELANG,1,61620,Circonscription de Flandre Orientale,2014,chambre-des-représentants
open vld,4,179167,Circonscription de Flandre Orientale,2014,chambre-des-représentants
SP.A,3,131903,Circonscription de Flandre Orientale,2014,chambre-des-représentants
N-VA,6,306650,Circonscription de Flandre Orientale,2014,chambre-des-représentants
CD&V,4,177349,Circonscription de Flandre Orientale,2014,chambre-des-représentants
PVDA+,0,26381,Circonscription de Flandre Orientale,2014,chambre-des-représentants
R.O.S.S.E.M.,0,2557,Circonscription de Flandre Orientale,2014,chambre-des-représentants
Piratenpartij,0,8124,Circonscription de Flandre Orientale,2014,chambre-des-représentants
SD&P,0,2298,Circonscription de Flandre Orientale,2014,chambre-des-représentants
B.U.B.-Belg.Unie,0,1366,Circonscription de Flandre Orientale,2014,chambre-des-représentants
PVGW,0,932,Circonscription de Flandre Orientale,2014,chambre-des-représentants
MR,5,153301,Circonscription de Hainaut,2014,chambre-des-représentants
FDF,0,14382,Circonscription de Hainaut,2014,chambre-des-représentants
ECOLO,1,43488,Circonscription de Hainaut,2014,chambre-des-représentants
PS,9,303085,Circonscription de Hainaut,2014,chambre-des-représentants
CDH,2,76812,Circonscription de Hainaut,2014,chambre-des-représentants
Parti Populaire,0,32158,Circonscription de Hainaut,2014,chambre-des-représentants
PTB-GO !,1,38194,Circonscription de Hainaut,2014,chambre-des-représentants
MG,0,1662,Circonscription de Hainaut,2014,chambre-des-représentants
LA DROITE,0,6804,Circonscription de Hainaut,2014,chambre-des-représentants
DEBOUT LES BELGES,0,24634,Circonscription de Hainaut,2014,chambre-des-représentants
NWA,0,1673,Circonscription de Hainaut,2014,chambre-des-représentants
RassemblementWalon,0,1598,Circonscription de Hainaut,2014,chambre-des-représentants
Faire place Nette,0,15467,Circonscription de Hainaut,2014,chambre-des-représentants
P+,0,2254,Circonscription de Hainaut,2014,chambre-des-représentants
NATION,0,3767,Circonscription de Hainaut,2014,chambre-des-représentants
B.U.B.,0,688,Circonscription de Hainaut,2014,chambre-des-représentants
Lutte Ouvrière,0,3539,Circonscription de Hainaut,2014,chambre-des-représentants
WALLONIE D'ABORD,0,4926,Circonscription de Hainaut,2014,chambre-des-représentants
MGJOD,0,460,Circonscription de Hainaut,2014,chambre-des-représentants
PIRATE,0,5907,Circonscription de Hainaut,2014,chambre-des-représentants
R.W.F.,0,2058,Circonscription de Hainaut,2014,chambre-des-représentants
FW,0,1633,Circonscription de Hainaut,2014,chambre-des-représentants
MR,5,158046,Circonscription de Liège,2014,chambre-des-représentants
FDF,0,13915,Circonscription de Liège,2014,chambre-des-représentants
ECOLO,1,56890,Circonscription de Liège,2014,chambre-des-représentants
PS,5,187897,Circonscription de Liège,2014,chambre-des-représentants
CDH,2,81759,Circonscription de Liège,2014,chambre-des-représentants
Parti Populaire,1,32229,Circonscription de Liège,2014,chambre-des-représentants
PTB-GO !,1,50603,Circonscription de Liège,2014,chambre-des-représentants
MG,0,1024,Circonscription de Liège,2014,chambre-des-représentants
LA DROITE,0,8714,Circonscription de Liège,2014,chambre-des-représentants
DEBOUT LES BELGES,0,9381,Circonscription de Liège,2014,chambre-des-représentants
VLC,0,1820,Circonscription de Liège,2014,chambre-des-représentants
B.U.B.-Belg.Unie,0,1198,Circonscription de Liège,2014,chambre-des-représentants
WALLONIE D'ABORD,0,6295,Circonscription de Liège,2014,chambre-des-représentants
PIRATE,0,3938,Circonscription de Liège,2014,chambre-des-représentants
NATION,0,2342,Circonscription de Liège,2014,chambre-des-représentants
FW,0,752,Circonscription de Liège,2014,chambre-des-représentants
PP PARTIPENSIONNES,0,3178,Circonscription de Liège,2014,chambre-des-représentants
R.W.F.,0,1622,Circonscription de Liège,2014,chambre-des-représentants
CIM,0,430,Circonscription de Liège,2014,chambre-des-représentants
ISLAM,0,4332,Circonscription de Liège,2014,chambre-des-représentants
GROEN,0,33244,Circonscription de Limbourg,2014,chambre-des-représentants
VLAAMS BELANG,0,34020,Circonscription de Limbourg,2014,chambre-des-représentants
OpenVld,2,68713,Circonscription de Limbourg,2014,chambre-des-représentants
SP.A,2,98194,Circonscription de Limbourg,2014,chambre-des-représentants
N-VA,5,174030,Circonscription de Limbourg,2014,chambre-des-représentants
CD&V,3,125962,Circonscription de Limbourg,2014,chambre-des-représentants
PVDA+,0,14253,Circonscription de Limbourg,2014,chambre-des-représentants
