Parti,Nombre de sièges,Nombre de voix,district,date,election
CVP,2.0,17722,Alost,1991,conseils-provinciaux
SP,2.0,16887,Alost,1991,conseils-provinciaux
PVV,2.0,17182,Alost,1991,conseils-provinciaux
AGALEV,,6005,Alost,1991,conseils-provinciaux
VU,1.0,7807,Alost,1991,conseils-provinciaux
VLAAMS BLOK,1.0,8965,Alost,1991,conseils-provinciaux
V.D.,,3447,Alost,1991,conseils-provinciaux
PSC,1.0,4034,Andenne,1991,conseils-provinciaux
PS,2.0,8815,Andenne,1991,conseils-provinciaux
PRL,,3191,Andenne,1991,conseils-provinciaux
ECOLO,1.0,2971,Andenne,1991,conseils-provinciaux
CVP,1.0,8090,Anderlecht,1991,conseils-provinciaux
SP,1.0,4573,Anderlecht,1991,conseils-provinciaux
PVV,,5797,Anderlecht,1991,conseils-provinciaux
AGALEV,1.0,2845,Anderlecht,1991,conseils-provinciaux
VU,,5512,Anderlecht,1991,conseils-provinciaux
VLAAMS BLOK,1.0,6023,Anderlecht,1991,conseils-provinciaux
PSC,,3181,Anderlecht,1991,conseils-provinciaux
PS,1.0,12543,Anderlecht,1991,conseils-provinciaux
PRL,1.0,12013,Anderlecht,1991,conseils-provinciaux
ECOLO,,7265,Anderlecht,1991,conseils-provinciaux
FDF/PPW,,6760,Anderlecht,1991,conseils-provinciaux
UDRT/RA,,362,Anderlecht,1991,conseils-provinciaux
FN-NF,,5673,Anderlecht,1991,conseils-provinciaux
PTB-PVA,,315,Anderlecht,1991,conseils-provinciaux
CVP,5.0,45716,Anvers,1991,conseils-provinciaux
SP,7.0,60907,Anvers,1991,conseils-provinciaux
PVV,4.0,43637,Anvers,1991,conseils-provinciaux
AGALEV,3.0,35374,Anvers,1991,conseils-provinciaux
VU,2.0,20958,Anvers,1991,conseils-provinciaux
VLAAMS BLOK,9.0,89433,Anvers,1991,conseils-provinciaux
PVDA,,4987,Anvers,1991,conseils-provinciaux
REGEBO,,3668,Anvers,1991,conseils-provinciaux
B.E.B,,2407,Anvers,1991,conseils-provinciaux
VCD/PCS,,1299,Anvers,1991,conseils-provinciaux
PSC,3.0,8800,Arlon,1991,conseils-provinciaux
