Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Socialist,5.0,42156,Alost,1961,conseils-provinciaux
CVP,8.0,63497,Alost,1961,conseils-provinciaux
Liberal,4.0,29788,Alost,1961,conseils-provinciaux
Communist,,4029,Alost,1961,conseils-provinciaux
Volksunie,1.0,13464,Alost,1961,conseils-provinciaux
Socialist,22.0,197499,Anvers,1961,conseils-provinciaux
CVP,23.0,211757,Anvers,1961,conseils-provinciaux
Liberal,5.0,48194,Anvers,1961,conseils-provinciaux
Communist,1.0,11392,Anvers,1961,conseils-provinciaux
Volksunie,4.0,40469,Anvers,1961,conseils-provinciaux
Zelfstandig,,1299,Anvers,1961,conseils-provinciaux
NAT BEWEGING,,3540,Anvers,1961,conseils-provinciaux
PROGR FRONT,,154,Anvers,1961,conseils-provinciaux
Socialist,3.0,8990,Arlon,1961,conseils-provinciaux
PSC,4.0,10259,Arlon,1961,conseils-provinciaux
Liberal,2.0,4805,Arlon,1961,conseils-provinciaux
Socialist,3.0,21575,Ath,1961,conseils-provinciaux
PSC,2.0,13359,Ath,1961,conseils-provinciaux
Liberal,1.0,10254,Ath,1961,conseils-provinciaux
Communist,,2853,Ath,1961,conseils-provinciaux
Socialist,2.0,18975,Audenarde,1961,conseils-provinciaux
CVP,5.0,34621,Audenarde,1961,conseils-provinciaux
Liberal,2.0,15476,Audenarde,1961,conseils-provinciaux
Communist,,619,Audenarde,1961,conseils-provinciaux
Volksunie,,1751,Audenarde,1961,conseils-provinciaux
Socialist,1.0,3783,Bastogne,1961,conseils-provinciaux
PSC,7.0,13462,Bastogne,1961,conseils-provinciaux
Liberal,1.0,3227,Bastogne,1961,conseils-provinciaux
Socialist,6.0,40893,Bruges,1961,conseils-provinciaux
CVP,9.0,64846,Bruges,1961,conseils-provinciaux
Liberal,1.0,11656,Bruges,1961,conseils-provinciaux
Volksunie,,6427,Bruges,1961,conseils-provinciaux
ONAFH / INDEP,,754,Bruges,1961,conseils-provinciaux
Socialist,28.0,316260,Bruxelles,1961,conseils-provinciaux
PSC/CVP,25.0,274943,Bruxelles,1961,conseils-provinciaux
Liberal,13.0,149320,Bruxelles,1961,conseils-provinciaux
Communist,,26111,Bruxelles,1961,conseils-provinciaux
Volksunie,,15902,Bruxelles,1961,conseils-provinciaux
UNI/NUO,,10523,Bruxelles,1961,conseils-provinciaux
RN/NB,,20207,Bruxelles,1961,conseils-provinciaux
PI/OP,,17087,Bruxelles,1961,conseils-provinciaux
autres/andere,,2447,Bruxelles,1961,conseils-provinciaux
Socialist,19.0,138800,Charleroi,1961,conseils-provinciaux
PSC,7.0,55603,Charleroi,1961,conseils-provinciaux
Liberal,3.0,22424,Charleroi,1961,conseils-provinciaux
Communist,3.0,21393,Charleroi,1961,conseils-provinciaux
PART INDEPENDANTS,,10642,Charleroi,1961,conseils-provinciaux
AUTRE,,303,Charleroi,1961,conseils-provinciaux
Socialist,8.0,57990,Courtrai,1961,conseils-provinciaux
CVP,13.0,101063,Courtrai,1961,conseils-provinciaux
Liberal,1.0,13149,Courtrai,1961,conseils-provinciaux
Volksunie,,3488,Courtrai,1961,conseils-provinciaux
Socialist,4.0,15052,Dinant,1961,conseils-provinciaux
PSC,8.0,24636,Dinant,1961,conseils-provinciaux
Liberal,2.0,7699,Dinant,1961,conseils-provinciaux
AUTRE,,659,Dinant,1961,conseils-provinciaux
Socialist,1.0,5949,Dixsmude,1961,conseils-provinciaux
CVP,3.0,16201,Dixsmude,1961,conseils-provinciaux
Liberal,,3766,Dixsmude,1961,conseils-provinciaux
Volksunie,,1042,Dixsmude,1961,conseils-provinciaux
Socialist,1.0,10735,Eeklo,1961,conseils-provinciaux
CVP,5.0,27900,Eeklo,1961,conseils-provinciaux
Liberal,,4385,Eeklo,1961,conseils-provinciaux
Communist,,343,Eeklo,1961,conseils-provinciaux
Volksunie,,5327,Eeklo,1961,conseils-provinciaux
Socialist,1.0,6640,Furnes,1961,conseils-provinciaux
CVP,3.0,14173,Furnes,1961,conseils-provinciaux
Liberal,,3514,Furnes,1961,conseils-provinciaux
