Parti,Nombre de sièges,Nombre de voix,district,date,election
Socialist,2.0,15602,Alost,1961,conseils-provinciaux
CVP,3.0,22930,Alost,1961,conseils-provinciaux
Liberal,1.0,13383,Alost,1961,conseils-provinciaux
Communist,,1521,Alost,1961,conseils-provinciaux
Volksunie,1.0,6393,Alost,1961,conseils-provinciaux
Socialist,2.0,5780,Andenne,1961,conseils-provinciaux
PSC,1.0,3662,Andenne,1961,conseils-provinciaux
Liberal,,1667,Andenne,1961,conseils-provinciaux
Communist,,452,Andenne,1961,conseils-provinciaux
Socialist,3.0,37105,Anderlecht,1961,conseils-provinciaux
PSC/CVP,2.0,22111,Anderlecht,1961,conseils-provinciaux
Liberal,1.0,10955,Anderlecht,1961,conseils-provinciaux
Communist,,3100,Anderlecht,1961,conseils-provinciaux
Volksunie,,1819,Anderlecht,1961,conseils-provinciaux
UNI/NUO,,789,Anderlecht,1961,conseils-provinciaux
PI/OP,,1735,Anderlecht,1961,conseils-provinciaux
autres/andere,,176,Anderlecht,1961,conseils-provinciaux
Socialist,10.0,82336,Anvers,1961,conseils-provinciaux
CVP,8.0,63145,Anvers,1961,conseils-provinciaux
Liberal,2.0,21698,Anvers,1961,conseils-provinciaux
Communist,1.0,5934,Anvers,1961,conseils-provinciaux
Volksunie,1.0,12481,Anvers,1961,conseils-provinciaux
Zelfstandig,,1299,Anvers,1961,conseils-provinciaux
NAT BEWEGING,,1346,Anvers,1961,conseils-provinciaux
PROGR FRONT,,154,Anvers,1961,conseils-provinciaux
Socialist,3.0,8990,Arlon,1961,conseils-provinciaux
PSC,4.0,10259,Arlon,1961,conseils-provinciaux
Liberal,2.0,4805,Arlon,1961,conseils-provinciaux
Socialist,3.0,21575,Ath,1961,conseils-provinciaux
PSC,2.0,13359,Ath,1961,conseils-provinciaux
Liberal,1.0,10254,Ath,1961,conseils-provinciaux
Communist,,2853,Ath,1961,conseils-provinciaux
Socialist,,1675,Bastogne,1961,conseils-provinciaux
PSC,4.0,7341,Bastogne,1961,conseils-provinciaux
Liberal,1.0,2085,Bastogne,1961,conseils-provinciaux
Socialist,1.0,6943,Beringen,1961,conseils-provinciaux
CVP,5.0,19474,Beringen,1961,conseils-provinciaux
Liberal,1.0,6380,Beringen,1961,conseils-provinciaux
Volksunie,,1439,Beringen,1961,conseils-provinciaux
Socialist,1.0,4431,Bilzen,1961,conseils-provinciaux
CVP,6.0,22437,Bilzen,1961,conseils-provinciaux
Liberal,1.0,3977,Bilzen,1961,conseils-provinciaux
Volksunie,,2005,Bilzen,1961,conseils-provinciaux
Socialist,4.0,24328,Binche,1961,conseils-provinciaux
PSC,2.0,11769,Binche,1961,conseils-provinciaux
Liberal,,3987,Binche,1961,conseils-provinciaux
Communist,,4670,Binche,1961,conseils-provinciaux
PART INDEPENDANTS,,2643,Binche,1961,conseils-provinciaux
Socialist,3.0,25011,Boom,1961,conseils-provinciaux
CVP,3.0,30226,Boom,1961,conseils-provinciaux
Liberal,1.0,5049,Boom,1961,conseils-provinciaux
Communist,,789,Boom,1961,conseils-provinciaux
Volksunie,,3352,Boom,1961,conseils-provinciaux
NAT BEWEGING,,285,Boom,1961,conseils-provinciaux
Socialist,6.0,61944,Borgerhout,1961,conseils-provinciaux
CVP,7.0,63703,Borgerhout,1961,conseils-provinciaux
Liberal,1.0,14381,Borgerhout,1961,conseils-provinciaux
Communist,,3250,Borgerhout,1961,conseils-provinciaux
Volksunie,2.0,14766,Borgerhout,1961,conseils-provinciaux
NAT BEWEGING,,1373,Borgerhout,1961,conseils-provinciaux
Socialist,1.0,3177,Bouillon,1961,conseils-provinciaux
PSC,4.0,8372,Bouillon,1961,conseils-provinciaux
Liberal,1.0,1963,Bouillon,1961,conseils-provinciaux
Indépendants,,327,Bouillon,1961,conseils-provinciaux
Socialist,3.0,27405,Boussu,1961,conseils-provinciaux
PSC,2.0,10993,Boussu,1961,conseils-provinciaux
Liberal,,3505,Boussu,1961,conseils-provinciaux
Communist,1.0,7313,Boussu,1961,conseils-provinciaux
PART INDEPENDANTS,1.0,5618,Boussu,1961,conseils-provinciaux
Socialist,,2642,Bree,1961,conseils-provinciaux
CVP,5.0,19420,Bree,1961,conseils-provinciaux
Liberal,,1684,Bree,1961,conseils-provinciaux
Volksunie,,1024,Bree,1961,conseils-provinciaux
Socialist,6.0,40893,Bruges,1961,conseils-provinciaux
CVP,9.0,64846,Bruges,1961,conseils-provinciaux
Liberal,1.0,11656,Bruges,1961,conseils-provinciaux
Volksunie,,6427,Bruges,1961,conseils-provinciaux
ONAFH / INDEP,,754,Bruges,1961,conseils-provinciaux
Socialist,4.0,39562,Bruxelles,1961,conseils-provinciaux
PSC/CVP,3.0,26038,Bruxelles,1961,conseils-provinciaux
Liberal,2.0,18388,Bruxelles,1961,conseils-provinciaux
Communist,,4462,Bruxelles,1961,conseils-provinciaux
Volksunie,,1271,Bruxelles,1961,conseils-provinciaux
UNI/NUO,,1666,Bruxelles,1961,conseils-provinciaux
RN/NB,,2715,Bruxelles,1961,conseils-provinciaux
PI/OP,,3374,Bruxelles,1961,conseils-provinciaux
autres/andere,,204,Bruxelles,1961,conseils-provinciaux
Socialist,5.0,36521,Châtelet,1961,conseils-provinciaux
