Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Cath/Kath,11.0,56688,Anvers,1896,chambre-des-représentants
Socialist,,9216,Anvers,1896,chambre-des-représentants
Liberal/Liberaal,,42191,Anvers,1896,chambre-des-représentants
andere/autres,,5985,Anvers,1896,chambre-des-représentants
Cath/Kath,1.0,6165,Arlon,1896,chambre-des-représentants
Liberal/Liberaal,,5667,Arlon,1896,chambre-des-représentants
Cath/Kath,1.0,6965,Bastogne,1896,chambre-des-représentants
Liberal/Liberaal,,5320,Bastogne,1896,chambre-des-représentants
Cath/Kath,3.0,27065,Bruges,1896,chambre-des-représentants
Socialist,,8035,Bruges,1896,chambre-des-représentants
Cath/Kath,18.0,89773,Bruxelles,1896,chambre-des-représentants
Socialist,,73243,Bruxelles,1896,chambre-des-représentants
soc rad,,73077,Bruxelles,1896,chambre-des-représentants
Liberal/Liberaal,,39285,Bruxelles,1896,chambre-des-représentants
Cath/Kath,4.0,31910,Courtrai,1896,chambre-des-représentants
Socialist,,6895,Courtrai,1896,chambre-des-représentants
Liberal/Liberaal,,7865,Courtrai,1896,chambre-des-représentants
andere/autres,,9840,Courtrai,1896,chambre-des-représentants
Cath/Kath,2.0,19170,Dinant,1896,chambre-des-représentants
CARTEL LIB/ soc,,14325,Dinant,1896,chambre-des-représentants
Cath/Kath,1.0,11349,Dixsmude,1896,chambre-des-représentants
Liberal/Liberaal,,2847,Dixsmude,1896,chambre-des-représentants
Cath/Kath,1.0,6109,Furnes,1896,chambre-des-représentants
Liberal/Liberaal,,4431,Furnes,1896,chambre-des-représentants
andere/autres,,254,Furnes,1896,chambre-des-représentants
Cath/Kath,6.0,38641,Louvain,1896,chambre-des-représentants
Socialist,,20332,Louvain,1896,chambre-des-représentants
Liberal/Liberaal,,10449,Louvain,1896,chambre-des-représentants
Cath/Kath,4.0,32762,Malines,1896,chambre-des-représentants
Liberal/Liberaal,,10263,Malines,1896,chambre-des-représentants
andere/autres,,6285,Malines,1896,chambre-des-représentants
Cath/Kath,1.0,9080,Marche,1896,chambre-des-représentants
Liberal/Liberaal,,6163,Marche,1896,chambre-des-représentants
Cath/Kath,,31859,Namur,1896,chambre-des-représentants
CARTEL LIB/ soc,4.0,35289,Namur,1896,chambre-des-représentants
Cath/Kath,1.0,11271,Neufchâteau,1896,chambre-des-représentants
Socialist,,658,Neufchâteau,1896,chambre-des-représentants
Liberal/Liberaal,,7627,Neufchâteau,1896,chambre-des-représentants
Cath/Kath,4.0,24777,Nivelles,1896,chambre-des-représentants
Socialist,,20031,Nivelles,1896,chambre-des-représentants
Liberal/Liberaal,,13676,Nivelles,1896,chambre-des-représentants
Cath/Kath,2.0,10861,Ostende,1896,chambre-des-représentants
Socialist,,1918,Ostende,1896,chambre-des-représentants
Liberal/Liberaal,,5113,Ostende,1896,chambre-des-représentants
andere/autres,,2176,Ostende,1896,chambre-des-représentants
Cath/Kath,2.0,12176,Philippeville,1896,chambre-des-représentants
Socialist,,6486,Philippeville,1896,chambre-des-représentants
Liberal/Liberaal,,6439,Philippeville,1896,chambre-des-représentants
Cath/Kath,2.0,22462,Roeselare,1896,chambre-des-représentants
Socialist,,3446,Roeselare,1896,chambre-des-représentants
andere/autres,,3669,Roeselare,1896,chambre-des-représentants
Cath/Kath,2.0,14858,Tielt,1896,chambre-des-représentants
Liberal/Liberaal,,3669,Tielt,1896,chambre-des-représentants
Cath/Kath,3.0,3,Turnhout,1896,chambre-des-représentants
Cath/Kath,,8427,Virton,1896,chambre-des-représentants
Liberal/Liberaal,1.0,8620,Virton,1896,chambre-des-représentants
Cath/Kath,3.0,20173,Ypres,1896,chambre-des-représentants
Liberal/Liberaal,,13938,Ypres,1896,chambre-des-représentants
andere/autres,,4108,Ypres,1896,chambre-des-représentants
