Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
PSC,,47213,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
PS,,92013,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
ECOLO,,50383,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
PRL-FDF,,185958,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
PTB,,2582,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
VLAAMS,,5833,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
PDB,,1561,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
PCN,,1228,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
SAMUEL,,2888,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
G.U.,,3438,Bruxelles-Hal-Vilvorde College électoral français,1995,sénat
CVP,,90860,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
SP,,53348,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
VLD,,79929,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
AGALEV,,16638,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
VU,,36629,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
VLAAMS BLOK,,53438,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
VVP,,954,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
PVDA-AE,,1199,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
HOERA,,1869,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
WOW,,2196,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
BANAAN,,2909,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
W.O.W.,,1155,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
N.W.P.,,400,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
D,,1011,Bruxelles-Hal-Vilvorde College électoral néerlandais,1995,sénat
CVP,,918796,Circonscription Flamande,1995,sénat
SP,,739593,Circonscription Flamande,1995,sénat
VLD,,716225,Circonscription Flamande,1995,sénat
AGALEV,,206717,Circonscription Flamande,1995,sénat
VU,,281824,Circonscription Flamande,1995,sénat
VLAAMS BLOK,,410458,Circonscription Flamande,1995,sénat
VVP,,6233,Circonscription Flamande,1995,sénat
PVDA-AE,,20408,Circonscription Flamande,1995,sénat
HOERA,,18921,Circonscription Flamande,1995,sénat
WOW,,30717,Circonscription Flamande,1995,sénat
BANAAN,,29047,Circonscription Flamande,1995,sénat
W.O.W.,,19271,Circonscription Flamande,1995,sénat
N.W.P.,,3984,Circonscription Flamande,1995,sénat
D,,6556,Circonscription Flamande,1995,sénat
PSC,,387279,Circonscription Wallonne,1995,sénat
PS,,672597,Circonscription Wallonne,1995,sénat
ECOLO,,208252,Circonscription Wallonne,1995,sénat
PRL-FDF,,486840,Circonscription Wallonne,1995,sénat
PTB,,14085,Circonscription Wallonne,1995,sénat
VLAAMS,,16799,Circonscription Wallonne,1995,sénat
PDB,,12201,Circonscription Wallonne,1995,sénat
PCN,,8830,Circonscription Wallonne,1995,sénat
SAMUEL,,28504,Circonscription Wallonne,1995,sénat
G.U.,,12556,Circonscription Wallonne,1995,sénat
