Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
MR,3,661332,Collège Electoral Français,2014,parlement-européen
FDF,0,82540,Collège Electoral Français,2014,parlement-européen
ECOLO,1,285196,Collège Electoral Français,2014,parlement-européen
PS,3,714645,Collège Electoral Français,2014,parlement-européen
CDH,1,277246,Collège Electoral Français,2014,parlement-européen
Parti Populaire,0,145909,Collège Electoral Français,2014,parlement-européen
PTB-GO!,0,133811,Collège Electoral Français,2014,parlement-européen
Stand Up USE,0,7970,Collège Electoral Français,2014,parlement-européen
MG,0,4705,Collège Electoral Français,2014,parlement-européen
VEGA,0,15208,Collège Electoral Français,2014,parlement-européen
LA DROITE,0,38813,Collège Electoral Français,2014,parlement-européen
DEBOUT LES BELGES,0,72671,Collège Electoral Français,2014,parlement-européen
PFF,0,6197,Collège Electoral Germanophone,2014,parlement-européen
PRO DG,0,5106,Collège Electoral Germanophone,2014,parlement-européen
VIVANT,0,3319,Collège Electoral Germanophone,2014,parlement-européen
ECOLO,0,6429,Collège Electoral Germanophone,2014,parlement-européen
SP,0,5835,Collège Electoral Germanophone,2014,parlement-européen
CSP,1,11710,Collège Electoral Germanophone,2014,parlement-européen
GROEN,1,447391,Collège Electoral Néerlandais,2014,parlement-européen
VLAAMS BELANG,1,284856,Collège Electoral Néerlandais,2014,parlement-européen
open vld,3,859099,Collège Electoral Néerlandais,2014,parlement-européen
SP.A,1,555348,Collège Electoral Néerlandais,2014,parlement-européen
N-VA,4,1123355,Collège Electoral Néerlandais,2014,parlement-européen
CD&V,2,840783,Collège Electoral Néerlandais,2014,parlement-européen
PVDA+,0,101237,Collège Electoral Néerlandais,2014,parlement-européen
