Parti,Nombre de sièges,Nombre de voix,province,date,election
Cath/Kath,11.0,93641,Anvers,1919,chambre-des-représentants
Cath 2,,2724,Anvers,1919,chambre-des-représentants
Social,8.0,65402,Anvers,1919,chambre-des-représentants
SOC 2,,1181,Anvers,1919,chambre-des-représentants
Liberal/Liberaal,4.0,32371,Anvers,1919,chambre-des-représentants
Frontpartij,1.0,13195,Anvers,1919,chambre-des-représentants
Middenstand,,7625,Anvers,1919,chambre-des-représentants
rennaissance nationale,,2921,Anvers,1919,chambre-des-représentants
andere/autres,,795,Anvers,1919,chambre-des-représentants
Cath/Kath,8.0,83890,Brabant,1919,chambre-des-représentants
Cath 2,3.0,25573,Brabant,1919,chambre-des-représentants
Social,12.0,109351,Brabant,1919,chambre-des-représentants
Liberal/Liberaal,9.0,79244,Brabant,1919,chambre-des-représentants
christ democr,,576,Brabant,1919,chambre-des-représentants
Frontpartij,1.0,9326,Brabant,1919,chambre-des-représentants
Middenstand,1.0,9219,Brabant,1919,chambre-des-représentants
strijders/combattant,2.0,19075,Brabant,1919,chambre-des-représentants
rennaissance nationale,1.0,11518,Brabant,1919,chambre-des-représentants
andere/autres,,1819,Brabant,1919,chambre-des-représentants
Cath/Kath,13.0,92352,Flandre occidentale,1919,chambre-des-représentants
Social,6.0,40899,Flandre occidentale,1919,chambre-des-représentants
Liberal/Liberaal,3.0,20832,Flandre occidentale,1919,chambre-des-représentants
christ democr,,4134,Flandre occidentale,1919,chambre-des-représentants
Frontpartij,,10633,Flandre occidentale,1919,chambre-des-représentants
Middenstand,,1672,Flandre occidentale,1919,chambre-des-représentants
rennaissance nationale,,3450,Flandre occidentale,1919,chambre-des-représentants
andere/autres,,2395,Flandre occidentale,1919,chambre-des-représentants
Cath/Kath,13.0,118018,Flandre orientale,1919,chambre-des-représentants
Social,8.0,72587,Flandre orientale,1919,chambre-des-représentants
Liberal/Liberaal,4.0,36839,Flandre orientale,1919,chambre-des-représentants
christ democr,,487,Flandre orientale,1919,chambre-des-représentants
Frontpartij,3.0,27660,Flandre orientale,1919,chambre-des-représentants
rennaissance nationale,,657,Flandre orientale,1919,chambre-des-représentants
andere/autres,,4164,Flandre orientale,1919,chambre-des-représentants
Cath/Kath,7.0,74195,Hainaut,1919,chambre-des-représentants
Social,19.0,186189,Hainaut,1919,chambre-des-représentants
Liberal/Liberaal,5.0,54225,Hainaut,1919,chambre-des-représentants
andere/autres,,5758,Hainaut,1919,chambre-des-représentants
Cath/Kath,6.0,55065,Liège,1919,chambre-des-représentants
Social,12.0,116558,Liège,1919,chambre-des-représentants
Liberal/Liberaal,4.0,41684,Liège,1919,chambre-des-représentants
andere/autres,,9183,Liège,1919,chambre-des-représentants
Cath/Kath,5.0,39755,Limbourg,1919,chambre-des-représentants
Cath 2,,7766,Limbourg,1919,chambre-des-représentants
Social,,4030,Limbourg,1919,chambre-des-représentants
Liberal/Liberaal,2.0,13388,Limbourg,1919,chambre-des-représentants
christ democr,,628,Limbourg,1919,chambre-des-représentants
Cath/Kath,3.0,26794,Luxembourg,1919,chambre-des-représentants
Social,1.0,12767,Luxembourg,1919,chambre-des-représentants
Liberal/Liberaal,2.0,15927,Luxembourg,1919,chambre-des-représentants
Cath/Kath,4.0,36201,Namur,1919,chambre-des-représentants
Social,4.0,37341,Namur,1919,chambre-des-représentants
Liberal/Liberaal,1.0,16366,Namur,1919,chambre-des-représentants
Middenstand,,1423,Namur,1919,chambre-des-représentants
andere/autres,,332,Namur,1919,chambre-des-représentants
