Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Cath/Kath,2.0,17577,Alost,1919,chambre-des-représentants
Social,1.0,12759,Alost,1919,chambre-des-représentants
Liberal/Liberaal,,5481,Alost,1919,chambre-des-représentants
Frontpartij,2.0,11559,Alost,1919,chambre-des-représentants
andere/autres,,314,Alost,1919,chambre-des-représentants
Cath/Kath,5.0,46798,Anvers,1919,chambre-des-représentants
Social,6.0,46077,Anvers,1919,chambre-des-représentants
SOC 2,,1181,Anvers,1919,chambre-des-représentants
Liberal/Liberaal,3.0,22747,Anvers,1919,chambre-des-représentants
Frontpartij,1.0,7836,Anvers,1919,chambre-des-représentants
Middenstand,,5831,Anvers,1919,chambre-des-représentants
rennaissance nationale,,2921,Anvers,1919,chambre-des-représentants
andere/autres,,795,Anvers,1919,chambre-des-représentants
Cath/Kath,2.0,15249,Arlon-Marche-Bastogne,1919,chambre-des-représentants
Social,,6603,Arlon-Marche-Bastogne,1919,chambre-des-représentants
Liberal/Liberaal,1.0,9072,Arlon-Marche-Bastogne,1919,chambre-des-représentants
Cath/Kath,1.0,12260,Audenarde,1919,chambre-des-représentants
Social,1.0,7803,Audenarde,1919,chambre-des-représentants
Liberal/Liberaal,1.0,5147,Audenarde,1919,chambre-des-représentants
Frontpartij,,1437,Audenarde,1919,chambre-des-représentants
Cath/Kath,2.0,14280,Bruges,1919,chambre-des-représentants
Social,2.0,8502,Bruges,1919,chambre-des-représentants
Liberal/Liberaal,,2402,Bruges,1919,chambre-des-représentants
christ democr,,4134,Bruges,1919,chambre-des-représentants
Frontpartij,,3968,Bruges,1919,chambre-des-représentants
rennaissance nationale,,3450,Bruges,1919,chambre-des-représentants
Cath/Kath,4.0,45401,Bruxelles,1919,chambre-des-représentants
Cath 2,3.0,25573,Bruxelles,1919,chambre-des-représentants
Social,8.0,69499,Bruxelles,1919,chambre-des-représentants
Liberal/Liberaal,6.0,58393,Bruxelles,1919,chambre-des-représentants
christ democr,,576,Bruxelles,1919,chambre-des-représentants
Frontpartij,1.0,6390,Bruxelles,1919,chambre-des-représentants
Middenstand,1.0,8092,Bruxelles,1919,chambre-des-représentants
strijders/combattant,2.0,19075,Bruxelles,1919,chambre-des-représentants
rennaissance nationale,1.0,6601,Bruxelles,1919,chambre-des-représentants
Cath/Kath,2.0,19288,Charleroi,1919,chambre-des-représentants
Social,8.0,72590,Charleroi,1919,chambre-des-représentants
Liberal/Liberaal,1.0,12415,Charleroi,1919,chambre-des-représentants
andere/autres,,3341,Charleroi,1919,chambre-des-représentants
Cath/Kath,3.0,26729,Courtrai,1919,chambre-des-représentants
Social,2.0,18029,Courtrai,1919,chambre-des-représentants
Liberal/Liberaal,,4701,Courtrai,1919,chambre-des-représentants
andere/autres,,818,Courtrai,1919,chambre-des-représentants
Cath/Kath,2.0,17213,Dinant-Philippeville,1919,chambre-des-représentants
Social,1.0,11878,Dinant-Philippeville,1919,chambre-des-représentants
