Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
ECOLO,2,485655,Collège électoral français,2019,parlement-européen
CDH,1,218078,Collège électoral français,2019,parlement-européen
MR,2,470654,Collège électoral français,2019,parlement-européen
Parti Populaire,0,113793,Collège électoral français,2019,parlement-européen
DéFI,0,144555,Collège électoral français,2019,parlement-européen
PTB,1,355883,Collège électoral français,2019,parlement-européen
PS,2,651157,Collège électoral français,2019,parlement-européen
VIVANT,0,4550,Collège électoral germanophone,2019,parlement-européen
ECOLO,0,6675,Collège électoral germanophone,2019,parlement-européen
ProDG,0,5360,Collège électoral germanophone,2019,parlement-européen
CSP,1,14247,Collège électoral germanophone,2019,parlement-européen
PFF-MR,0,4684,Collège électoral germanophone,2019,parlement-européen
SP,0,4655,Collège électoral germanophone,2019,parlement-européen
DierAnimal,0,606,Collège électoral germanophone,2019,parlement-européen
open vld,2,678051,Collège électoral néerlandais,2019,parlement-européen
N-VA,3,954048,Collège électoral néerlandais,2019,parlement-européen
VLAAMS BELANG,3,811169,Collège électoral néerlandais,2019,parlement-européen
CD&V,2,617651,Collège électoral néerlandais,2019,parlement-européen
PVDA,0,210391,Collège électoral néerlandais,2019,parlement-européen
GROEN,1,525908,Collège électoral néerlandais,2019,parlement-européen
SP.A,1,434002,Collège électoral néerlandais,2019,parlement-européen
Volt,0,20385,Collège électoral néerlandais,2019,parlement-européen
