Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
open vld,,23597,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
N-VA,,13369,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
VLAAMS BELANG,,7301,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
CD&V,,5322,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
PVDA,,2909,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
GROEN,,15872,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
SP.A,,5825,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
Volt,,1110,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
ECOLO,,112108,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
CDH,,24225,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
MR,,64966,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
Parti Populaire,,10128,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
DéFI,,38535,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
PTB,,58994,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
PS,,92861,Circonscription électorale de Bruxelles-Capitale,2019,parlement-européen
open vld,,648611,Circonscription électorale flamande,2019,parlement-européen
N-VA,,936115,Circonscription électorale flamande,2019,parlement-européen
VLAAMS BELANG,,802285,Circonscription électorale flamande,2019,parlement-européen
CD&V,,610524,Circonscription électorale flamande,2019,parlement-européen
PVDA,,207008,Circonscription électorale flamande,2019,parlement-européen
GROEN,,507063,Circonscription électorale flamande,2019,parlement-européen
SP.A,,427162,Circonscription électorale flamande,2019,parlement-européen
Volt,,19098,Circonscription électorale flamande,2019,parlement-européen
VIVANT,,4549,Circonscription électorale germanophone,2019,parlement-européen
ECOLO,,6659,Circonscription électorale germanophone,2019,parlement-européen
ProDG,,5355,Circonscription électorale germanophone,2019,parlement-européen
CSP,,14244,Circonscription électorale germanophone,2019,parlement-européen
PFF-MR,,4673,Circonscription électorale germanophone,2019,parlement-européen
SP,,4651,Circonscription électorale germanophone,2019,parlement-européen
DierAnimal,,606,Circonscription électorale germanophone,2019,parlement-européen
ECOLO,,364748,Circonscription électorale wallonne,2019,parlement-européen
CDH,,192153,Circonscription électorale wallonne,2019,parlement-européen
MR,,396316,Circonscription électorale wallonne,2019,parlement-européen
Parti Populaire,,102927,Circonscription électorale wallonne,2019,parlement-européen
DéFI,,102061,Circonscription électorale wallonne,2019,parlement-européen
PTB,,295186,Circonscription électorale wallonne,2019,parlement-européen
PS,,554864,Circonscription électorale wallonne,2019,parlement-européen
