Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Socialistische Partij/ P,4.0,163921,Anvers,1950,sénat
KPB/PCB,,15407,Anvers,1950,sénat
PSC/CVP,5.0,240873,Anvers,1950,sénat
Parti Liberale/Liberale,1.0,39633,Anvers,1950,sénat
KPB/PCB,,3992,Arlon,1950,sénat
PSC/CVP,2.0,74580,Arlon,1950,sénat
KARTEL,1.0,42125,Arlon,1950,sénat
Socialistische Partij/ P,1.0,50967,Audenarde - Alost,1950,sénat
KPB/PCB,,11449,Audenarde - Alost,1950,sénat
PSC/CVP,3.0,110173,Audenarde - Alost,1950,sénat
Parti Liberale/Liberale,,35828,Audenarde - Alost,1950,sénat
Socialistische Partij/ P,,32982,Bruges,1950,sénat
KPB/PCB,,1167,Bruges,1950,sénat
PSC/CVP,2.0,66148,Bruges,1950,sénat
Parti Liberale/Liberale,,10838,Bruges,1950,sénat
onafh/isolés,,262,Bruges,1950,sénat
Socialistische Partij/ P,6.0,290552,Bruxelles-Hal-Vilvorde,1950,sénat
KPB/PCB,1.0,39360,Bruxelles-Hal-Vilvorde,1950,sénat
PSC/CVP,6.0,305417,Bruxelles-Hal-Vilvorde,1950,sénat
Parti Liberale/Liberale,3.0,134360,Bruxelles-Hal-Vilvorde,1950,sénat
Socialistische Partij/ P,3.0,180412,Charleroi-Thuin,1950,sénat
KPB/PCB,1.0,31304,Charleroi-Thuin,1950,sénat
PSC/CVP,2.0,88135,Charleroi-Thuin,1950,sénat
Parti Liberale/Liberale,1.0,34168,Charleroi-Thuin,1950,sénat
Socialistische Partij/ P,2.0,60429,Courtrai-Ypres,1950,sénat
KPB/PCB,,7399,Courtrai-Ypres,1950,sénat
PSC/CVP,3.0,136530,Courtrai-Ypres,1950,sénat
Parti Liberale/Liberale,,22769,Courtrai-Ypres,1950,sénat
Socialistische Partij/ P,,27508,Furnes-Dixmude-Ostende,1950,sénat
KPB/PCB,,1931,Furnes-Dixmude-Ostende,1950,sénat
PSC/CVP,1.0,60630,Furnes-Dixmude-Ostende,1950,sénat
Parti Liberale/Liberale,1.0,17185,Furnes-Dixmude-Ostende,1950,sénat
Socialistische Partij/ P,2.0,88419,Gand-Eeklo,1950,sénat
KPB/PCB,,6133,Gand-Eeklo,1950,sénat
PSC/CVP,4.0,181371,Gand-Eeklo,1950,sénat
Parti Liberale/Liberale,1.0,32664,Gand-Eeklo,1950,sénat
KPB/PCB,,3443,Hasselt,1950,sénat
PSC/CVP,4.0,166867,Hasselt,1950,sénat
KARTEL,1.0,44676,Hasselt,1950,sénat
Socialistische Partij/ P,2.0,49762,Huy-Waremme,1950,sénat
KPB/PCB,,7319,Huy-Waremme,1950,sénat
PSC/CVP,,32304,Huy-Waremme,1950,sénat
Parti Liberale/Liberale,,13777,Huy-Waremme,1950,sénat
Socialistische Partij/ P,3.0,170433,Liège,1950,sénat
KPB/PCB,1.0,33814,Liège,1950,sénat
PSC/CVP,2.0,88478,Liège,1950,sénat
Parti Liberale/Liberale,1.0,45060,Liège,1950,sénat
Socialistische Partij/ P,1.0,56610,Louvain,1950,sénat
KPB/PCB,,2983,Louvain,1950,sénat
PSC/CVP,3.0,97195,Louvain,1950,sénat
Parti Liberale/Liberale,,25177,Louvain,1950,sénat
Socialistische Partij/ P,1.0,70171,Malines-Turnhout,1950,sénat
KPB/PCB,,3125,Malines-Turnhout,1950,sénat
PSC/CVP,5.0,184650,Malines-Turnhout,1950,sénat
Parti Liberale/Liberale,,14654,Malines-Turnhout,1950,sénat
Socialistische Partij/ P,4.0,139556,Mons-Soignies,1950,sénat
KPB/PCB,,27309,Mons-Soignies,1950,sénat
PSC/CVP,1.0,60716,Mons-Soignies,1950,sénat
Parti Liberale/Liberale,1.0,26070,Mons-Soignies,1950,sénat
Socialistische Partij/ P,2.0,87088,Namur,1950,sénat
KPB/PCB,,8445,Namur,1950,sénat
PSC/CVP,3.0,93779,Namur,1950,sénat
Parti Liberale/Liberale,,21628,Namur,1950,sénat
Socialistische Partij/ P,1.0,52643,Nivelles,1950,sénat
KPB/PCB,,7098,Nivelles,1950,sénat
PSC/CVP,,33792,Nivelles,1950,sénat
Parti Liberale/Liberale,1.0,19802,Nivelles,1950,sénat
Socialistische Partij/ P,1.0,22896,Roulers-Tielt,1950,sénat
KPB/PCB,,956,Roulers-Tielt,1950,sénat
PSC/CVP,2.0,82799,Roulers-Tielt,1950,sénat
Parti Liberale/Liberale,,2925,Roulers-Tielt,1950,sénat
Socialistische Partij/ P,1.0,50963,Termonde-Saint-Nicolas,1950,sénat
KPB/PCB,,5001,Termonde-Saint-Nicolas,1950,sénat
PSC/CVP,3.0,126772,Termonde-Saint-Nicolas,1950,sénat
Parti Liberale/Liberale,,14993,Termonde-Saint-Nicolas,1950,sénat
Socialistische Partij/ P,2.0,54603,Tournai-Ath-Mouscron,1950,sénat
KPB/PCB,,11859,Tournai-Ath-Mouscron,1950,sénat
PSC/CVP,1.0,49524,Tournai-Ath-Mouscron,1950,sénat
Parti Liberale/Liberale,,23363,Tournai-Ath-Mouscron,1950,sénat
Socialistische Partij/ P,1.0,41882,Verviers,1950,sénat
KPB/PCB,,6998,Verviers,1950,sénat
PSC/CVP,2.0,66509,Verviers,1950,sénat
Parti Liberale/Liberale,,14450,Verviers,1950,sénat
