Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
N-VA,,10975,Alost-Audenarde,2003,chambre-des-représentants
sp.a-spirit,,59973,Alost-Audenarde,2003,chambre-des-représentants
VLAAMS BLOK,,44694,Alost-Audenarde,2003,chambre-des-représentants
CD&V,,50329,Alost-Audenarde,2003,chambre-des-représentants
VLD,,89257,Alost-Audenarde,2003,chambre-des-représentants
AGALEV,,8104,Alost-Audenarde,2003,chambre-des-représentants
LIB. APPEL,,1045,Alost-Audenarde,2003,chambre-des-représentants
VIVANT,,2520,Alost-Audenarde,2003,chambre-des-représentants
BUB-BEB,,484,Alost-Audenarde,2003,chambre-des-représentants
PVDA,,600,Alost-Audenarde,2003,chambre-des-représentants
LSP,,998,Alost-Audenarde,2003,chambre-des-représentants
N-VA,,25893,Anvers,2003,chambre-des-représentants
sp.a-spirit,,134999,Anvers,2003,chambre-des-représentants
VLAAMS BLOK,,167518,Anvers,2003,chambre-des-représentants
CD&V,,92696,Anvers,2003,chambre-des-représentants
VLD,,132617,Anvers,2003,chambre-des-représentants
AGALEV,,29717,Anvers,2003,chambre-des-représentants
LIB. APPEL,,9541,Anvers,2003,chambre-des-représentants
RESIST,,8010,Anvers,2003,chambre-des-représentants
VIVANT,,9999,Anvers,2003,chambre-des-représentants
BELG.UNIE-BUB,,1504,Anvers,2003,chambre-des-représentants
MR,,47988,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
ECOLO,,11184,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
CDH,,43794,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
PS,,41513,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
FN,,5683,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
VIVANT.,,1518,Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2003,chambre-des-représentants
