Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
ECOLO,3.0,458658,College électoral français,1999,sénat
PRL-FDF,5.0,654961,College électoral français,1999,sénat
PS,4.0,597890,College électoral français,1999,sénat
PSC,3.0,374002,College électoral français,1999,sénat
VIVANT.,,57101,College électoral français,1999,sénat
FN,,92924,College électoral français,1999,sénat
FNB,,23382,College électoral français,1999,sénat
PNPb.,,10525,College électoral français,1999,sénat
PC,,21991,College électoral français,1999,sénat
PCN,,3110,College électoral français,1999,sénat
PTB-UA,,11343,College électoral français,1999,sénat
V.L.A.A.M.S.,,4902,College électoral français,1999,sénat
PJU-PDB,,6372,College électoral français,1999,sénat
AGALEV,3.0,438931,College électoral néerlandais,1999,sénat
SP,4.0,550657,College électoral néerlandais,1999,sénat
VLD,6.0,952116,College électoral néerlandais,1999,sénat
VLAAMS BLOK,4.0,583208,College électoral néerlandais,1999,sénat
VU-ID,2.0,317830,College électoral néerlandais,1999,sénat
CVP,6.0,913508,College électoral néerlandais,1999,sénat
PVDA-AE,,24150,College électoral néerlandais,1999,sénat
PNPB,,15599,College électoral néerlandais,1999,sénat
VIVANT,,66397,College électoral néerlandais,1999,sénat
SOLIDE,,7446,College électoral néerlandais,1999,sénat
UDDU,,7368,College électoral néerlandais,1999,sénat
