Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
AGALEV,,36802,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
SP,,33280,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
VLD,,97935,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
VLAAMS BLOK,,61204,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
VU-ID,,29540,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
CVP,,77043,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PVDA-AE,,1235,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PNPB,,1254,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
VIVANT,,5234,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
SOLIDE,,492,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
UDDU,,508,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
ECOLO,,101746,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PRL-FDF,,169267,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PS,,75023,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PSC,,45881,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
VIVANT.,,9666,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
FN,,13413,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
FNB,,6703,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PNPb.,,1366,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PC,,3778,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PCN,,670,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PTB-UA,,2212,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
V.L.A.A.M.S.,,1458,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
PJU-PDB,,507,Circonscription Bruxelles-Hal-Vilvorde,1999,sénat
AGALEV,,402129,Circonscription Flamande,1999,sénat
SP,,517377,Circonscription Flamande,1999,sénat
VLD,,854181,Circonscription Flamande,1999,sénat
VLAAMS BLOK,,522004,Circonscription Flamande,1999,sénat
VU-ID,,288290,Circonscription Flamande,1999,sénat
CVP,,836465,Circonscription Flamande,1999,sénat
PVDA-AE,,22915,Circonscription Flamande,1999,sénat
PNPB,,14345,Circonscription Flamande,1999,sénat
VIVANT,,61163,Circonscription Flamande,1999,sénat
SOLIDE,,6954,Circonscription Flamande,1999,sénat
UDDU,,6860,Circonscription Flamande,1999,sénat
ECOLO,,356912,Circonscription Wallonne,1999,sénat
PRL-FDF,,485694,Circonscription Wallonne,1999,sénat
PS,,522867,Circonscription Wallonne,1999,sénat
PSC,,328121,Circonscription Wallonne,1999,sénat
VIVANT.,,47435,Circonscription Wallonne,1999,sénat
FN,,79511,Circonscription Wallonne,1999,sénat
FNB,,16679,Circonscription Wallonne,1999,sénat
PNPb.,,9159,Circonscription Wallonne,1999,sénat
PC,,18213,Circonscription Wallonne,1999,sénat
PCN,,2440,Circonscription Wallonne,1999,sénat
PTB-UA,,9131,Circonscription Wallonne,1999,sénat
V.L.A.A.M.S.,,3444,Circonscription Wallonne,1999,sénat
PJU-PDB,,5865,Circonscription Wallonne,1999,sénat
