Parti,Nombre de sièges,Nombre de voix,canton,date,election
A,,107,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,53,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,22,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,93,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,22,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,128,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,23,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,289,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,99,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,36,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,50,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,40,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,19,Ixelles,1999,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,10292,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,18589,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,4753,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,2683,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,12668,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,5532,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,1320,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,2656,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,1228,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,143,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,523,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,261,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
VLD-VU-O,,3200,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,2439,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
A,,90,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,139,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,36,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,171,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,26,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,499,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,99,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,213,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,44,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,56,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,141,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,98,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
UDDU,,41,Molenbeek-Saint-Jean,1999,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3410,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,2938,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,351,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,277,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,4184,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,794,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,209,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,357,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,119,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,18,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,209,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,146,Saint-Gilles,1999,parlement-de-la-région-de-bruxelles-capitale
