Parti,Nombre de sièges,Nombre de voix,commune,date,election
AGALEV,4.0,2348,Aalter,2000,conseils-communaux
CVP,15.0,6749,Aalter,2000,conseils-communaux
VLD,3.0,1998,Aalter,2000,conseils-communaux
GROEP,3.0,1848,Aalter,2000,conseils-communaux
AGALEV,1.0,1210,Aarschot,2000,conseils-communaux
SP,7.0,4153,Aarschot,2000,conseils-communaux
CVP,10.0,5931,Aarschot,2000,conseils-communaux
VLD,9.0,5337,Aarschot,2000,conseils-communaux
VLAAMS BLOK,2.0,1855,Aarschot,2000,conseils-communaux
OSKAAR,,628,Aarschot,2000,conseils-communaux
AREND,,992,Aarschot,2000,conseils-communaux
AGALEV,1.0,838,Aartselaar,2000,conseils-communaux
SP,,544,Aartselaar,2000,conseils-communaux
CVP,4.0,1569,Aartselaar,2000,conseils-communaux
VLD,13.0,4401,Aartselaar,2000,conseils-communaux
VLAAMS BLOK,2.0,1085,Aartselaar,2000,conseils-communaux
N.A.P.,2.0,1143,Aartselaar,2000,conseils-communaux
D.L.A.,1.0,602,Aartselaar,2000,conseils-communaux
SP,,505,Affligem Hekelgem,2000,conseils-communaux
CVP,5.0,2019,Affligem Hekelgem,2000,conseils-communaux
VU-ID,5.0,1778,Affligem Hekelgem,2000,conseils-communaux
VLD,11.0,3742,Affligem Hekelgem,2000,conseils-communaux
cTroch,,457,Affligem Hekelgem,2000,conseils-communaux
ECOLO,1.0,672,Aiseau-Presles,2000,conseils-communaux
P.S.,13.0,3297,Aiseau-Presles,2000,conseils-communaux
PSC,4.0,1200,Aiseau-Presles,2000,conseils-communaux
P.R.L.,3.0,1035,Aiseau-Presles,2000,conseils-communaux
AGALEV,4.0,1446,Alken,2000,conseils-communaux
SP,4.0,1439,Alken,2000,conseils-communaux
CVP,7.0,2429,Alken,2000,conseils-communaux
VLD,6.0,2077,Alken,2000,conseils-communaux
R.V.,,375,Alken,2000,conseils-communaux
AGALEV,2.0,3648,Alost,2000,conseils-communaux
SP,9.0,11433,Alost,2000,conseils-communaux
CVP,9.0,11470,Alost,2000,conseils-communaux
VU-ID,2.0,3761,Alost,2000,conseils-communaux
VLD,14.0,16769,Alost,2000,conseils-communaux
VLAAMS BLOK,5.0,7581,Alost,2000,conseils-communaux
P.R.O.,2.0,617,Alveringem,2000,conseils-communaux
GEM.BEL,7.0,1408,Alveringem,2000,conseils-communaux
NIEUWB.,6.0,1247,Alveringem,2000,conseils-communaux
ECOLO,4.0,1451,Amay,2000,conseils-communaux
P.S.,15.0,4782,Amay,2000,conseils-communaux
P.R.L.,2.0,960,Amay,2000,conseils-communaux
I.C.,2.0,979,Amay,2000,conseils-communaux
H.V.AMEL,5.0,1147,Amblève,2000,conseils-communaux
AMEL-AB,1.0,347,Amblève,2000,conseils-communaux
G.I.,9.0,1858,Amblève,2000,conseils-communaux
ECOLO,2.0,1699,Andenne,2000,conseils-communaux
P.S.,20.0,9309,Andenne,2000,conseils-communaux
PSC,2.0,1745,Andenne,2000,conseils-communaux
P.R.L.M.C.C.,3.0,1793,Andenne,2000,conseils-communaux
ECOLO,7.0,6694,Anderlecht,2000,conseils-communaux
PS-SP,14.0,11466,Anderlecht,2000,conseils-communaux
P.R.L.F.D.F.,15.0,12439,Anderlecht,2000,conseils-communaux
PSC,1.0,1779,Anderlecht,2000,conseils-communaux
VLAAMS BLOK,3.0,3262,Anderlecht,2000,conseils-communaux
FN,,1371,Anderlecht,2000,conseils-communaux
FNB,,380,Anderlecht,2000,conseils-communaux
P.T.B.-P.V.D.A.,,204,Anderlecht,2000,conseils-communaux
COLOR,,256,Anderlecht,2000,conseils-communaux
EUR,,506,Anderlecht,2000,conseils-communaux
ANDERL,3.0,3076,Anderlecht,2000,conseils-communaux
P.S.,18.0,5034,Anderlues,2000,conseils-communaux
P.R.L.M.C.C.,2.0,942,Anderlues,2000,conseils-communaux
A.D.P.,1.0,659,Anderlues,2000,conseils-communaux
P.R.L.,2.0,837,Anhee,2000,conseils-communaux
I.C.,13.0,3026,Anhee,2000,conseils-communaux
A.D.,2.0,681,Anhee,2000,conseils-communaux
ECOLO,3.0,1868,Ans,2000,conseils-communaux
P.S.,17.0,8088,Ans,2000,conseils-communaux
P.R.L.M.C.C.,5.0,2949,Ans,2000,conseils-communaux
PSC,1.0,1312,Ans,2000,conseils-communaux
A.D.,,200,Ans,2000,conseils-communaux
R.C.A.,3.0,2047,Ans,2000,conseils-communaux
ECOLO,,245,Anthisnes,2000,conseils-communaux
PS-IC,10.0,1704,Anthisnes,2000,conseils-communaux
CARTEL,3.0,699,Anthisnes,2000,conseils-communaux
ECOLO,,366,Antoing,2000,conseils-communaux
