Parti,Nombre de sièges,Nombre de voix,province,date,election
R,0,789,Province de Hainaut,2014,parlement-wallon
Atomique,0,892,Province de Hainaut,2014,parlement-wallon
MG,0,2419,Province de Hainaut,2014,parlement-wallon
FW,0,1466,Province de Hainaut,2014,parlement-wallon
NWA,0,1804,Province de Hainaut,2014,parlement-wallon
P+,0,2280,Province de Hainaut,2014,parlement-wallon
R.W.F.,0,2759,Province de Hainaut,2014,parlement-wallon
WALLONIE D'ABORD,0,2789,Province de Hainaut,2014,parlement-wallon
RassemblementWalon,0,3298,Province de Hainaut,2014,parlement-wallon
NATION,0,6923,Province de Hainaut,2014,parlement-wallon
LA DROITE,0,11076,Province de Hainaut,2014,parlement-wallon
DEBOUT LES BELGES,0,16618,Province de Hainaut,2014,parlement-wallon
FDF,0,16843,Province de Hainaut,2014,parlement-wallon
Parti Populaire,0,35228,Province de Hainaut,2014,parlement-wallon
ECOLO,0,48789,Province de Hainaut,2014,parlement-wallon
PTB-GO !,0,42629,Province de Hainaut,2014,parlement-wallon
CDH,5,93321,Province de Hainaut,2014,parlement-wallon
MR,8,162607,Province de Hainaut,2014,parlement-wallon
PS,15,279646,Province de Hainaut,2014,parlement-wallon
NWA,0,420,Province de Liège,2014,parlement-wallon
FW,0,596,Province de Liège,2014,parlement-wallon
R,0,390,Province de Liège,2014,parlement-wallon
ISLAM,0,3169,Province de Liège,2014,parlement-wallon
MG,0,1050,Province de Liège,2014,parlement-wallon
NATION,0,1234,Province de Liège,2014,parlement-wallon
VLC,0,1927,Province de Liège,2014,parlement-wallon
R.W.F.,0,2426,Province de Liège,2014,parlement-wallon
VEGA,0,3501,Province de Liège,2014,parlement-wallon
WALLONIE D'ABORD,0,6293,Province de Liège,2014,parlement-wallon
PP PARTIPENSIONNES,0,4811,Province de Liège,2014,parlement-wallon
LA DROITE,0,9764,Province de Liège,2014,parlement-wallon
F.D.F,0,13383,Province de Liège,2014,parlement-wallon
Parti Populaire,1,33993,Province de Liège,2014,parlement-wallon
CDH,3,81364,Province de Liège,2014,parlement-wallon
PTB-GO !,2,51064,Province de Liège,2014,parlement-wallon
ECOLO,2,57654,Province de Liège,2014,parlement-wallon
MR,7,158527,Province de Liège,2014,parlement-wallon
PS,8,185907,Province de Liège,2014,parlement-wallon
Union des Liberaux,0,483,Province de Luxembourg,2014,parlement-wallon
RASSEMBLEMENT R,0,487,Province de Luxembourg,2014,parlement-wallon
R.W.F.,0,721,Province de Luxembourg,2014,parlement-wallon
MG,0,960,Province de Luxembourg,2014,parlement-wallon
FDF,0,3270,Province de Luxembourg,2014,parlement-wallon
PTB-GO!,0,2848,Province de Luxembourg,2014,parlement-wallon
Parti Populaire,0,7771,Province de Luxembourg,2014,parlement-wallon
ECOLO,0,14034,Province de Luxembourg,2014,parlement-wallon
CDH,2,49460,Province de Luxembourg,2014,parlement-wallon
PS,1,38295,Province de Luxembourg,2014,parlement-wallon
MR,2,46546,Province de Luxembourg,2014,parlement-wallon
UdL,0,192,Province de Namur,2014,parlement-wallon
RASSEMBLEMENT R,0,595,Province de Namur,2014,parlement-wallon
MG,0,529,Province de Namur,2014,parlement-wallon
R,0,710,Province de Namur,2014,parlement-wallon
FW,0,557,Province de Namur,2014,parlement-wallon
NATION,0,1815,Province de Namur,2014,parlement-wallon
R.W.F.,0,2548,Province de Namur,2014,parlement-wallon
LA DROITE,0,5059,Province de Namur,2014,parlement-wallon
FDF,0,7389,Province de Namur,2014,parlement-wallon
Parti Populaire,0,13025,Province de Namur,2014,parlement-wallon
PTB-GO!,0,14749,Province de Namur,2014,parlement-wallon
ECOLO,1,28454,Province de Namur,2014,parlement-wallon
CDH,2,58036,Province de Namur,2014,parlement-wallon
MR,4,81334,Province de Namur,2014,parlement-wallon
PS,4,83082,Province de Namur,2014,parlement-wallon
N W A,0,453,Province du Brabant Wallon,2014,parlement-wallon
NATION,0,867,Province du Brabant Wallon,2014,parlement-wallon
R.W.F.,0,1277,Province du Brabant Wallon,2014,parlement-wallon
LA DROITE,0,2539,Province du Brabant Wallon,2014,parlement-wallon
PIRATE,0,3612,Province du Brabant Wallon,2014,parlement-wallon
PTB-GO !,0,6592,Province du Brabant Wallon,2014,parlement-wallon
Parti Populaire,0,9563,Province du Brabant Wallon,2014,parlement-wallon
FDF,0,10945,Province du Brabant Wallon,2014,parlement-wallon
CDH,1,28314,Province du Brabant Wallon,2014,parlement-wallon
ECOLO,1,27555,Province du Brabant Wallon,2014,parlement-wallon
PS,2,45723,Province du Brabant Wallon,2014,parlement-wallon
MR,4,97349,Province du Brabant Wallon,2014,parlement-wallon
