Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
MR,1,25511,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
FDF,0,1850,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
ECOLO,0,8069,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
PS,1,21619,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
CDH,1,29759,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
Parti Populaire,0,4382,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
PTB-GO!,0,2848,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
MG,0,486,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
R.W.F.,0,721,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2014,parlement-wallon
MR,3,40890,Circonscription de Charleroi,2014,parlement-wallon
FDF,0,5587,Circonscription de Charleroi,2014,parlement-wallon
ECOLO,0,12027,Circonscription de Charleroi,2014,parlement-wallon
PS,5,90524,Circonscription de Charleroi,2014,parlement-wallon
CDH,1,21619,Circonscription de Charleroi,2014,parlement-wallon
Parti Populaire,0,14384,Circonscription de Charleroi,2014,parlement-wallon
PTB-GO !,0,16554,Circonscription de Charleroi,2014,parlement-wallon
MG,0,747,Circonscription de Charleroi,2014,parlement-wallon
LA DROITE,0,2939,Circonscription de Charleroi,2014,parlement-wallon
DEBOUT LES BELGES,0,10236,Circonscription de Charleroi,2014,parlement-wallon
P+,0,1238,Circonscription de Charleroi,2014,parlement-wallon
R.W.F.,0,839,Circonscription de Charleroi,2014,parlement-wallon
NWA,0,1263,Circonscription de Charleroi,2014,parlement-wallon
WALLONIE D'ABORD,0,2789,Circonscription de Charleroi,2014,parlement-wallon
NATION,0,1884,Circonscription de Charleroi,2014,parlement-wallon
RassemblementWalon,0,939,Circonscription de Charleroi,2014,parlement-wallon
FW,0,1466,Circonscription de Charleroi,2014,parlement-wallon
MR,2,37011,Circonscription de Dinant-Philippeville,2014,parlement-wallon
FDF,0,2317,Circonscription de Dinant-Philippeville,2014,parlement-wallon
ECOLO,0,9118,Circonscription de Dinant-Philippeville,2014,parlement-wallon
PS,2,28570,Circonscription de Dinant-Philippeville,2014,parlement-wallon
CDH,0,18150,Circonscription de Dinant-Philippeville,2014,parlement-wallon
PP,0,4676,Circonscription de Dinant-Philippeville,2014,parlement-wallon
PTB-GO!,0,5251,Circonscription de Dinant-Philippeville,2014,parlement-wallon
MG,0,220,Circonscription de Dinant-Philippeville,2014,parlement-wallon
LA DROITE,0,2222,Circonscription de Dinant-Philippeville,2014,parlement-wallon
RASSEMBLEMENT R,0,595,Circonscription de Dinant-Philippeville,2014,parlement-wallon
R.W.F.,0,1235,Circonscription de Dinant-Philippeville,2014,parlement-wallon
MR,2,33752,Circonscription de Huy-Waremme,2014,parlement-wallon
FDF,0,3064,Circonscription de Huy-Waremme,2014,parlement-wallon
ECOLO,0,13653,Circonscription de Huy-Waremme,2014,parlement-wallon
PS,1,37798,Circonscription de Huy-Waremme,2014,parlement-wallon
CDH,0,13206,Circonscription de Huy-Waremme,2014,parlement-wallon
Parti Populaire,0,5559,Circonscription de Huy-Waremme,2014,parlement-wallon
PTB-GO!,1,7701,Circonscription de Huy-Waremme,2014,parlement-wallon
MG,0,166,Circonscription de Huy-Waremme,2014,parlement-wallon
LA DROITE,0,2008,Circonscription de Huy-Waremme,2014,parlement-wallon
R.W.F.,0,722,Circonscription de Huy-Waremme,2014,parlement-wallon
VLC,0,606,Circonscription de Huy-Waremme,2014,parlement-wallon
PP PARTIPENSIONNES,0,1170,Circonscription de Huy-Waremme,2014,parlement-wallon
MR,3,77409,Circonscription de Liège,2014,parlement-wallon
F.D.F,0,7728,Circonscription de Liège,2014,parlement-wallon
ECOLO,1,27446,Circonscription de Liège,2014,parlement-wallon
PS,5,110536,Circonscription de Liège,2014,parlement-wallon
CDH,2,39114,Circonscription de Liège,2014,parlement-wallon
Parti Populaire,1,18044,Circonscription de Liège,2014,parlement-wallon
PTB-GO !,1,37515,Circonscription de Liège,2014,parlement-wallon
MG,0,595,Circonscription de Liège,2014,parlement-wallon
VEGA,0,3501,Circonscription de Liège,2014,parlement-wallon
LA DROITE,0,4899,Circonscription de Liège,2014,parlement-wallon
VLC,0,738,Circonscription de Liège,2014,parlement-wallon
NATION,0,1234,Circonscription de Liège,2014,parlement-wallon
ISLAM,0,3169,Circonscription de Liège,2014,parlement-wallon
NWA,0,420,Circonscription de Liège,2014,parlement-wallon
WALLONIE D'ABORD,0,6293,Circonscription de Liège,2014,parlement-wallon
PP PARTIPENSIONNES,0,2265,Circonscription de Liège,2014,parlement-wallon
FW,0,596,Circonscription de Liège,2014,parlement-wallon
R.W.F.,0,1024,Circonscription de Liège,2014,parlement-wallon
