Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
PS,1,22815,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
CDH,2,30483,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
MR,0,19962,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
ECOLO,0,15633,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
R.W.F.,0,1035,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
PTB+,0,419,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
PC - GE,0,289,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
MS,0,121,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
FN PLUS,0,2445,Circonscription d'Arlon-Marche-en-Famenne-Bastogne,2009,parlement-wallon
PS,5,92759,Circonscription de Charleroi,2009,parlement-wallon
CDH,1,27968,Circonscription de Charleroi,2009,parlement-wallon
MR,1,37184,Circonscription de Charleroi,2009,parlement-wallon
ECOLO,2,35572,Circonscription de Charleroi,2009,parlement-wallon
R.W.F.,0,4058,Circonscription de Charleroi,2009,parlement-wallon
FN,0,14352,Circonscription de Charleroi,2009,parlement-wallon
PTB+,0,4028,Circonscription de Charleroi,2009,parlement-wallon
PC - GE,0,1019,Circonscription de Charleroi,2009,parlement-wallon
MS,0,333,Circonscription de Charleroi,2009,parlement-wallon
WALLONIE D'ABORD,0,2663,Circonscription de Charleroi,2009,parlement-wallon
FN PLUS,0,2395,Circonscription de Charleroi,2009,parlement-wallon
WALLONS,0,2719,Circonscription de Charleroi,2009,parlement-wallon
LiDé,0,1412,Circonscription de Charleroi,2009,parlement-wallon
PS,1,28779,Circonscription de Dinant-Philippeville,2009,parlement-wallon
CDH,1,18268,Circonscription de Dinant-Philippeville,2009,parlement-wallon
