Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
Socialistische Partij/ P,1.0,33245,Alost,1950,chambre-des-représentants
KPB/PCB,,10299,Alost,1950,chambre-des-représentants
PSC/CVP,4.0,73159,Alost,1950,chambre-des-représentants
Parti Liberale/Liberale,1.0,23202,Alost,1950,chambre-des-représentants
Socialistische Partij/ P,7.0,163240,Anvers,1950,chambre-des-représentants
KPB/PCB,,15514,Anvers,1950,chambre-des-représentants
PSC/CVP,11.0,241308,Anvers,1950,chambre-des-représentants
Parti Liberale/Liberale,2.0,38872,Anvers,1950,chambre-des-représentants
COSMOCRATEN,,1535,Anvers,1950,chambre-des-représentants
PARTI PATRIOTIQUE BELGE,,656,Anvers,1950,chambre-des-représentants
KPB/PCB,,2394,Arlon-Marche-Bastogne,1950,chambre-des-représentants
PSC/CVP,2.0,40383,Arlon-Marche-Bastogne,1950,chambre-des-représentants
Kartel Lib Soc,1.0,23345,Arlon-Marche-Bastogne,1950,chambre-des-représentants
Socialistische Partij/ P,1.0,17950,Audenarde,1950,chambre-des-représentants
KPB/PCB,,1917,Audenarde,1950,chambre-des-représentants
PSC/CVP,2.0,35829,Audenarde,1950,chambre-des-représentants
Parti Liberale/Liberale,,14413,Audenarde,1950,chambre-des-représentants
Socialistische Partij/ P,2.0,33731,Bruges,1950,chambre-des-représentants
KPB/PCB,,1050,Bruges,1950,chambre-des-représentants
PSC/CVP,3.0,65754,Bruges,1950,chambre-des-représentants
Parti Liberale/Liberale,,11877,Bruges,1950,chambre-des-représentants
onafh/isolés,,332,Bruges,1950,chambre-des-représentants
Socialistische Partij/ P,12.0,298784,Bruxelles,1950,chambre-des-représentants
KPB/PCB,1.0,39012,Bruxelles,1950,chambre-des-représentants
PSC/CVP,13.0,308906,Bruxelles,1950,chambre-des-représentants
Parti Liberale/Liberale,6.0,131836,Bruxelles,1950,chambre-des-représentants
Socialistische Partij/ P,6.0,145467,Charleroi,1950,chambre-des-représentants
KPB/PCB,1.0,24314,Charleroi,1950,chambre-des-représentants
PSC/CVP,3.0,61790,Charleroi,1950,chambre-des-représentants
Parti Liberale/Liberale,1.0,25378,Charleroi,1950,chambre-des-représentants
Socialistische Partij/ P,2.0,46808,Courtrai,1950,chambre-des-représentants
KPB/PCB,,5746,Courtrai,1950,chambre-des-représentants
PSC/CVP,4.0,96055,Courtrai,1950,chambre-des-représentants
Parti Liberale/Liberale,,10833,Courtrai,1950,chambre-des-représentants
Socialistische Partij/ P,1.0,27595,Dinant-Philippeville,1950,chambre-des-représentants
KPB/PCB,,2583,Dinant-Philippeville,1950,chambre-des-représentants
PSC/CVP,3.0,43686,Dinant-Philippeville,1950,chambre-des-représentants
Parti Liberale/Liberale,,8858,Dinant-Philippeville,1950,chambre-des-représentants
