Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
FN,1,150461,Collège électoral français,2007,sénat
CDH,2,390852,Collège électoral français,2007,sénat
MR,6,815755,Collège électoral français,2007,sénat
PS,4,678812,Collège électoral français,2007,sénat
ECOLO,2,385466,Collège électoral français,2007,sénat
PC,0,19632,Collège électoral français,2007,sénat
R.W.F.,0,32094,Collège électoral français,2007,sénat
PTB+,0,20039,Collège électoral français,2007,sénat
FORCE NATIONALE,0,14866,Collège électoral français,2007,sénat
CDF,0,13319,Collège électoral français,2007,sénat
CAP,0,8277,Collège électoral français,2007,sénat
CD&V NVA,9,1287389,Collège électoral néerlandais,2007,sénat
VLAAMS BELANG,5,787782,Collège électoral néerlandais,2007,sénat
open vld,5,821980,Collège électoral néerlandais,2007,sénat
GROEN!,1,241151,Collège électoral néerlandais,2007,sénat
sp.a-spirit,4,665342,Collège électoral néerlandais,2007,sénat
Lijst Dedecker,1,223992,Collège électoral néerlandais,2007,sénat
CAP,0,12938,Collège électoral néerlandais,2007,sénat
PVDA+,0,34768,Collège électoral néerlandais,2007,sénat
NEE,0,12115,Collège électoral néerlandais,2007,sénat
stijn,0,11097,Collège électoral néerlandais,2007,sénat
