Parti,Nombre de sièges,Nombre de voix,province,date,election
Cath/Kath,1.0,20606,Anvers,1921,sénat
Cath unis,5.0,86117,Anvers,1921,sénat
Socialist,4.0,75458,Anvers,1921,sénat
Liberal,2.0,40921,Anvers,1921,sénat
Frontpartij,,14555,Anvers,1921,sénat
Cath/Kath,5.0,80064,Brabant,1921,sénat
Socialist,6.0,107469,Brabant,1921,sénat
Liberal,5.0,88216,Brabant,1921,sénat
Frontpartij,,9259,Brabant,1921,sénat
Christene Volkspartij,2.0,51928,Brabant,1921,sénat
RADICAL,,1603,Brabant,1921,sénat
Classe moy/Middenklasse,,4401,Brabant,1921,sénat
Lib Volksbond,,3506,Brabant,1921,sénat
Cartel Nat,,5196,Brabant,1921,sénat
Combattants,,14246,Brabant,1921,sénat
Cath/Kath,6.0,102536,Flandre occidentale,1921,sénat
Socialist,2.0,37068,Flandre occidentale,1921,sénat
Liberal,2.0,32355,Flandre occidentale,1921,sénat
ALLIANCE OUVRIERE CATH,1.0,16588,Flandre occidentale,1921,sénat
Cath/Kath,8.0,134746,Flandre orientale,1921,sénat
Socialist,4.0,74787,Flandre orientale,1921,sénat
Liberal,2.0,44135,Flandre orientale,1921,sénat
Frontpartij,,5912,Flandre orientale,1921,sénat
DEMOCRAT,,6907,Flandre orientale,1921,sénat
Cath/Kath,3.0,85091,Hainaut,1921,sénat
Socialist,9.0,194543,Hainaut,1921,sénat
Liberal,3.0,66148,Hainaut,1921,sénat
Cath/Kath,3.0,65204,Liège,1921,sénat
Socialist,6.0,122925,Liège,1921,sénat
Liberal,2.0,48511,Liège,1921,sénat
Parti National,,2427,Liège,1921,sénat
Cath/Kath,4.0,41147,Limbourg,1921,sénat
Cath unis,,6944,Limbourg,1921,sénat
Socialist,,4162,Limbourg,1921,sénat
Liberal,,9431,Limbourg,1921,sénat
LIB,,3589,Limbourg,1921,sénat
Cath/Kath,2.0,32029,Luxembourg,1921,sénat
Socialist,,12307,Luxembourg,1921,sénat
Liberal,1.0,14185,Luxembourg,1921,sénat
Cath/Kath,2.0,45376,Namur,1921,sénat
Socialist,2.0,32449,Namur,1921,sénat
Liberal,1.0,18285,Namur,1921,sénat
