Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
PSC,1.0,28379,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
PSB(LUX),1.0,17615,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
PRLW,,15604,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
RW,1.0,3770,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
UDRT,,2389,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
TPO,,410,Aarlen-Marche-en-Famenne-Bastogne,1978,chambre-des-représentants
CVP,2.0,57956,Alost,1978,chambre-des-représentants
BSP,2.0,39057,Alost,1978,chambre-des-représentants
PVV,1.0,34826,Alost,1978,chambre-des-représentants
VU,1.0,20572,Alost,1978,chambre-des-représentants
VLAAMS BLOK,,5033,Alost,1978,chambre-des-représentants
KPB,,4304,Alost,1978,chambre-des-représentants
AMADA,,990,Alost,1978,chambre-des-représentants
RAL,,453,Alost,1978,chambre-des-représentants
CVP,9.0,238051,Anvers,1978,chambre-des-représentants
BSP,5.0,128962,Anvers,1978,chambre-des-représentants
PVV,3.0,76407,Anvers,1978,chambre-des-représentants
VU,2.0,55719,Anvers,1978,chambre-des-représentants
VLAAMS BLOK,1.0,19971,Anvers,1978,chambre-des-représentants
AGALEV,,5556,Anvers,1978,chambre-des-représentants
RAD,,2942,Anvers,1978,chambre-des-représentants
KPB,,15644,Anvers,1978,chambre-des-représentants
AMADA,,12550,Anvers,1978,chambre-des-représentants
RAL,,2216,Anvers,1978,chambre-des-représentants
KAGANO,,1376,Anvers,1978,chambre-des-représentants
PVCM,,993,Anvers,1978,chambre-des-représentants
CVP,1.0,26479,Audenarde,1978,chambre-des-représentants
BSP,,13660,Audenarde,1978,chambre-des-représentants
PVV,2.0,24644,Audenarde,1978,chambre-des-représentants
VU,,4220,Audenarde,1978,chambre-des-représentants
VLAAMS BLOK,,588,Audenarde,1978,chambre-des-représentants
KPB,,770,Audenarde,1978,chambre-des-représentants
AMADA,,329,Audenarde,1978,chambre-des-représentants
CVP,2.0,65070,Bruges,1978,chambre-des-représentants
BSP,1.0,36739,Bruges,1978,chambre-des-représentants
PVV,1.0,22157,Bruges,1978,chambre-des-représentants
VU,1.0,15858,Bruges,1978,chambre-des-représentants
VLAAMS BLOK,,2847,Bruges,1978,chambre-des-représentants
KPB,,2472,Bruges,1978,chambre-des-représentants
AMADA,,1197,Bruges,1978,chambre-des-représentants
RAL,,436,Bruges,1978,chambre-des-représentants
GROEN,,1761,Bruges,1978,chambre-des-représentants
CVP,6.0,137910,Bruxelles,1978,chambre-des-représentants
BSP,2.0,45464,Bruxelles,1978,chambre-des-représentants
PVV,2.0,58193,Bruxelles,1978,chambre-des-représentants
VU,2.0,49138,Bruxelles,1978,chambre-des-représentants
VLAAMS BLOK,,15400,Bruxelles,1978,chambre-des-représentants
PSC,4.0,96151,Bruxelles,1978,chambre-des-représentants
