Parti,Nombre de sièges,Nombre de voix,province,date,election
Socialist,31.0,281640,Anvers,1958,conseils-provinciaux
CVP,51.0,444357,Anvers,1958,conseils-provinciaux
Liberal,6.0,62491,Anvers,1958,conseils-provinciaux
Communist,,8119,Anvers,1958,conseils-provinciaux
Volksunie,2.0,28179,Anvers,1958,conseils-provinciaux
ANDERE,,694,Anvers,1958,conseils-provinciaux
Socialist,36.0,440553,Brabant,1958,conseils-provinciaux
PSC/CVP,38.0,460360,Brabant,1958,conseils-provinciaux
Liberal,16.0,203095,Brabant,1958,conseils-provinciaux
Communist,,24580,Brabant,1958,conseils-provinciaux
Volksunie,,13441,Brabant,1958,conseils-provinciaux
autres/andere,,12369,Brabant,1958,conseils-provinciaux
Socialist,22.0,171405,Flandre occidentale,1958,conseils-provinciaux
CVP,53.0,370213,Flandre occidentale,1958,conseils-provinciaux
Liberal,5.0,60967,Flandre occidentale,1958,conseils-provinciaux
Volksunie,,13598,Flandre occidentale,1958,conseils-provinciaux
ANDERE,,458,Flandre occidentale,1958,conseils-provinciaux
Socialist,25.0,212441,Flandre orientale,1958,conseils-provinciaux
CVP,54.0,424408,Flandre orientale,1958,conseils-provinciaux
Liberal,11.0,103732,Flandre orientale,1958,conseils-provinciaux
Volksunie,,28386,Flandre orientale,1958,conseils-provinciaux
ANDERE,,141,Flandre orientale,1958,conseils-provinciaux
Socialist,56.0,383982,Hainaut,1958,conseils-provinciaux
PSC,28.0,203123,Hainaut,1958,conseils-provinciaux
Liberal,6.0,79303,Hainaut,1958,conseils-provinciaux
Communist,,45069,Hainaut,1958,conseils-provinciaux
AUTRE,,5319,Hainaut,1958,conseils-provinciaux
Socialist,43.0,273724,Liège,1958,conseils-provinciaux
PSC,32.0,196812,Liège,1958,conseils-provinciaux
Liberal,8.0,65301,Liège,1958,conseils-provinciaux
Communist,3.0,31332,Liège,1958,conseils-provinciaux
AUTRE,,8652,Liège,1958,conseils-provinciaux
CVP,45.0,191155,Limbourg,1958,conseils-provinciaux
Volksunie,,8803,Limbourg,1958,conseils-provinciaux
KARTEL,15.0,63921,Limbourg,1958,conseils-provinciaux
ANDERE,,1948,Limbourg,1958,conseils-provinciaux
Socialist,4.0,11707,Luxembourg,1958,conseils-provinciaux
PSC,32.0,77269,Luxembourg,1958,conseils-provinciaux
Liberal,4.0,10276,Luxembourg,1958,conseils-provinciaux
CARTEL LIB/SOC,10.0,25046,Luxembourg,1958,conseils-provinciaux
AUTRE,,81,Luxembourg,1958,conseils-provinciaux
Socialist,25.0,87675,Namur,1958,conseils-provinciaux
PSC,28.0,99520,Namur,1958,conseils-provinciaux
Liberal,7.0,27633,Namur,1958,conseils-provinciaux
AUTRE,,381,Namur,1958,conseils-provinciaux
